(S1) Range Link ,(S2) Range Link ,Name,Jenis Dokumen,Kategori Kemahasiswaan,Link Dokumen,Placeholder,Link Page,Pengampu
deprecated and renewed by row 4,,Peraturan Rektor No.16/2021 Dana Pendidikan ITS,Peraturan Rektor,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoUKT/2021-P-Rektor-No-16-ttg-Biaya-Pendidikan-ITS.pdf?web=1,Akademik S1/Layanan UKT/Informasi Refund UKT,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoUKT.aspx,
deprecated and renewed by row 4,,Peraturan Rektor Nomor 17 Tentang Perubahan Perek Dana Pendidikan,Peraturan Rektor,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoUKT/Peraturan-Rektor-Nomor-17-Tahun-2023-ttg-Perubahan-Atas-Peraturan-Rektor-Nomor-5-Tahun-2023-Tentang-UKT.pdf?web=1,Akademik S1/Layanan UKT/Informasi Refund UKT,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoUKT.aspx,
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=2:2,-,Peraturan Rektor No. 5/2023 Dana Pendidikan ITS,Peraturan Rektor,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=/sites/IF/SiteAssets/SitePages/IF-InfoUKT/Peraturan-Rektor-Nomor-5-Tahun-2023-Dana-Pendidikan-ITS.pdf&parent=/sites/IF/SiteAssets/SitePages/IF-InfoUKT,Akademik S1/Layanan UKT/Informasi Refund UKT,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoUKT.aspx,Ahmad Ferdiansyah Ramadhani
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A3,-,Edaran Keringanan UKT Genap 23/24,Surat Edaran,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoUKT/Pengumuman-Perihal-Permohonan-Keringanan-UKT-Semester-Genap-2023-2024.pdf?web=1,Akademik S1/Layanan UKT/Informasi Banding UKT,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoUKT.aspx,Daniel Hermawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A4,-,SKEM-ITS 24 Agustus 2024,Pengumuman,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?FolderCTID=0x01200059F562C304F3274F809115DE323D242D&id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2DInfoMBKM1%2FSKEM%2DITS%5F24%2DAgustus%2D2021%2D%2D%2Dstudi%2Dindependen%2D%5Fok%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2DInfoMBKM1,Kemahasiswaan S1/Informasi SKEM,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoSKEM.aspx,Daniel Hermawan
duplicate row 15,,Pemberitahuan Calon Wisudawan ke-129,Pengumuman,S1,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoYudisium/2024-01-09_3177-Pemberitahuan-untuk-calon-Wisudawan-ITS-Ke-129.pdf?web=1,Akademik S1/Yudisium & Wisuda/Informasi Wisuda 129,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoYudisium.aspx,
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A15,https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=745639224&range=7:7,Jadwal Wisuda ITS ke-129,Pengumuman,S1/S2,https://itsacid.sharepoint.com/sites/IF/SiteAssets/SitePages/IF-InfoYudisium/Wisuda-ITS-ke-129-Periode-April-2024.pdf?web=1,Akademik S1 + S2/Yudisium & Wisuda/Informasi Wisuda 129,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoYudisium.aspx,Revanza Kurniawan
duplicated row 8,-,Pemberitahuan Peminjaman Toga Wisuda ke-129,Pengumuman,S1/S2,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2DInfoYudisium%2FLampiran%2DPemberitahuan%2DPeminjaman%2DToga%2DWisuda%2Dke%2D129%2DITS%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FIF%2DInfoYudisium,Akademik S1 + S2/Yudisium & Wisuda/Informasi Wisuda 129,https://itsacid.sharepoint.com/sites/IF/SitePages/IF-InfoYudisium.aspx,
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A5,https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=745639224&range=8:8,Pemberitahuan Unggah Artikel POMITS untuk Wisuda 129 S1,Pengumuman,S1/S2,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FPemberitahuan%2DUnggah%2DArtikel%2DPOMITS%2Duntuk%2DWisuda%2D129%2D%2DS1%2FPemberitahuan%2DUnggah%2DArtikel%2DPOMITS%2DPeriode%2DWisuda%2D129%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FPemberitahuan%2DUnggah%2DArtikel%2DPOMITS%2Duntuk%2DWisuda%2D129%2D%2DS1,Beranda/Pengumuman dan Edaran,https://itsacid.sharepoint.com/sites/IF/SitePages/Pemberitahuan-Unggah-Artikel-POMITS-untuk-Wisuda-129--S1.aspx,Daniel Hermawan
https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=988551747&range=A6,https://docs.google.com/spreadsheets/d/1HRbG8VCZuKpAjjXQcn4CvXu83h6YdaktjmRg5Lb45no/edit#gid=745639224&range=9:9,Pusat Layanan Terpadu Biro Umum dan Reformasi Birokrasi,Brosur,S1/S2,https://itsacid.sharepoint.com/sites/IF/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FSurat%2DKete%2FPusat%2DLayanan%2DTerpadu%2Epdf&parent=%2Fsites%2FIF%2FSiteAssets%2FSitePages%2FSurat%2DKete,Beranda/Pengumuman dan Edaran,https://itsacid.sharepoint.com/sites/IF/SitePages/Surat-Kete.aspx,Daniel Hermawan
