Question,Expected Answer
Apa perbedaan antara program magang MBKM dan non-MBKM?,"Program MBKM adalah program dari Kementerian Pendidikan yang harus dikonversikan ke SKS Mata Kuliah dan memerlukan surat PKS, sementara program magang non-MBKM adalah program magang yang dikonversikan ke SKEM atau untuk menambah pengalaman dan tidak memerlukan surat PKS."
Apa syarat minimal SKS yang harus sudah ditempuh mahasiswa untuk mengikuti program magang MBKM?,Mahasiswa minimal harus sudah lulus 90 SKS atau sudah lulus semester 5 untuk mengikuti program magang MBKM.
Berapa lama durasi pelaksanaan magang yang diperbolehkan untuk program magang MBKM?,Durasi pelaksanaan magang untuk program magang MBKM adalah selama 3 hingga 6 bulan.
Apakah mahasiswa yang mengikuti magang MBKM diperbolehkan mengambil mata kuliah lain?,"Mahasiswa yang mengikuti magang MBKM tidak diperbolehkan mengambil mata kuliah lain, atau hanya diperbolehkan mengambil maksimal 3 mata kuliah (setara 10 SKS)."
Apa saja tahapan dalam skema pelaksanaan Program Magang Flagship di ITS?,"Tahapan dalam skema pelaksanaan Program Magang Flagship di ITS meliputi: membuat akun di kampusmerdeka.kemdikbud.go.id, memilih program dan mitra, konsultasi ke Departemen, mengajukan SPTJM, pengecekan Track Record Magang Mahasiswa oleh PK2, dan pendaftaran program MSIB di website kampus merdeka."
Apa tugas PK2 dalam mengelola pendaftaran program magang di ITS?,"PK2 mengkoordinir pendaftaran program magang melalui SIM Magang, melakukan seleksi administrasi, mengecek track record magang mahasiswa, dan mengirimkan data kandidat peserta magang ke mitra."
Apa saja dokumen yang harus diunggah mahasiswa saat mendaftar program MSIB?,"Dokumen yang harus diunggah antara lain CV, transkrip nilai, surat rekomendasi departemen, form pakta integritas, dan dokumen kelengkapan lainnya."
Bagaimana proses verifikasi data mahasiswa oleh Penanggung Jawab Fakultas/Prodi?,"Penanggung Jawab Fakultas/Prodi mengecek kesesuaian data akademik mahasiswa dan kebenaran dokumen yang telah diunggah di laman MBKM, dan memberikan izin jika data sudah sesuai."
Apa yang harus dilakukan mahasiswa jika datanya memerlukan revisi?,"Mahasiswa harus memperbaiki data sesuai dengan catatan perbaikan yang diberikan oleh Penanggung Jawab Fakultas/Prodi, dan mengunggah kembali dokumen yang diperbaiki."
Apa saja peran mitra magang dalam program magang ITS?,"Peran mitra magang meliputi memberikan profil perusahaan, menyusun perjanjian kerja sama magang, memberikan tugas dan arahan kepada mahasiswa magang, serta menyediakan fasilitas kerja dan penilaian prestasi mahasiswa."
Berapa jumlah mitra industri yang berpartisipasi dalam Program Magang MSIB Batch 5?,Terdapat 121 mitra industri yang berpartisipasi dalam Program Magang MSIB Batch 5.
Bagaimana cara PK2 mempublikasikan informasi lowongan magang? ,"PK2 mempublikasikan informasi lowongan magang melalui sosial media, serta menyebarkan informasi ke LO MBKM dan Kepala Departemen."
Apa yang dilakukan oleh mahasiswa setelah selesai melaksanakan magang MSIB?,"Setelah selesai melaksanakan magang MSIB, mahasiswa membuat laporan akhir, mengunggah kelengkapan berkas di website kampus merdeka dan SIM Magang, serta pihak departemen melakukan verifikasi laporan akhir di SIM Magang."
Apa tujuan dilakukannya digitalisasi proses pendaftaran seperti SPTJM dan SR?,"Tujuan digitalisasi proses pendaftaran adalah untuk mempermudah proses verifikasi data, meningkatkan efisiensi, dan memastikan keamanan serta keakuratan data mahasiswa."
Apa itu SIM Magang dan apa fungsinya?,"SIM Magang adalah sistem informasi yang digunakan untuk mengelola pendaftaran, pelaksanaan, dan pelaporan program magang. Fungsinya termasuk mengunggah berkas magang, pengecekan data, serta monitoring kegiatan magang mahasiswa."
Apa yang harus dipersiapkan mahasiswa sebelum mendaftar program magang?,"Mahasiswa harus memastikan data diri sudah sesuai dengan PDDIKTI, mendapatkan surat rekomendasi dari perguruan tinggi, surat keterangan sehat, sertifikat prestasi (jika ada), surat persetujuan orang tua/wali, dan surat pakta integritas."
Apa yang dilakukan PK2 dalam monitoring pelaksanaan program magang? ,"PK2 melakukan monitoring terhadap pengisian SIM Magang oleh mahasiswa, melakukan monitoring dan evaluasi secara berkala, dan memastikan mahasiswa mengunggah logbook mingguan di website kampus merdeka dan SIM Magang."
Bagaimana proses seleksi administrasi untuk program magang kerjasama di ITS?,"Mahasiswa mendaftar dan mengumpulkan berkas ke form pendaftaran, PK2 melakukan seleksi administrasi, dan jika lolos, PK2 mengirimkan data kandidat peserta magang ke mitra untuk proses seleksi lanjutan oleh mitra."
Apa saja peran Penanggung Jawab Fakultas atau Prodi dalam program MBKM?,"Penanggung Jawab Fakultas atau Prodi bertugas melakukan verifikasi data dan dokumen mahasiswa, memberikan rekomendasi kepada mahasiswa untuk mengikuti Program MBKM, dan melakukan koordinasi jika ada data yang perlu diperbaiki."
Bagaimana penilaian prestasi mahasiswa dilakukan oleh mitra magang?,"Mitra magang memberikan penilaian berdasarkan formulir penilaian yang meliputi aspek-aspek seperti inisiatif, kemampuan komunikasi, disiplin, penampilan, ketekunan, kemampuan teknikal, berpikir kritis, kemampuan bekerjasama, kemampuan beradaptasi, dan hasil pekerjaan (kontribusi), yang kemudian diserahkan ke departemen untuk verifikasi."
