Question,Expected Answer
Apa tujuan utama dibuatnya Satuan Kredit Ekstrakurikuler Mahasiswa (SKEM)?,"Tujuan utama dibuatnya SKEM adalah untuk menanamkan sikap ilmiah, merangsang daya kreasi dan inovasi, meningkatkan kemampuan meneliti, menulis karya ilmiah, meningkatkan kemampuan berkomunikasi, serta pemahaman profesi."
Apa masalah utama lulusan ITS yang diidentifikasi dalam dokumen?,"Masalah utama lulusan ITS adalah leadership, interpersonal skill, teamwork, dan endurance."
Berapa minimal kredit SKEM yang dibutuhkan untuk Sarjana dan Sarjana Terapan? ,Minimal kredit SKEM yang dibutuhkan untuk Sarjana dan Sarjana Terapan adalah 100 kredit.
Bagaimana sistem SKEM 2021 membantu dosen wali?,Sistem SKEM 2021 membantu dosen wali dalam mengidentifikasikan potensi dan kendala anak wali dalam pengembangan soft skills-nya dan memudahkan dalam evaluasi serta verifikasi secara bertahap setiap semester.
Apa peran SKEM bagi industri atau pengguna lulusan ITS?,"SKEM membantu industri atau pengguna lulusan ITS untuk mengetahui rekam jejak dibidang pengembangan soft skills mahasiswa selama kuliah di ITS, meningkatkan kepercayaan dalam merekrut lulusan ITS."
Kegiatan mahasiswa dari tahun berapa mulai harus terverifikasi secara otomatis oleh sistem? ,Kegiatan mahasiswa dari tahun 2019 ke bawah akan terverifikasi secara otomatis oleh sistem.
Apa yang harus dilakukan mahasiswa jika kegiatan tidak diunggah dalam waktu 1 tahun?,"Jika kegiatan tidak diunggah dalam waktu 1 tahun, maka kegiatan tersebut dinyatakan hangus atau tidak bisa digunakan dalam SKEM."
Kapan batas minimal kewajiban pemenuhan SKEM bagi mahasiswa?,Batas minimal kewajiban pemenuhan SKEM adalah sampai semester 6.
Bagaimana IP SKEM dihitung?,"IP SKEM dihitung dengan formulasi: Indeks Prestasi SKEM = (∑ Ki × Ni) / ∑ Kredit SKEM, di mana N adalah nilai numerik hasil evaluasi kegiatan, K adalah besar SKEM kegiatan, dan jumlah kegiatan yang diambil."
Apa yang harus dilakukan dosen wali jika anak wali memiliki IP SKEM di bawah 2.1?,Dosen wali harus mengingatkan mahasiswa untuk memenuhi persyaratan IP SKEM minimal pada semester berikutnya.
Kapan mahasiswa Angkatan 2018 dan 2019 dapat memulai SKEM?,"Mahasiswa Angkatan 2018 dapat memulai SKEM pada semester 6, sedangkan Angkatan 2019 pada semester 4."
Apakah kegiatan sebelum menjadi mahasiswa ITS dapat diajukan untuk SKEM,"Tidak, kegiatan yang dilakukan sebelum menjadi mahasiswa ITS tidak diakui untuk SKEM."
"Siapa yang melakukan verifikasi kegiatan magang, wirausaha, kompetisi dan abdimas?","Verifikasi dilakukan oleh Ditmawa (kemahasiswaan), DRPM (abdimas), DKG (internasionalisasi), dan dosen wali untuk kegiatan lainnya."
Apa yang dimaksud dengan pengisian SKEM pada semester 2 dan semester 8 (untuk Sarjana),"Pengisian SKEM hanya terlihat paling banyak pada semester 2 dan semester 8, sehingga tidak terbaca bagaimana peningkatan softskills mahasiswa setiap semester."
Kegiatan apa yang diwajibkan bagi mahasiswa dalam SKEM baru?,Mahasiswa wajib mengikuti kegiatan Program Kreativitas Mahasiswa (PKM) dan olahraga selama menempuh kuliah di ITS.
Bagaimana penilaian untuk kompetisi dalam SKEM?,"Penilaian kompetisi dinilai berdasarkan elemen jumlah peserta, skala, luaran, rentang waktu, bidang ilmu, dan level kompetisi."
Apa fungsi dokumen yang diunggah oleh mahasiswa dalam sistem SKEM?,Dokumen yang diunggah dapat digunakan sebagai CV dan SKPI (Surat Keterangan Pendamping Ijazah).
Apa scoring kelulusan minimal yang harus dicapai mahasiswa Sarjana dan Sarjana Terapan dalam SKEM?,Scoring kelulusan minimal adalah 1300 untuk Sarjana dan Sarjana Terapan.
Bagaimana SKEM membantu Departemen di ITS?,SKEM membantu Departemen untuk mendapatkan data pemetaan profil mahasiswa guna pengembangan soft skills dan untuk keperluan akreditasi internasional.
Mengapa penting untuk mengunggah kegiatan mahasiswa di myITS StudentConnect? ,"Karena bukti atau dokumen pendukung kegiatan SKEM harus diunggah di myITS StudentConnect dalam waktu satu tahun semenjak selesai kegiatan, jika melebihi batas waktu tersebut, kegiatan dinyatakan tidak berlaku."
