,question,ground_truth,contexts,answer
0,Apa tujuan utama dibuatnya Satuan Kredit Ekstrakurikuler Mahasiswa (SKEM)?,"Tujuan utama dibuatnya SKEM adalah untuk menanamkan sikap ilmiah, merangsang daya kreasi dan inovasi, meningkatkan kemampuan meneliti, menulis karya ilmiah, meningkatkan kemampuan berkomunikasi, serta pemahaman profesi.","['Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:', 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.', 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat', 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.']","Tujuan utama dibuatnya Satuan Kredit Ekstrakurikuler Mahasiswa (SKEM) adalah untuk memberikan kesempatan kepada mahasiswa untuk mengembangkan diri di luar kegiatan akademik, serta memberikan pengakuan atas prestasi dan kegiatan ekstrakurikuler yang telah dilakukan oleh mahasiswa. SKEM juga bertujuan untuk meningkatkan kualitas dan keterampilan mahasiswa di luar bidang studi mereka."
1,Apa masalah utama lulusan ITS yang diidentifikasi dalam dokumen?,"Masalah utama lulusan ITS adalah leadership, interpersonal skill, teamwork, dan endurance.","['Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.', 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:', 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.', 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat']","Masalah utama lulusan ITS yang diidentifikasi dalam dokumen adalah terkait dengan pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM). Dalam dokumen tersebut disebutkan bahwa dosen wali harus melakukan pendampingan dan pengecekan terhadap pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. Jika dinilai sudah sesuai, dosen wali dapat melakukan persetujuan FRS. Hal ini menunjukkan adanya permasalahan dalam proses perencanaan kegiatan ekstrakurikuler mahasiswa di ITS yang memerlukan pengawasan dan validasi dari dosen wali."
2,Berapa minimal kredit SKEM yang dibutuhkan untuk Sarjana dan Sarjana Terapan? ,Minimal kredit SKEM yang dibutuhkan untuk Sarjana dan Sarjana Terapan adalah 100 kredit.,"['Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:', 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat', 'Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.', 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.']",Minimal kredit SKEM yang dibutuhkan untuk Sarjana dan Sarjana Terapan adalah 6 kredit. Kredit SKEM ini dapat diperoleh melalui kegiatan ekstrakurikuler mahasiswa (SKEM) atau program Merdeka Belajar–Kampus Merdeka (MB-KM) yang direncanakan dan dilaksanakan oleh mahasiswa.
3,Bagaimana sistem SKEM 2021 membantu dosen wali?,Sistem SKEM 2021 membantu dosen wali dalam mengidentifikasikan potensi dan kendala anak wali dalam pengembangan soft skills-nya dan memudahkan dalam evaluasi serta verifikasi secara bertahap setiap semester.,"['B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.', 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:', 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.', 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat']","Sistem SKEM 2021 membantu dosen wali dengan memberikan kemudahan dalam melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/program MB-KM yang diajukan oleh mahasiswa. Dosen wali dapat menilai apakah pengajuan perencanaan kegiatan tersebut sudah sesuai, dan jika sudah sesuai, dosen wali dapat melakukan persetujuan FRS. Dengan adanya sistem SKEM 2021, dosen wali dapat lebih efisien dalam proses pendampingan dan persetujuan kegiatan mahasiswa."
4,Apa peran SKEM bagi industri atau pengguna lulusan ITS?,"SKEM membantu industri atau pengguna lulusan ITS untuk mengetahui rekam jejak dibidang pengembangan soft skills mahasiswa selama kuliah di ITS, meningkatkan kepercayaan dalam merekrut lulusan ITS.","['Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:', 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat', 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.', 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.']","SKEM memiliki peran penting dalam mempersiapkan mahasiswa ITS untuk menjadi lulusan yang siap bersaing di industri. Melalui SKEM, mahasiswa dapat mengembangkan keterampilan dan pengetahuan tambahan di luar kurikulum reguler, sehingga mereka dapat memiliki keunggulan kompetitif saat memasuki dunia kerja. Selain itu, SKEM juga memungkinkan mahasiswa untuk mengaplikasikan teori yang dipelajari di kelas ke dalam situasi nyata, sehingga mereka dapat memiliki pengalaman praktis yang berharga bagi industri. Dengan demikian, SKEM dapat membantu menghasilkan lulusan ITS yang berkualitas dan siap untuk memenuhi kebutuhan industri atau pengguna lulusan."
5,Kegiatan mahasiswa dari tahun berapa mulai harus terverifikasi secara otomatis oleh sistem? ,Kegiatan mahasiswa dari tahun 2019 ke bawah akan terverifikasi secara otomatis oleh sistem.,"['Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:', 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.', 'Surabaya, 12 Februari 2024 Wakil Rektor Bidang Akademik dan Kemahasiswaan, \nProf. Dr. Ir. Adi Soeprijanto, M.T. 196404051990021001', 'Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.']",Kegiatan mahasiswa mulai harus terverifikasi secara otomatis oleh sistem mulai dari tahun 2023 - 2028 sesuai dengan kurikulum Program Sarjana dan Sarjana Terapan.
6,Apa yang harus dilakukan mahasiswa jika kegiatan tidak diunggah dalam waktu 1 tahun?,"Jika kegiatan tidak diunggah dalam waktu 1 tahun, maka kegiatan tersebut dinyatakan hangus atau tidak bisa digunakan dalam SKEM.","['B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.', 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:', 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.', 'Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.']","Mahasiswa harus mengunggah kegiatan tersebut dalam waktu 1 tahun setelah kegiatan dilaksanakan. Jika kegiatan tidak diunggah dalam waktu 1 tahun, maka mahasiswa tidak akan mendapatkan persetujuan FRS dari dosen wali."
7,Kapan batas minimal kewajiban pemenuhan SKEM bagi mahasiswa?,Batas minimal kewajiban pemenuhan SKEM adalah sampai semester 6.,"['Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:', 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.', 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat', 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.']",Batas minimal kewajiban pemenuhan SKEM bagi mahasiswa adalah dilaksanakan di awal semester.
8,Bagaimana IP SKEM dihitung?,"IP SKEM dihitung dengan formulasi: Indeks Prestasi SKEM = (∑ Ki × Ni) / ∑ Kredit SKEM, di mana N adalah nilai numerik hasil evaluasi kegiatan, K adalah besar SKEM kegiatan, dan jumlah kegiatan yang diambil.","['Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat', 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.', 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:', 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.']","IP SKEM dihitung berdasarkan sks mata kuliah yang telah dikonversikan dari kegiatan SKEM yang telah direncanakan oleh mahasiswa. Mahasiswa perlu merencanakan SKEM dan memetakan portofolio yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. Setelah itu, mahasiswa melakukan perwalian dengan dosen wali untuk mendapatkan persetujuan FRS. Dosen wali akan melakukan pengecekan dan jika dinilai sudah sesuai, maka persetujuan FRS diberikan. Dari situlah IP SKEM dapat dihitung berdasarkan nilai yang diperoleh dari mata kuliah yang telah dikonversikan."
9,Apa yang harus dilakukan dosen wali jika anak wali memiliki IP SKEM di bawah 2.1?,Dosen wali harus mengingatkan mahasiswa untuk memenuhi persyaratan IP SKEM minimal pada semester berikutnya.,"['B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.', 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat', 'Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.', 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:']","Dosen wali harus melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. Jika IP SKEM mahasiswa tersebut di bawah 2.1, dosen wali harus memberikan bimbingan dan arahan agar mahasiswa dapat meningkatkan prestasinya. Jika dinilai sudah sesuai pengajuan perencanaan kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS."
