,question,answer,contexts,ground_truth,context_precision,faithfulness,answer_relevancy,context_recall
0,Apa tujuan utama dibuatnya Satuan Kredit Ekstrakurikuler Mahasiswa (SKEM)?,"Tujuan utama dibuatnya Satuan Kredit Ekstrakurikuler Mahasiswa (SKEM) adalah untuk memberikan kesempatan kepada mahasiswa untuk mengembangkan diri di luar kegiatan akademik, serta memberikan pengakuan atas prestasi dan kegiatan ekstrakurikuler yang telah dilakukan oleh mahasiswa. SKEM juga bertujuan untuk meningkatkan keterampilan, pengetahuan, dan pengalaman mahasiswa di luar ruang kelas.","['Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:'
 'Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.'
 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.'
 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.']","Tujuan utama dibuatnya SKEM adalah untuk menanamkan sikap ilmiah, merangsang daya kreasi dan inovasi, meningkatkan kemampuan meneliti, menulis karya ilmiah, meningkatkan kemampuan berkomunikasi, serta pemahaman profesi.",0.8055555555287036,0.2,0.9999999999999999,0.0
1,Apa masalah utama lulusan ITS yang diidentifikasi dalam dokumen?,"Masalah utama lulusan ITS yang diidentifikasi dalam dokumen adalah terkait dengan pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM). Dalam dokumen tersebut, dosen wali diminta untuk melakukan pendampingan dan pengecekan terhadap pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. Jika dinilai sudah sesuai, dosen wali dapat melakukan persetujuan FRS. Hal ini menunjukkan adanya permasalahan terkait dengan pengajuan dan persetujuan perencanaan kegiatan SKEM/ program MB-KM oleh mahasiswa di ITS.","['Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat'
 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.'
 'Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.'
 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:']","Masalah utama lulusan ITS adalah leadership, interpersonal skill, teamwork, dan endurance.",0.9166666666361111,1.0,0.9985607243156314,0.0
2,Berapa minimal kredit SKEM yang dibutuhkan untuk Sarjana dan Sarjana Terapan? ,Minimal kredit SKEM yang dibutuhkan untuk Sarjana dan Sarjana Terapan adalah 6 kredit.,"['Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:'
 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.'
 'Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.'
 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat']",Minimal kredit SKEM yang dibutuhkan untuk Sarjana dan Sarjana Terapan adalah 100 kredit.,0.7499999999625,0.0,0.9937163358568389,0.0
3,Bagaimana sistem SKEM 2021 membantu dosen wali?,"Sistem SKEM 2021 membantu dosen wali dengan memberikan kemudahan dalam melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. Dosen wali dapat menilai apakah pengajuan perencanaan kegiatan tersebut sudah sesuai, dan jika sudah sesuai, dosen wali dapat melakukan persetujuan FRS. Dengan adanya sistem SKEM 2021, proses pendampingan dan persetujuan kegiatan mahasiswa menjadi lebih terstruktur dan efisien bagi dosen wali.","['B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.'
 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:'
 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat'
 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.']",Sistem SKEM 2021 membantu dosen wali dalam mengidentifikasikan potensi dan kendala anak wali dalam pengembangan soft skills-nya dan memudahkan dalam evaluasi serta verifikasi secara bertahap setiap semester.,0.999999999975,0.16666666666666666,0.9975912668632846,0.0
4,Apa peran SKEM bagi industri atau pengguna lulusan ITS?,"SKEM atau Satuan Kegiatan Ekstrakurikuler Mahasiswa memiliki peran yang penting bagi industri atau pengguna lulusan ITS. Dengan adanya SKEM, mahasiswa dapat mengembangkan keterampilan dan pengetahuan tambahan di luar kurikulum yang telah ditetapkan. Hal ini dapat membuat lulusan ITS menjadi lebih siap dan kompeten dalam menghadapi tuntutan industri yang terus berkembang. Melalui SKEM, mahasiswa juga dapat memperluas jaringan dan meningkatkan kemampuan sosial serta kepemimpinan, yang merupakan hal penting dalam dunia kerja.","['B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.'
 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:'
 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat'
 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.']","SKEM membantu industri atau pengguna lulusan ITS untuk mengetahui rekam jejak dibidang pengembangan soft skills mahasiswa selama kuliah di ITS, meningkatkan kepercayaan dalam merekrut lulusan ITS.",0.9999999999666667,0.0,1.0000000000000016,0.0
5,Kegiatan mahasiswa dari tahun berapa mulai harus terverifikasi secara otomatis oleh sistem? ,"Kegiatan mahasiswa mulai harus terverifikasi secara otomatis oleh sistem sejak tahun 2023 - 2028, sesuai dengan kurikulum Program Sarjana dan Sarjana Terapan yang berlaku.","['A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.'
 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:'
 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.'
 'Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.']",Kegiatan mahasiswa dari tahun 2019 ke bawah akan terverifikasi secara otomatis oleh sistem.,0.5833333333041666,0.0,0.9829212873471959,0.0
6,Apa yang harus dilakukan mahasiswa jika kegiatan tidak diunggah dalam waktu 1 tahun?,"Jawaban:

Jika kegiatan tidak diunggah dalam waktu 1 tahun, mahasiswa harus melakukan perencanaan ulang kegiatan SKEM/Program MB-KM untuk semester berikutnya. Mahasiswa perlu membuat perencanaan baru dan mengikuti prosedur yang telah ditetapkan, seperti memilih kelas MB-KM melalui Formulir Rencana Studi (FRS), membuat dan menyimpan usulan portofolio di myITS StudentConnect, serta melakukan perwalian dengan dosen wali untuk mendapatkan persetujuan FRS. Selain itu, mahasiswa juga perlu mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement) jika diperlukan.

Jika kegiatan tidak diunggah dalam waktu 1 tahun, mahasiswa disarankan untuk segera menghubungi pihak terkait di perguruan tinggi untuk mendapatkan panduan lebih lanjut dan memastikan agar tidak terjadi kendala dalam proses perencanaan kegiatan SKEM/Program MB-KM selanjutnya.","['A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.'
 'B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.'
 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:'
 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat']","Jika kegiatan tidak diunggah dalam waktu 1 tahun, maka kegiatan tersebut dinyatakan hangus atau tidak bisa digunakan dalam SKEM.",0.999999999975,1.0,0.9999999999999996,0.0
7,Kapan batas minimal kewajiban pemenuhan SKEM bagi mahasiswa?,Batas minimal kewajiban pemenuhan SKEM bagi mahasiswa adalah dilaksanakan di awal semester.,"['B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.'
 'Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:'
 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat'
 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.']",Batas minimal kewajiban pemenuhan SKEM adalah sampai semester 6.,0.999999999975,1.0,0.9186449966171053,0.0
8,Bagaimana IP SKEM dihitung?,"IP SKEM dihitung dengan cara mengalikan bobot nilai mata kuliah dengan nilai yang didapat kemudian menjumlahkan semua hasil perkalian tersebut. Bobot nilai mata kuliah dapat dilihat pada panduan pengguna dan rencana kegiatan SKEM/Program MB-KM yang dapat diakses melalui link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM. Jika Anda memiliki pertanyaan lebih lanjut, silakan tanyakan.","['B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.'
 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat'
 'Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.'
 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.']","IP SKEM dihitung dengan formulasi: Indeks Prestasi SKEM = (∑ Ki × Ni) / ∑ Kredit SKEM, di mana N adalah nilai numerik hasil evaluasi kegiatan, K adalah besar SKEM kegiatan, dan jumlah kegiatan yang diambil.",0.999999999975,0.0,1.0000000000000009,0.0
9,Apa yang harus dilakukan dosen wali jika anak wali memiliki IP SKEM di bawah 2.1?,"Dosen wali harus melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/program MB-KM yang diajukan oleh mahasiswa. Jika dinilai sudah sesuai pengajuan perencanaan kegiatan SKEM/program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS.","['B. Bagi Dosen Wali 1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa. 2. Jika dinilai sudah sesuai pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS. \nDemikian Surat Edaran ini dibuat untuk dilaksanakan dengan sebaik - baiknya. Atas perhatiannya diucapkan terimakasih.'
 'Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.'
 'Nomor : 1710/IT2.I/T/TU.00.08/II/2024 Perihal : Pelaksanaan Perencanaan Kegiatan SKEM/ Program MB-KM Lampiran : 1 lembar \nKepada Yth. Para Dekan Para Kepala Departemen Para Kepala Program Studi Sarjana dan Sarjana Terapan di Tempat'
 'A. Bagi Mahasiswa 1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester. 2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik. 3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan. 4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan. 5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS. 6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM . 7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8.']",Dosen wali harus mengingatkan mahasiswa untuk memenuhi persyaratan IP SKEM minimal pada semester berikutnya.,0.6388888888675925,1.0,0.8821151102885872,0.0
