,question,ground_truth,contexts,answer
0,Apa itu program IUP?,"International Undergraduate Program yang selanjutnya disingkat IUP adalah program pendidikan sarjana yang dilaksanakan dalam bahasa Inggris dan mahasiswa wajib mengikuti kegiatan internasional sekurang-kurangnya satu kali selama masa studi dalam bentuk Joint degree/Double Degree, student exchange, final project, internship, atau short program dengan perguruan tinggi mitra ITS di luar negeri.","['Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement). 8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM.']",Saya tidak tahu.
1,Apa saja dana pendidikan di ITS?,"UKT, SPP, SPI dan SPA.","['Pasa1 14\n(1) Mahasiswa yang merupakan dosen tetap ITS, selanjutnya disebut pegawai pelajar, \n  dapat memperoleh keringanan dana SPP dengan ketentuan sebagai berikut:\n  a. tercatat sebagai mahasiswa aktif program doktor pada salah satu Program Studi di \n   ITS;\n  b. berusia paling rendah 35 tahun;\n  c. untuk dosen tetap PNS telah mendapatkan surat keputusan dari kementerian \n   tentang tugas belajar dengan beasiswa atau sedang diusulkan oleh ITS untuk \n   mendapatkan surat keputusan dari kementerian tentang tugas belajar dengan \n   beasiswa; dan\n  d. Untuk dosen tetap Non PNS telah mendapatkan surat keputusan dari Rektor \n   tentang tugas belajar dengan beasiswa.\n(2) Beasiswa yang dimaksud sebagaimana pada ayat (1) huruf c dan huruf d berupa \n  pembiayaan untuk keringanan SPP yang bersumber dari dana ITS.\n(3) Pengusulan oleh ITS sebagaimana dimaksud pada ayat (1) huruf c telah mendapat \n  rekomendasi dari Wakil Rektor yang membidangi sumber daya manusia.']","Dana pendidikan di ITS meliputi keringanan dana SPP bagi mahasiswa yang merupakan dosen tetap ITS, yang disebut pegawai pelajar. Keringanan dana SPP ini dapat diperoleh oleh mahasiswa aktif program doktor pada salah satu Program Studi di ITS yang memenuhi syarat-syarat tertentu, seperti berusia paling rendah 35 tahun dan telah mendapatkan surat keputusan dari kementerian atau Rektor tentang tugas belajar dengan beasiswa. Beasiswa tersebut bersumber dari dana ITS dan berupa pembiayaan untuk keringanan SPP."
2,Apa tujuan dibuat SKEM?,"1. Menanamkan sikap ilmiah, merangsang daya kreasi dan inovasi, meningkatkan kemampuan meneliti, menulis karya ilmiah, meningkatkan kemampuan berkomunikasi, serta pemahaman profesi. 2. Meningkatkan kesehatan / kebugaran, prestasi dan apresiasi budaya melalui penyaluran minat dan bakat dalam bidang seni dan olah raga. 3. Meningkatkan kemampuan mahasiswa dalam kerjasama (team work), komunikasi, ketrampilan manajemen, berorganisasi dan kepemimpinan. 4. Meningkatkan pengabdian kepada masyarakat, rasa kepedulian terhadap sesama, serta menanamkan rasa cinta tanah air.",['Sehubungan dengan kurikulum Program Sarjana dan Sarjana Terapan tahun 2023 – 2028 maka Berikut kami sampaikan beberapa teknis terkait pelaksanaan perencanaan kegiatan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)/ program Merdeka Belajar–Kampus Merdeka (MB-KM) disampaikan bahwa:'],"SKEM atau Satuan Kegiatan Ekstrakurikuler Mahasiswa dibuat dengan tujuan untuk memberikan kesempatan kepada mahasiswa untuk mengembangkan minat, bakat, dan potensi diri di luar kegiatan akademik serta meningkatkan kualitas soft skill mahasiswa."
3,Apa itu Beasiswa Prioritas?,"Beasiswa Prioritas merupakan program beasiswa yang memberikan kesempatan kepada pendaftar untuk dapat melakukan pendaftaran pada dua program sekaligus, yaitu pada program Beasiswa Kemitraan/Kerja Sama LPDP dan pada salah satu program Beasiswa Afirmasi/Beasiswa Targeted/Beasiswa Umum tujuan luar negeri.","['Dipublikasikan tanggal 11 Januari 2024\nprogram beasiswa lain yang dipilih, sesuai\ndengan syarat dan ketentuan yang berlaku.\nApa saja komponen Dana yang diberikan?\n1. Dana Pendidikan\na. Tuition Fee\nb. Dana Pendaftaran\nc. Dana Tunjangan Buku\nd. Dana Penelitian Tesis\ne. Dana Seminar Internasional\nf. Dana Publikasi Jurnal Internasional\n2. Dana Pendukung\na. Dana Transportasi\nb. Dana Aplikasi Visa\nc. Dana Asuransi Kesehatan\nd. Dana Kedatangan\ne. Dana Hidup Bulanan\nf. Dana Lomba Internasional\ng. Dana keadaaan darurat (jika diperlukan)\nApa saja persyaratan umum pendaftaran\nBeasiswa Prioritas LPDP – Campus\nFrance Program Master?\nPersyaratan umum Beasiswa Prioritas LPDP –\nCampus France Program Master adalah sebagai\nberikut:\n1. Warga Negara Indonesia.\n2. Telah menyelesaikan studi program diploma\nempat (D4) atau sarjana (S1).\n3. Pendaftar yang telah menyelesaikan studi\nmagister (S2) tidak diizinkan mendaftar.\n4. Bagi pendaftar lulusan perguruan tinggi luar']","Beasiswa Prioritas adalah program beasiswa yang diberikan oleh LPDP - Campus France Program Master yang memiliki komponen Dana Pendidikan dan Dana Pendukung. Beasiswa ini memiliki persyaratan umum pendaftaran, seperti menjadi Warga Negara Indonesia, telah menyelesaikan studi program diploma empat (D4) atau sarjana (S1), dan tidak diizinkan bagi yang telah menyelesaikan studi magister (S2)."
4,Apa saja Jenis Program Magang Kampus Merdeka di ITS,"MBKM: Program dari Kementerian Pendidkan, Kebudayaan, Riset dan Teknologi dalam bentuk pembelajaran di luar Kampus selama 2 semester, dan bisa/wajib dikonversikan ke SKS
Mata Kuliah. Non-MBKM: Program Magang dikonversikan ke SKEM atau hanya untuk menambah pengalaman mahasiswa.","['Subdit. PK2\nJenis Program Magang Kampus Merdeka di ITS\n• MBKM [ Program dari Kementerian Pendidkan,\nKebudayaan, Riset dan Teknologi dalam bentuk pembelajaran di luar Kampus selama 2 semester, dan bisa/wajib dikonversikan ke SKS\nMata Kuliah. *\n• Non-MBKM [ Program Magang dikonversikan ke SKEM atau hanya untuk menambah pengalaman mahasiswa. *\n)* syarat dan ketentuan berlaku.\nADVANCING HUMANITY\niTS\nProgram Magang Flagship (Kampus Merdeka)\n• MSIB (Magang dan Studi Independen Bersertifikat)\n• Bangkit (by Google, GoTo, and Traveloka)\n• Gerilya ( by Kementerian ESDM )\nProgram Magang Reguler\n• Magang Kerjasama\n• Magang Mandiri\nProgram Magang Lokal\nMagang Institut']","Program Magang Kampus Merdeka di ITS terdiri dari beberapa jenis, yaitu:
1. MBKM (Program dari Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi dalam bentuk pembelajaran di luar Kampus selama 2 semester, dan bisa/wajib dikonversikan ke SKS Mata Kuliah).
2. Non-MBKM (Program Magang dikonversikan ke SKEM atau hanya untuk menambah pengalaman mahasiswa).
3. Program Magang Flagship, antara lain:
   - MSIB (Magang dan Studi Independen Bersertifikat)
   - Bangkit (by Google, GoTo, and Traveloka)
   - Gerilya (by Kementerian ESDM)
4. Program Magang Reguler, antara lain:
   - Magang Kerjasama
   - Magang Mandiri
5. Program Magang Lokal, yaitu Magang Institut."
5,Apa syarat Foto formal calon wisudawan ITS?,"Mempunyai kualitas STUDIO FOTO dengan ekstensi file: .jpg atau .jpeg Berlatar belakang biru dengan komposisi warna (C: 100 M: 040 Y: 001 K: 001) atau (R: 000 G: 120 B: 193) Mempunyai ukuran proporsional separuh badan Menghadap lurus kedepan Tidak menggunakan kacamata Menampakkan bagian wajah dengan jelas Memakai jas warna gelap, kemeja putih, dan berdasi hitam (Pria/Wanita) Khusus bagi wanita yang berhijab warna hijab menyesuaikan dan tidak berdasi","['A. Semua calon Wisudawan ITS ke-129 periode wisuda April 2024 wajib mengisi biodata di menu update wisudawan sampai dengan tanggal 9 Februari 2024, dengan ketentuan sebagai berikut:\n1. Mempersiapkan dokumen yang akan diunggah antara lain: Ijazah terakhir, KTP, foto formal terbaru berwarna untuk ijazah, dan Akte Kelahiran (apabila diperlukan);\n2. Foto formal terbaru berwarna yang diunggah mempunyai ketentuan:\nMempunyai kualitas STUDIO FOTO dengan ekstensi file: .jpg atau .jpeg\nBerlatar belakang biru dengan komposisi warna (C: 100 M: 040 Y: 001 K: 001) atau (R: 000 G: 120 B: 193)\nMempunyai ukuran proporsional separuh badan\nMenghadap lurus kedepan\nTidak menggunakan kacamata\nMenampakkan bagian wajah dengan jelas\nMemakai jas warna gelap, kemeja putih, dan berdasi hitam (Pria/Wanita)\nKhusus bagi wanita yang berhijab warna hijab menyesuaikan dan tidak berdasi']","Syarat Foto formal calon wisudawan ITS adalah sebagai berikut:
1. Mempunyai kualitas STUDIO FOTO dengan ekstensi file: .jpg atau .jpeg
2. Berlatar belakang biru dengan komposisi warna (C: 100 M: 040 Y: 001 K: 001) atau (R: 000 G: 120 B: 193)
3. Mempunyai ukuran proporsional separuh badan
4. Menghadap lurus kedepan
5. Tidak menggunakan kacamata
6. Menampakkan bagian wajah dengan jelas
7. Memakai jas warna gelap, kemeja putih, dan berdasi hitam (Pria/Wanita)
8. Khusus bagi wanita yang berhijab warna hijab menyesuaikan dan tidak berdasi."
6,Apakah mata kuliah pengayaan bisa di-drop?,"Seperti halnya MK yang lain, jika masih dalam masa drop tiap semester, maka boleh (sampai dengan minggu 10). Setelah waktu itu tidak bisa, namun bisa digantikan dengan MK pengayaan lain yang diambil di semester berikutnya.","['Q: Berapa sks mata kuliah pengayaan yang bisa diambil?\n\nA: Di peraturan akademik mengambil MK pengayaan maksimal 6 sks dan minimum 3 sks.\n\nQ: Apakah mata kuliah pengayaan bisa di-drop?\n\nA: Seperti halnya MK yang lain, jika masih dalam masa drop tiap semester, maka boleh (sampai dengan minggu 10). Setelah waktu itu tidak bisa, namun bisa digantikan dengan MK pengayaan lain yang diambil di semester berikutnya.\n\nQ: Kepada siapa saya meminta konsultasi tentang perwalian/perencanaan kuliah, merubah MK yang diambil dan drop MK setelah minggu ke 4?\n\nA: Ke DOSEN WALI, bukan ke PEMBIMBING TA. Batas akhir perubahan MK adalah minggu ke 3 dan drop MK adalah minggu ke 10\n\nQ: Bagaimana jika saya tidak bisa ambil MK di FRS padahal prasyarat sudah terpenuhi? \n\nA: Silakan menginformasikan ke doswal dengan menyertakan bukti2. Doswal akan membantu menambahkan MK yang dimaksud jika bukti2 telah mencukupi.\n\nQ: Apakah MK yang diambil via dropdown MBKM bisa menggantikan MK yang sudah diambil?']","Ya, mata kuliah pengayaan bisa di-drop seperti halnya mata kuliah lainnya. Namun, hal ini harus dilakukan dalam masa drop tiap semester, yang biasanya berlangsung hingga minggu ke-10. Setelah melewati waktu tersebut, mata kuliah tidak bisa di-drop. Namun, jika memang perlu di-drop, mata kuliah pengayaan tersebut bisa digantikan dengan mata kuliah pengayaan lain yang diambil di semester berikutnya."
7,"MyITS saya bermasalah, bisa lapor kemana?",Silakan ajukan tiket ke DPTSI di https://servicedesk.its.ac.id/,"['Q: MyITS saya bermasalah, bisa lapor kemana?\n\nA: Silakan ajukan tiket ke DPTSI di https://servicedesk.its.ac.id/\n\nQ: Saya ingin mengurus “…..” siapa tendik yang harus ditemui?\n\nA: Temui tendik sesuai bidangnya yuk! :)\n\nPersuratan (S1) → Pak Sugeng\nAkademik (S1) → Bu Inka (Kelas, Nilai, MBKM, International Exposure), Bu Icha (Asisten Dosen, MonKP)\nAkademik + Persuratan (S2) → Bu Kartika\nAkademik + Persuratan (S3) → Bu Lina\nPeminjaman Ruang → Pak Husein (Kasubbag)\nKeuangan → Bu Devi, Bu Due\nUrusan Ruang Aula → Pak Jumali\nUrusan Ruang Kelas → Pak Edy\nUrusan Laboratorium → Teknisi Lab. Pak Junaidi (PKT, KCV, LP), Pak Jumali (KBJ, RPL), Pak Gayuh (AP, MCI, GiGA), Pak Kunto (AJK).\nUrusan Keamanan dan Kebersihan → Pak Sukron\nUrusan Kelistrikan → Pak Hari\nQ: Cara mendapatkan transkrip\n\nA: Buka SIM Akademik, masuk ke menu LAPORAN -> TRANSKRIP\n\nQ: Cara mendapatkan surat keterangan aktif mahasiswa\n\nA: Buka SIM Akademik, masuk ke menu SURAT MAHASISWA -> LAYANAN SURAT MAHASISWA']",Anda dapat melaporkan masalah MyITS Anda dengan mengajukan tiket ke DPTSI di https://servicedesk.its.ac.id/
8,Berapa koordinat latitude langitude ITS Surabaya?,Tidak tahu,"['KEMENTERIAN PENDIDIKAN, KEBUDAYAAN,\nRISET, DAN TEKNOLOGI\nINSTITUT TEKNOLOGI SEPULUH NOPEMBER\nDIREKTORAT KEMITRAAN GLOBAL\nGedung Global Kampong Kampus ITS Sukolilo - Surabaya 60111 Indonesia\n(0) Telepon: 031 5923411 (Hunting): 031 5994251-54 ext.1224\nFax: 031 5923411\nhttps://www.its.ac.id/, https://www.its.ac.id/international/ email: international(ajits.ac.id\nNomor : 7518/IT2MVIII/T/TU.00.08/2023\n\nLampiran :2 (dua) lembar\nPerihal : Pemberitahuan Informasi Persyaratan Eksposur Internasional\nKepada Yth.\nKepala Departemen dan Ketua Program Studi\ndi lingkungan ITS\nDengan hormat,\nsehubungan dengan surat kami dengan nomor 7311/!T2.VINI/T/TU.00.08/2023 perihal Pemberitahuan Informasi Persyaratan\nEksposur Internasional, bersama dengan ini memberikan informasi lebih lanjut tentang persyaratan yang harus dipenuhi oleh\nseluruh mahasiswa ITS dalam rangka pelaksanaan kegiatan eksposur internasional. Persyaratan tersebut adalah sebagai berikut:']",Saya tidak tahu.
9,Bagaimana SKEM membantu Departemen di ITS?,SKEM membantu Departemen untuk mendapatkan data pemetaan profil mahasiswa guna pengembangan soft skills dan untuk keperluan akreditasi internasional.,['(4) Kegiatan asistensi mengajar oleh mahasiswa harus dibimbing oleh dosen tetap dari ITS dan mendapatkan persetujuan dari Direktorat yang mengurusi kemahasiswaan.\r\n(5) Kegiatan asistensi mengajar di satuan pendidikan yang dilaksanakan selama satu semester dapat diusulkan menjadi nilai akademik yang relevan setelah direview dan disetujui oleh tim penilai.\r\n(6) Tim Penilai pada ayat (5) dibentuk oleh Departemen dan disahkan oleh Direktorat yang mengurusi kemahasiswaan.\r\n(7) Kegiatan asistensi mengajar di satuan pendidikan dapat diusulkan menjadi Satuan Kegiatan Ekstrakurikuler (SKEM) setelah disahkan oleh Direktorat yang mengurusi kemahasiswaan.\r\n(8) Mekanisme dan penyelenggaraan kegiatan asistensi mengajar di satuan pendidikan dikembangkan dan dikoordinasikan oleh Direktorat yang mengurusi kemahasiswaan.'],"SKEM dapat membantu Departemen di ITS dengan menjadi Satuan Kegiatan Ekstrakurikuler yang disahkan oleh Direktorat yang mengurusi kemahasiswaan. Hal ini dapat membantu dalam mengembangkan mekanisme dan penyelenggaraan kegiatan asistensi mengajar di satuan pendidikan, serta memperluas cakupan kegiatan akademik yang relevan bagi mahasiswa."
