Question,Expected Answer
Apa saja persyaratan umum pendaftaran Beasiswa Prioritas LPDP – Campus France Program Master?,"Warga Negara Indonesia, telah menyelesaikan studi D4/S1, tidak diizinkan bagi yang telah menyelesaikan studi S2, dan bagi lulusan luar negeri wajib melampirkan hasil penyetaraan ijazah dan konversi IPK."
Apa yang harus dilakukan pendaftar yang merupakan PNS?,Melampirkan surat usulan atau rekomendasi dari pejabat eselon II yang mencantumkan NIP pendaftar.
Apa yang harus dipersiapkan sebelum mengikuti program internasional?,"Persiapan meliputi dokumentasi, keuangan, barang bawaan, pengetahuan, dan psikologi."
Apa contoh program magang di luar negeri?,Contoh program magang meliputi Universiti Kuala Lumpur (UniKL) di Malaysia dan Shibaura Institute of Technology di Jepang.
Apa yang dimaksud dengan UKT?,Uang Kuliah Tunggal
Berapa persen keringanan pembayaran SPP bagi mahasiswa aktif pembayar dana pendidikan di luar ITS?,Maksimal 90%
Apa yang dimaksud dengan Program Studi dalam peraturan ini?,Kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum dan metode pembelajaran tertentu
Apa saja yang termasuk dana pendidikan menurut Pasal 3 ayat (2) peraturan ini?,"UKT, SPP, SPI, dan SPA"
Berapa biaya hidup di Eropa untuk program pertukaran?,"Biaya hidup di Eropa sekitar €7,800 per tahun dan biaya kuliah sekitar €10,140 per tahun."
Apa keuntungan mengikuti program pertukaran pelajar?,"Keuntungan termasuk pengalaman internasional, kredit transfer, dan kemungkinan mendapat beasiswa jika berprestasi."
Apa saja pelanggaran dan sanksi yang diberlakukan oleh LPDP?,"Pelanggaran meliputi kecurangan selama pendaftaran atau seleksi, memberikan informasi atau dokumen palsu. Sanksi termasuk pembatalan beasiswa dan pengembalian dana studi."
Apa ketentuan pengabdian yang ditetapkan LPDP?,Penerima Beasiswa wajib kembali dan mengabdi di Indonesia selama dua kali masa studi ditambah satu tahun setelah selesai studi.
Mahasiswa dari jalur apa yang diperkenankan mengajukan permohonan?,Mahasiswa sarjana dan vokasi (selain mahasiswa IUP dan Joint Degree)
Melalui aplikasi apa mahasiswa dapat mengajukan permohonan keringanan UKT?,myITS Portal atau portal.its.ac.id dengan aplikasi layanan SIPMABA
Data dan berkas pendukung apa yang harus diupload untuk pengajuan keringanan UKT?,"Surat permohonan, bukti dukung, surat keterangan pekerjaan, surat keterangan penghasilan, SPT, foto usaha, tagihan listrik, PBB, kartu keluarga, pajak kendaraan, foto rumah"
Apa yang harus disertakan jika alasan permohonan keringanan adalah orang tua pensiun?,Surat keterangan/surat keputusan termasuk gaji pensiun atau pesangon
Dimana saya bisa mengajukan permohonan keringanan UKT?,Permohonan keringanan UKT dapat diajukan melalui SIPMABA di portal.its.ac.id.
Kapan pengajuan keringanan UKT/SPP dapat dilakukan?,Pengajuan keringanan UKT/SPP dapat dilakukan pada 01-17 Desember 2023.
Apa yang harus dilakukan jika orang tua meninggal dunia?,Lampirkan surat kematian atau akte kematian.
Bagaimana cara login ke portal pengajuan keringanan UKT?,Login melalui myITS Portal atau portal.its.ac.id dan memilih aplikasi SIPMABA dengan role Login as Mahasiswa Lama.
