,question,answer,contexts,ground_truth,context_precision,faithfulness,answer_relevancy,context_recall
0,Apa saja persyaratan umum pendaftaran Beasiswa Prioritas LPDP – Campus France Program Master?,"Persyaratan umum pendaftaran Beasiswa Prioritas LPDP - Campus France Program Master adalah sebagai berikut:
1. Warga Negara Indonesia.
2. Telah menyelesaikan studi program diploma empat (D4) atau sarjana (S1).
3. Pendaftar yang telah menyelesaikan studi magister (S2) tidak diizinkan mendaftar.
4. Bagi pendaftar lulusan perguruan tinggi luar negeri, harus memiliki ijazah yang diakui oleh Kementerian Pendidikan dan Kebudayaan Republik Indonesia.","['Panduan Pendaftaran\nBeasiswa Prioritas\nLPDP - Campus France\nProgram Master\nTahun 2024\nlpdp.kemenkeu.go.id'
 'kejuaraan/non kejuaraan, dan pengalaman\norganisasi pada aplikasi pendaftaran.\nApa saja persyaratan khusus pendaftaran\nBeasiswa Prioritas LPDP – Campus France\nProgram Master?\nPersyaratan khusus Beasiswa Kemitraan LPDP –\nCampus France Program Master adalah sebagai\nberikut:'
 'Dipublikasikan tanggal 11 Januari 2024\nprogram beasiswa lain yang dipilih, sesuai\ndengan syarat dan ketentuan yang berlaku.\nApa saja komponen Dana yang diberikan?\n1. Dana Pendidikan\na. Tuition Fee\nb. Dana Pendaftaran\nc. Dana Tunjangan Buku\nd. Dana Penelitian Tesis\ne. Dana Seminar Internasional\nf. Dana Publikasi Jurnal Internasional\n2. Dana Pendukung\na. Dana Transportasi\nb. Dana Aplikasi Visa\nc. Dana Asuransi Kesehatan\nd. Dana Kedatangan\ne. Dana Hidup Bulanan\nf. Dana Lomba Internasional\ng. Dana keadaaan darurat (jika diperlukan)\nApa saja persyaratan umum pendaftaran\nBeasiswa Prioritas LPDP – Campus\nFrance Program Master?\nPersyaratan umum Beasiswa Prioritas LPDP –\nCampus France Program Master adalah sebagai\nberikut:\n1. Warga Negara Indonesia.\n2. Telah menyelesaikan studi program diploma\nempat (D4) atau sarjana (S1).\n3. Pendaftar yang telah menyelesaikan studi\nmagister (S2) tidak diizinkan mendaftar.\n4. Bagi pendaftar lulusan perguruan tinggi luar'
 'Siapakah Sasaran Beasiswa Prioritas\nLPDP – Campus France Program Master?\n1. Warga Negara Indonesia (WNI)\n2. PNS/TNI/POLRI\nSeperti Apa Skema Prioritas LPDP –\nCampus France Program Master?\nPendaftar wajib mendaftar secara bersamaan\npada beasiswa Kemitraan LPDP – Campus France\nProgram Master dan salah satu program Magister\nbeasiswa Afirmasi/Targeted/Umum tujuan luar\nnegeri, dengan skema berikut.\n1. Beasiswa Kemitraan LPDP – Campus France\nProgram Master:\na. Beasiswa LPDP – Campus France\nProgram Master diperuntukkan bagi\nWarga Negara Indonesia untuk dapat\nmenempuh pendidikan pada program\nmagister di program studi dan universitas\nsebagaimana daftar terlampir dengan\ndurasi pendanaan paling lama 24 (dua\npuluh empat) bulan.\nb. Pendaftar diharuskan untuk melakukan\npendaftaran pada:\n● Perguruan Tinggi Tujuan Studi\nsesuai jadwal dan ketentuan yang\nberlaku di Perguruan Tinggi, dan\n● Campus France sesuai jadwal dan\nketentuan yang berlaku di Campus\nFrance.\n2. Persyaratan dan dokumen pada Beasiswa']","Warga Negara Indonesia, telah menyelesaikan studi D4/S1, tidak diizinkan bagi yang telah menyelesaikan studi S2, dan bagi lulusan luar negeri wajib melampirkan hasil penyetaraan ijazah dan konversi IPK.",0.999999999975,0.75,1.0,0.0
1,Apa yang harus dilakukan pendaftar yang merupakan PNS?,"Pendaftar yang merupakan PNS harus bersedia memenuhi ketentuan tugas belajar dan mendapatkan surat izin mengikuti seleksi dari pejabat yang berwenang sesuai dengan ketentuan yang tercantum dalam pengumuman Beasiswa Prioritas LPDP - Campus France 2024 S1. Jika dosen tetap ITS yang merupakan PNS ingin memperoleh keringanan dana SPP, maka harus memenuhi persyaratan yang tercantum dalam Peraturan Rektor No. 5/2023 Dana Pendidikan ITS, seperti mendapatkan surat keputusan dari kementerian tentang tugas belajar dengan beasiswa atau surat keputusan dari Rektor tentang tugas belajar dengan beasiswa.","['c. diberhentikan beasiswanya apabila tidak memenuhi kewajiban pada huruf a atau b.\n14. Sebagai pendaftar Beasiswa LPDP program magister belum pernah menyelesaikan studi magister\n(S2) atau sebagai pendaftar Beasiswa LPDP program doktor belum menyelesaikan studi doktor\n(S3).\n15. Sebagai CPNS, PNS, prajurit TNI, atau anggota POLRI, bersedia memenuhi ketentuan tugas\nbelajar dan mendapatkan surat izin mengikuti seleksi dari pejabat yang berwenang.\n16. Sebagai CPNS, PNS, prajurit TNI, atau anggota POLRI bersedia:'
 'Pasa1 14\n(1) Mahasiswa yang merupakan dosen tetap ITS, selanjutnya disebut pegawai pelajar, \n  dapat memperoleh keringanan dana SPP dengan ketentuan sebagai berikut:\n  a. tercatat sebagai mahasiswa aktif program doktor pada salah satu Program Studi di \n   ITS;\n  b. berusia paling rendah 35 tahun;\n  c. untuk dosen tetap PNS telah mendapatkan surat keputusan dari kementerian \n   tentang tugas belajar dengan beasiswa atau sedang diusulkan oleh ITS untuk \n   mendapatkan surat keputusan dari kementerian tentang tugas belajar dengan \n   beasiswa; dan\n  d. Untuk dosen tetap Non PNS telah mendapatkan surat keputusan dari Rektor \n   tentang tugas belajar dengan beasiswa.\n(2) Beasiswa yang dimaksud sebagaimana pada ayat (1) huruf c dan huruf d berupa \n  pembiayaan untuk keringanan SPP yang bersumber dari dana ITS.\n(3) Pengusulan oleh ITS sebagaimana dimaksud pada ayat (1) huruf c telah mendapat \n  rekomendasi dari Wakil Rektor yang membidangi sumber daya manusia.'
 'Pasa1 14\n(1) Mahasiswa yang merupakan dosen tetap ITS, selanjutnya disebut pegawai pelajar, \n  dapat memperoleh keringanan dana SPP dengan ketentuan sebagai berikut:\n  a. tercatat sebagai mahasiswa aktif program doktor pada salah satu Program Studi di \n   ITS;\n  b. berusia paling rendah 35 tahun;\n  c. untuk dosen tetap PNS telah mendapatkan surat keputusan dari kementerian \n   tentang tugas belajar dengan beasiswa atau sedang diusulkan oleh ITS untuk \n   mendapatkan surat keputusan dari kementerian tentang tugas belajar dengan \n   beasiswa; dan\n  d. Untuk dosen tetap Non PNS telah mendapatkan surat keputusan dari Rektor \n   tentang tugas belajar dengan beasiswa.\n(2) Beasiswa yang dimaksud sebagaimana pada ayat (1) huruf c dan huruf d berupa \n  pembiayaan untuk keringanan SPP yang bersumber dari dana ITS.\n(3) Pengusulan oleh ITS sebagaimana dimaksud pada ayat (1) huruf c telah mendapat \n  rekomendasi dari Wakil Rektor yang membidangi sumber daya manusia.'
 'Syarat dokumen mengikuti syarat program\nbeasiswa yang dipilih (mengacu pada Buku\nPanduan masing-masing program beasiswa).\nSeperti apa format Komitmen kembali ke\nIndonesia, rencana pasca studi, dan\nrencana kontribusi di Indonesia serta\nRencana Bisnis atau Rencana\nPengembangan Bisnis?\nKomitmen kembali ke Indonesia, rencana\npasca studi, dan rencana kontribusi di\nIndonesia (1500 – 2000 kata)\nDeskripsikan dalam tulisan secara jelas dan\nkonkret tentang tema di atas.']",Melampirkan surat usulan atau rekomendasi dari pejabat eselon II yang mencantumkan NIP pendaftar.,0.9999999999666667,0.75,0.9091454717241653,0.0
2,Apa yang harus dipersiapkan sebelum mengikuti program internasional?,"Sebelum mengikuti program internasional, hal yang harus dipersiapkan termasuk syarat dokumen yang mengikuti syarat program beasiswa yang dipilih, seperti yang dijelaskan dalam Buku Panduan masing-masing program beasiswa. Selain itu, juga perlu disiapkan format Komitmen kembali ke Indonesia, rencana pasca studi, rencana kontribusi di Indonesia, serta Rencana Bisnis atau Rencana Pengembangan Bisnis. Komitmen kembali ke Indonesia, rencana pasca studi, dan rencana kontribusi di Indonesia harus dideskripsikan dalam tulisan secara jelas dan konkret dalam rentang 1500-2000 kata.","['Syarat dokumen mengikuti syarat program\nbeasiswa yang dipilih (mengacu pada Buku\nPanduan masing-masing program beasiswa).\nSeperti apa format Komitmen kembali ke\nIndonesia, rencana pasca studi, dan\nrencana kontribusi di Indonesia serta\nRencana Bisnis atau Rencana\nPengembangan Bisnis?\nKomitmen kembali ke Indonesia, rencana\npasca studi, dan rencana kontribusi di\nIndonesia (1500 – 2000 kata)\nDeskripsikan dalam tulisan secara jelas dan\nkonkret tentang tema di atas.'
 'i. Mahasiswa dari perguruan tinggi mitra luar negeri program kerjasama yang bersifat \n   resiprokal; atau\n  j. Mahasiswa program sarjana atau sarjana terapan yang mampu mempublikasikan \n   paper pada jurnal internasional bereputasi Q1 sebagai nama pertama dengan \n   rekomendasi Wakil Rektor yang membidangi akademik dibebaskan untuk semester \n   berikutnya atau menarik UKT atau SPP pada semester berjalan apabila lulus \n   yudisium.'
 'i. Mahasiswa dari perguruan tinggi mitra luar negeri program kerjasama yang bersifat \n   resiprokal; atau\n  j. Mahasiswa program sarjana atau sarjana terapan yang mampu mempublikasikan \n   paper pada jurnal internasional bereputasi Q1 sebagai nama pertama dengan \n   rekomendasi Wakil Rektor yang membidangi akademik dibebaskan untuk semester \n   berikutnya atau menarik UKT atau SPP pada semester berjalan apabila lulus \n   yudisium.'
 'program doktor pada semester berjalan; dan/atau\n  d. Mahasiswa program pascasarjana yang berpindah jenis kelas diwajibkan \n   membayar SPP untuk jenis kelas dengan tarif lebih tinggi.\n(2) Perpindahan mahasiswa sebagaimana dimaksud ayat (1) huruf d harus mendapatkan \n  persetujuan Wakil Rektor yang membidangi akademik.']","Persiapan meliputi dokumentasi, keuangan, barang bawaan, pengetahuan, dan psikologi.",0.5833333333041666,1.0,0.9998171403888305,0.0
3,Apa contoh program magang di luar negeri?,Saya tidak mengetahui contoh program magang di luar negeri yang spesifik dari konteks yang diberikan.,"['Syarat dokumen mengikuti syarat program\nbeasiswa yang dipilih (mengacu pada Buku\nPanduan masing-masing program beasiswa).\nSeperti apa format Komitmen kembali ke\nIndonesia, rencana pasca studi, dan\nrencana kontribusi di Indonesia serta\nRencana Bisnis atau Rencana\nPengembangan Bisnis?\nKomitmen kembali ke Indonesia, rencana\npasca studi, dan rencana kontribusi di\nIndonesia (1500 – 2000 kata)\nDeskripsikan dalam tulisan secara jelas dan\nkonkret tentang tema di atas.'
 'i. Mahasiswa dari perguruan tinggi mitra luar negeri program kerjasama yang bersifat \n   resiprokal; atau\n  j. Mahasiswa program sarjana atau sarjana terapan yang mampu mempublikasikan \n   paper pada jurnal internasional bereputasi Q1 sebagai nama pertama dengan \n   rekomendasi Wakil Rektor yang membidangi akademik dibebaskan untuk semester \n   berikutnya atau menarik UKT atau SPP pada semester berjalan apabila lulus \n   yudisium.'
 'i. Mahasiswa dari perguruan tinggi mitra luar negeri program kerjasama yang bersifat \n   resiprokal; atau\n  j. Mahasiswa program sarjana atau sarjana terapan yang mampu mempublikasikan \n   paper pada jurnal internasional bereputasi Q1 sebagai nama pertama dengan \n   rekomendasi Wakil Rektor yang membidangi akademik dibebaskan untuk semester \n   berikutnya atau menarik UKT atau SPP pada semester berjalan apabila lulus \n   yudisium.'
 'kejuaraan/non kejuaraan, dan pengalaman\norganisasi pada aplikasi pendaftaran.\nApa saja persyaratan khusus pendaftaran\nBeasiswa Prioritas LPDP – Campus France\nProgram Master?\nPersyaratan khusus Beasiswa Kemitraan LPDP –\nCampus France Program Master adalah sebagai\nberikut:']",Contoh program magang meliputi Universiti Kuala Lumpur (UniKL) di Malaysia dan Shibaura Institute of Technology di Jepang.,0.6388888888675925,0.0,0.0,0.0
4,Apa yang dimaksud dengan UKT?,"UKT merupakan singkatan dari Uang Kuliah Tunggal, yaitu biaya yang harus dibayar oleh mahasiswa setiap semester untuk biaya pendidikan di perguruan tinggi.","['Syarat dokumen mengikuti syarat program\nbeasiswa yang dipilih (mengacu pada Buku\nPanduan masing-masing program beasiswa).\nSeperti apa format Komitmen kembali ke\nIndonesia, rencana pasca studi, dan\nrencana kontribusi di Indonesia serta\nRencana Bisnis atau Rencana\nPengembangan Bisnis?\nKomitmen kembali ke Indonesia, rencana\npasca studi, dan rencana kontribusi di\nIndonesia (1500 – 2000 kata)\nDeskripsikan dalam tulisan secara jelas dan\nkonkret tentang tema di atas.'
 '3. Apabila ada data dukung yang tidak tersedia tempatnya untuk mengupload, maka data dukung dapat digabungkan\r\ndengan surat permohonan banding UKT/SPP dengan cara dikolase.\r\n4. Bagi mahasiswa Jalur Mandiri Kemitraan, data penghasilan orang tua (ayah dan ibu) yang dimasukkan adalah jumlah\r\ntotal per tahun\r\n5. Bagi mahasiswa jalur reguler, data penghasilan orang tua (ayah dan ibu) yang dimasukkan adalah jumlah total per\r\nbulan.\r\nSurabaya, 16 Nopember 2023\r\nDirektur Perencanaan dan Pengembangan,\r\nDr. Ir. Suwadi M.T.\r\n196808181993031002\r\nPowered by TCPDF (www.tcpdf.org)'
 '(4) Kewajiban membayar dana pendidikan berupa SPA dikenakan kepada Mahasiswa \n  program sarjana dan sarjana terapan yang diterima selain dari jalur Seleksi Nasional \n  kecuali jalur mandiri seleksi mandiri prestasi.\n(5) Untuk mendapatkan NRP, Calon Mahasiswa Baru wajib melakukan pembayaran dana \n  pendidikan sesuai dengan kriteria sebagaimana dimaksud pada ayat (1), ayat (2), dan \n  ayat (3).\n(6) Calon Mahasiswa Baru yang telah mendapatkan NRP dinyatakan terdaftar sebagai \n  Mahasiswa Baru yang ditetapkan dengan keputusan Rektor.\n\n                   BAB V \n           FORMULASI PEMBAYARAN UKT DAN SPP\n\n                 Bagian Kesatu \n            Kewajiban Membayar UKT atau SPP'
 '(4) Kewajiban membayar dana pendidikan berupa SPA dikenakan kepada Mahasiswa \n  program sarjana dan sarjana terapan yang diterima selain dari jalur Seleksi Nasional \n  kecuali jalur mandiri seleksi mandiri prestasi.\n(5) Untuk mendapatkan NRP, Calon Mahasiswa Baru wajib melakukan pembayaran dana \n  pendidikan sesuai dengan kriteria sebagaimana dimaksud pada ayat (1), ayat (2), dan \n  ayat (3).\n(6) Calon Mahasiswa Baru yang telah mendapatkan NRP dinyatakan terdaftar sebagai \n  Mahasiswa Baru yang ditetapkan dengan keputusan Rektor.\n\n                   BAB V \n           FORMULASI PEMBAYARAN UKT DAN SPP\n\n                 Bagian Kesatu \n            Kewajiban Membayar UKT atau SPP']",Uang Kuliah Tunggal,0.999999999975,0.5,0.9432138797033204,0.0
5,Berapa persen keringanan pembayaran SPP bagi mahasiswa aktif pembayar dana pendidikan di luar ITS?,Jawaban: Mahasiswa aktif pembayar dana pendidikan di luar ITS diberikan keringanan sebesar 10% (sepuluh persen) dari besaran SPP.,"['Pasal 6\nMahasiswa program Joint Degree/ Double Degree yang melakukan kegiatan akademik di \nperguruan tinggi mitra luar negeri, diwajibkan membayar SPP:\na. sebesar 100% (seratus persen) di ITS untuk Mahasiswa yang tidak berkewajiban \n  membayar dana pendidikan di perguruan tinggi mitra luar negeri;\nb. sebesar 10% (sepuluh persen) di ITS untuk Mahasiswa yang berkewajiban membayar \n  dana pendidikan di perguruan tinggi mitra luar negeri; dan\nc. sebesar 100% (seratus persen) di ITS untuk Mahasiswa berkegiatan akademik di \n  perguruan tinggi mitra luar negeri yang mensyaratkan pembagian pendapatan SPP \n  dengan ITS.\n\n                   Pasal 7\n(1) Mahasiswa asing membayar UKT atau SPP yang besarannya ditetapkan dengan \n  keputusan Rektor.\n(2) Mahasiswa asing dari negara berkembang dapat diberikan beasiswa dari ITS berupa \n  keringanan pembayaran UKT atau SPP yang ditetapkan dengan keputusan Rektor.'
 'Pasal 6\nMahasiswa program Joint Degree/ Double Degree yang melakukan kegiatan akademik di \nperguruan tinggi mitra luar negeri, diwajibkan membayar SPP:\na. sebesar 100% (seratus persen) di ITS untuk Mahasiswa yang tidak berkewajiban \n  membayar dana pendidikan di perguruan tinggi mitra luar negeri;\nb. sebesar 10% (sepuluh persen) di ITS untuk Mahasiswa yang berkewajiban membayar \n  dana pendidikan di perguruan tinggi mitra luar negeri; dan\nc. sebesar 100% (seratus persen) di ITS untuk Mahasiswa berkegiatan akademik di \n  perguruan tinggi mitra luar negeri yang mensyaratkan pembagian pendapatan SPP \n  dengan ITS.\n\n                   Pasal 7\n(1) Mahasiswa asing membayar UKT atau SPP yang besarannya ditetapkan dengan \n  keputusan Rektor.\n(2) Mahasiswa asing dari negara berkembang dapat diberikan beasiswa dari ITS berupa \n  keringanan pembayaran UKT atau SPP yang ditetapkan dengan keputusan Rektor.'
 'Pasal 13\nMahasiswa program sarjana dan sarjana terapan pada semester 9, dan mengambil mata \nkilliah kurang dari atau sama dengan 6 sks, diberikan keringanan sebesar 50% (lima \npuluh persen) dari besaran UKT atau SPP.\n\n                Bagian Keempat \n           Keringanan Dana SPP Untuk Dosen ITS'
 'Pasal 13\nMahasiswa program sarjana dan sarjana terapan pada semester 9, dan mengambil mata \nkilliah kurang dari atau sama dengan 6 sks, diberikan keringanan sebesar 50% (lima \npuluh persen) dari besaran UKT atau SPP.\n\n                Bagian Keempat \n           Keringanan Dana SPP Untuk Dosen ITS']",Maksimal 90%,0.999999999975,0.0,0.9788320355126866,0.0
6,Apa yang dimaksud dengan Program Studi dalam peraturan ini?,"Program Studi dalam peraturan ini mengacu pada program sarjana, program sarjana terapan, program doktor, dan program pascasarjana yang diatur dalam ketentuan-ketentuan yang tercantum dalam Peraturan Rektor No. 5/2023 Dana Pendidikan ITS.","['i. Mahasiswa dari perguruan tinggi mitra luar negeri program kerjasama yang bersifat \n   resiprokal; atau\n  j. Mahasiswa program sarjana atau sarjana terapan yang mampu mempublikasikan \n   paper pada jurnal internasional bereputasi Q1 sebagai nama pertama dengan \n   rekomendasi Wakil Rektor yang membidangi akademik dibebaskan untuk semester \n   berikutnya atau menarik UKT atau SPP pada semester berjalan apabila lulus \n   yudisium.'
 'i. Mahasiswa dari perguruan tinggi mitra luar negeri program kerjasama yang bersifat \n   resiprokal; atau\n  j. Mahasiswa program sarjana atau sarjana terapan yang mampu mempublikasikan \n   paper pada jurnal internasional bereputasi Q1 sebagai nama pertama dengan \n   rekomendasi Wakil Rektor yang membidangi akademik dibebaskan untuk semester \n   berikutnya atau menarik UKT atau SPP pada semester berjalan apabila lulus \n   yudisium.'
 'program doktor pada semester berjalan; dan/atau\n  d. Mahasiswa program pascasarjana yang berpindah jenis kelas diwajibkan \n   membayar SPP untuk jenis kelas dengan tarif lebih tinggi.\n(2) Perpindahan mahasiswa sebagaimana dimaksud ayat (1) huruf d harus mendapatkan \n  persetujuan Wakil Rektor yang membidangi akademik.'
 'program doktor pada semester berjalan; dan/atau\n  d. Mahasiswa program pascasarjana yang berpindah jenis kelas diwajibkan \n   membayar SPP untuk jenis kelas dengan tarif lebih tinggi.\n(2) Perpindahan mahasiswa sebagaimana dimaksud ayat (1) huruf d harus mendapatkan \n  persetujuan Wakil Rektor yang membidangi akademik.']",Kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum dan metode pembelajaran tertentu,0.99999999995,0.4,0.9999999999999997,0.0
7,Apa saja yang termasuk dana pendidikan menurut Pasal 3 ayat (2) peraturan ini?,Dana pendidikan menurut Pasal 3 ayat (2) peraturan ini mencakup biaya pendidikan yang harus dibayar oleh Mahasiswa program sarjana dan sarjana terapan yang diterima selain dari jalur Seleksi Nasional kecuali jalur mandiri seleksi mandiri prestasi.,"['(4) Kewajiban membayar dana pendidikan berupa SPA dikenakan kepada Mahasiswa \n  program sarjana dan sarjana terapan yang diterima selain dari jalur Seleksi Nasional \n  kecuali jalur mandiri seleksi mandiri prestasi.\n(5) Untuk mendapatkan NRP, Calon Mahasiswa Baru wajib melakukan pembayaran dana \n  pendidikan sesuai dengan kriteria sebagaimana dimaksud pada ayat (1), ayat (2), dan \n  ayat (3).\n(6) Calon Mahasiswa Baru yang telah mendapatkan NRP dinyatakan terdaftar sebagai \n  Mahasiswa Baru yang ditetapkan dengan keputusan Rektor.\n\n                   BAB V \n           FORMULASI PEMBAYARAN UKT DAN SPP\n\n                 Bagian Kesatu \n            Kewajiban Membayar UKT atau SPP'
 '(4) Kewajiban membayar dana pendidikan berupa SPA dikenakan kepada Mahasiswa \n  program sarjana dan sarjana terapan yang diterima selain dari jalur Seleksi Nasional \n  kecuali jalur mandiri seleksi mandiri prestasi.\n(5) Untuk mendapatkan NRP, Calon Mahasiswa Baru wajib melakukan pembayaran dana \n  pendidikan sesuai dengan kriteria sebagaimana dimaksud pada ayat (1), ayat (2), dan \n  ayat (3).\n(6) Calon Mahasiswa Baru yang telah mendapatkan NRP dinyatakan terdaftar sebagai \n  Mahasiswa Baru yang ditetapkan dengan keputusan Rektor.\n\n                   BAB V \n           FORMULASI PEMBAYARAN UKT DAN SPP\n\n                 Bagian Kesatu \n            Kewajiban Membayar UKT atau SPP'
 'kemitraan/kerja sama beasiswa prioritas, maka tidak dapat berpindah program studi, perguruan\ntinggi, dan/atau program Beasiswa LPDP lainnya, atau kelulusan akan dibatalkan.\nDemikian surat pernyataan ini dibuat dengan sebenar-benarnya untuk dapat digunakan sebagaimana\nmestinya. Apabila saya melanggar dan tidak mematuhi surat pernyataan ini, saya bersedia menerima\nsanksi sesuai ketentuan yang berlaku.'
 'Pasal 26\nPeraturan Rektor ini mulai berlaku pada tanggal ditetapkan.\n\n\n                                                                           Ditetapkan di Surabaya\n                                                                              pada tanggal 3 Januari 2023']","UKT, SPP, SPI, dan SPA",0.99999999995,1.0,0.9744495180864042,0.0
8,Berapa biaya hidup di Eropa untuk program pertukaran?,Saya tidak mengetahui informasi tersebut.,"['kemitraan/kerja sama beasiswa prioritas, maka tidak dapat berpindah program studi, perguruan\ntinggi, dan/atau program Beasiswa LPDP lainnya, atau kelulusan akan dibatalkan.\nDemikian surat pernyataan ini dibuat dengan sebenar-benarnya untuk dapat digunakan sebagaimana\nmestinya. Apabila saya melanggar dan tidak mematuhi surat pernyataan ini, saya bersedia menerima\nsanksi sesuai ketentuan yang berlaku.'
 'program doktor pada semester berjalan; dan/atau\n  d. Mahasiswa program pascasarjana yang berpindah jenis kelas diwajibkan \n   membayar SPP untuk jenis kelas dengan tarif lebih tinggi.\n(2) Perpindahan mahasiswa sebagaimana dimaksud ayat (1) huruf d harus mendapatkan \n  persetujuan Wakil Rektor yang membidangi akademik.'
 'program doktor pada semester berjalan; dan/atau\n  d. Mahasiswa program pascasarjana yang berpindah jenis kelas diwajibkan \n   membayar SPP untuk jenis kelas dengan tarif lebih tinggi.\n(2) Perpindahan mahasiswa sebagaimana dimaksud ayat (1) huruf d harus mendapatkan \n  persetujuan Wakil Rektor yang membidangi akademik.'
 'i. Mahasiswa dari perguruan tinggi mitra luar negeri program kerjasama yang bersifat \n   resiprokal; atau\n  j. Mahasiswa program sarjana atau sarjana terapan yang mampu mempublikasikan \n   paper pada jurnal internasional bereputasi Q1 sebagai nama pertama dengan \n   rekomendasi Wakil Rektor yang membidangi akademik dibebaskan untuk semester \n   berikutnya atau menarik UKT atau SPP pada semester berjalan apabila lulus \n   yudisium.']","Biaya hidup di Eropa sekitar €7,800 per tahun dan biaya kuliah sekitar €10,140 per tahun.",0.0,0.0,0.0,0.0
9,Apa keuntungan mengikuti program pertukaran pelajar?,Tidak ada informasi yang relevan dalam konteks yang diberikan mengenai keuntungan mengikuti program pertukaran pelajar.,"['Syarat dokumen mengikuti syarat program\nbeasiswa yang dipilih (mengacu pada Buku\nPanduan masing-masing program beasiswa).\nSeperti apa format Komitmen kembali ke\nIndonesia, rencana pasca studi, dan\nrencana kontribusi di Indonesia serta\nRencana Bisnis atau Rencana\nPengembangan Bisnis?\nKomitmen kembali ke Indonesia, rencana\npasca studi, dan rencana kontribusi di\nIndonesia (1500 – 2000 kata)\nDeskripsikan dalam tulisan secara jelas dan\nkonkret tentang tema di atas.'
 'program doktor pada semester berjalan; dan/atau\n  d. Mahasiswa program pascasarjana yang berpindah jenis kelas diwajibkan \n   membayar SPP untuk jenis kelas dengan tarif lebih tinggi.\n(2) Perpindahan mahasiswa sebagaimana dimaksud ayat (1) huruf d harus mendapatkan \n  persetujuan Wakil Rektor yang membidangi akademik.'
 'program doktor pada semester berjalan; dan/atau\n  d. Mahasiswa program pascasarjana yang berpindah jenis kelas diwajibkan \n   membayar SPP untuk jenis kelas dengan tarif lebih tinggi.\n(2) Perpindahan mahasiswa sebagaimana dimaksud ayat (1) huruf d harus mendapatkan \n  persetujuan Wakil Rektor yang membidangi akademik.'
 'i. Mahasiswa dari perguruan tinggi mitra luar negeri program kerjasama yang bersifat \n   resiprokal; atau\n  j. Mahasiswa program sarjana atau sarjana terapan yang mampu mempublikasikan \n   paper pada jurnal internasional bereputasi Q1 sebagai nama pertama dengan \n   rekomendasi Wakil Rektor yang membidangi akademik dibebaskan untuk semester \n   berikutnya atau menarik UKT atau SPP pada semester berjalan apabila lulus \n   yudisium.']","Keuntungan termasuk pengalaman internasional, kredit transfer, dan kemungkinan mendapat beasiswa jika berprestasi.",0.249999999975,1.0,0.0,0.0
