Question,Expected Answer
Apa isi dari Permendikbud Nomor 3 Tahun 2020?,"Pendidikan Tinggi, mahasiswa sarjana ataupun mahasiswa sarjana terapan memiliki kesempatan menempuh pembelajaran diluar Perguruan Tinggi."
Apa saja ketentuak mahasiswa dalam melaksanakan magang?,"1. Pelaksanaan Program Magang memiliki durasi minimal 1 bulan dan maksimal 6 bulan. 2. Selama Program Magang berlangsung, mahasiswa tidak harus mengajukan cuti. 3. Selama Program Magang berlangsung, mahasiswa secara penuh waktu bekerja di lapangan sesuai kesepakatan. 4. Mahasiswa bisa mendapatkan izin untuk melakukan kegiatan akademik tertentu, melalui pembicaraan dan kesepakatan dengan pihak Mitra Magang. 5. Mahasiswa dapat mengajukan konversi mata kuliah dengan Capaian Pembelajaran Mata Kuliah (CPMK) yang selaras dengan Program Magang. 6. Mahasiswa wajib dibimbing oleh pembimbing internal dari Dosen Departemen dan pembimbing lapangan dari Mitra Magang 7. Sebelum Program Magang berlangsung, mahasiswa, Departemen dan Mitra Magang wajib menandatangani perjanjian kerjasama dan nota kesepahaman."
Apa  Manfaat Program Magang bagi Mahasiswa,• Sarana mengaplikasikan ilmu di dalam kelas perkuliahan ke dunia kerja. • Sarana mengetahui dan mempelajari proses industri. • Berinteraksi langsung dengan mitra magang. • Sarana memperoleh bahan tugas akhir. • Menyelesaikan SKS mata kuliah.
Berapa perhitugan 1 sks magang dalam jam kerja?,setara dengan kerja 45 jam
Bagaimana Proses pengajuan konversi kegiatan magang dengan MK yang setara CPMK-nya?,"• Subdirektorat PK2 akan menyampaikan rencana kegiatan selama magang yang diterima dari mitra magang kepada departemen dimana mahasiswa magang berasal. • Departemen akan melakukan verifikasi dan validasi untuk menilai mata kuliah apa saja yang CPMK-nya selaras dengan kegiatan magang berdasarkan rencana kegiatan magang dan akan berdiskusi dengan mitra magang jika diperlukan untuk mendapat-kan penjelasan lebih detail. • Departemen akan menyampaikan ke mahasiswa hasil verifikasi berupa daftar MK yang dapat dikonversikan dengan kegiatan magang. • Mahasiswa harus mengisi FRS dengan Mata Kuliah yang akan dikonversikan dengan Kegiatan Magang pada semester yang sama, atau mahasiswa bersama dosen wali akan melakukan revisi paling lambat minggu ke 4 perkuliahan jika jadwal FRS sudah terlampaui."
Bagaimana SOP konversi mata kuliah untuk magang mandiri?,Melaporkan kegiatan magang Mengupdate data magang Mengajukan permohonan konversi MK Melakukan telaah dan verifikasi bersama tim akademik departemen Menerima hasil telaah MK yang dikonversikan dengan Magang Melakukan FRS / Perubahan FRS Dosen wali mengetahui dan menyetujui FRS / Perubahan FRS di semester yang sama / di semester depan
Apa itu Program Magang Mahasiswa Bersertifikat (PMMB) ?,Program Magang Mahasiswa Bersertifikat (PMMB) merupakan program magang yang bekerjasama dengan Forum Human Capital Indonesia (FHCI).
"Apa peran Subdirektorat Pengembangan Kewirausahaan dan
Karir (PK2) dalam penyelenggaraan Program Magang?",1. Sebagai koordinator dalam penyelenggaraan Program Magang. 2. Menyusun kebijakan terkait magang untuk memfasilitasi kegiatan pembelajaran akademik dan Program Magang. 3. Mengkoordinasikan penyusunan Perjanjian Kerja Sama (PKS) dengan Mitra Magang. 4. Menginisiasi kerjasama magang dengan mitra magang
Bagaimana skema waktu pelaksanaan program magang?,Program Mahasiswa Magang Bersertifikat (PMMB) • Magang dilaksanakan maksimal 6 bulan • Magang dilaksanakan 2 periode dalam 1 tahun yaitu 1. Periode Febuari - Agustus 2. Periode September - Januari Program Mahasiswa Magang Kerjasama • Magang dilaksanakan sekurang-kurangnya 1 bulan maksimal 6 bulan • Magang dilaksanakan setiap saat sesuai dengan kesepakatan dengan Mitra Magang. Program Magang Mandiri • Magang dilaksanakan sekurang-kurangnya 1 bulan dan maksimal 6 bulan • Magang dilaksanakan setiap saat sesuai dengan kesepakatan dengan Mitra Magang.
Apa saja rincian tugas dosen pembimbing magang?,• Memberikan saran dan masukan saat konsultasi keilmuan jika diperlukan oleh mahasiswa selama magang. • Melakukan kegiatan pembimbingan bagi mahasiswa magang untuk dapat berkonsultasi selama magang atau bimbingan penulisan laporan magang. • Memberikan persetujuan dan penilaian Laporan Magang. • Memberikan penilaian dapat dilakukan dalam bentuk penilaian laporan magang dan atau presentasi kegiatan magang.
