Question,Expected Answer
Apa tujuan dari Program Internship Internasional CCU/CoE 2024? ,"Tujuannya adalah untuk memberikan kesempatan bagi mahasiswa internasional untuk memahami lebih baik penelitian di bidang teknik dan teknologi di CCU, serta untuk mempraktikkan keterampilan mereka, memperoleh kompetensi baru, dan mengalami budaya yang berbeda."
Kapan periode magang berlangsung?,"Periode magang berlangsung antara 1 Mei hingga 31 Desember 2024, minimal 8 minggu."
Apa saja jenis beasiswa yang ditawarkan dalam program ini?,Program menawarkan dua jenis beasiswa: (A) Beasiswa dan (B) magang dengan biaya sendiri (self-supported).
Apa saja manfaat dari Beasiswa Tipe-A? ,"Beasiswa Tipe-A mencakup akomodasi di kampus, tunjangan mingguan sebesar NTD 1,500, dan penggantian biaya tiket pesawat (maksimal NTD 10,000)."
Siapa yang memenuhi syarat untuk mendaftar program ini?,Program ini terbuka untuk mahasiswa pascasarjana (S2/S3) dan mahasiswa tahun ketiga atau lebih tinggi. Mahasiswa yang sudah menyelesaikan gelar PhD tidak memenuhi syarat.
Apa persyaratan dokumen yang harus disiapkan untuk pendaftaran?,"Dokumen yang diperlukan meliputi: formulir aplikasi online, CV, transkrip resmi, surat rekomendasi, sertifikat kemampuan bahasa, rencana penelitian, salinan paspor, foto head-shot, dan dokumen tambahan opsional."
Bagaimana cara mengajukan aplikasi untuk program ini?,"Pelamar harus membaca persyaratan setiap topik penelitian dengan cermat, melengkapi formulir aplikasi online, menyiapkan dokumen aplikasi, dan mengirim semuanya dalam file ZIP ke coleng_dia@ccu.edu.tw dengan subjek email “Application for 2024 CCU/COE International Internship”."
Apa tenggat waktu penyerahan aplikasi? ,Tenggat waktu penyerahan aplikasi adalah 3 Maret 2024.
Proyek apa saja yang tersedia dalam program ini?,"Terdapat berbagai proyek, termasuk ""Trustable Artificial Intelligence for Critical Applications and 6G Security,"" ""Grid-Forming and Grid-Following Inverter-based Resources for Low-Inertia Microgrid/Grid,"" dan banyak lagi."
"Siapa mentor yang terlibat dalam proyek P1 ""Trustable Artificial Intelligence for Critical Applications and 6G Security""?","Mentor untuk proyek ini adalah Asst. Prof. Van-Linh Nguyen dari Dept. of Computer Science and Information Engineering, CCU."
Apa yang dapat diperoleh peserta selama periode magang pada proyek P1? ,"Peserta akan memperoleh keterampilan dalam penelitian state-of-the-art, keterampilan pemrograman melalui proyek mini, debat untuk mendapatkan ide kreatif, pelaporan hasil secara profesional, dan menghadiri tur industri serta kursus bahasa Tionghoa."
"Proyek P2 ""A Study of Grid-Forming and Grid-Following Inverter-based Resources for Low-Inertia Microgrid/Grid with Virtual Inertia and Grid Voltage Support Functions"" mencakup apa?",Proyek ini mencakup penelitian berbasis simulasi untuk meningkatkan ketahanan dan stabilitas jaringan mikrogid/inverter berinertia rendah dengan menggunakan inverter GFM dan GFL dengan fungsi inertia virtual dan dukungan tegangan grid.
"Apa yang akan dipelajari dalam proyek P3 ""Lidar and Camera Fusion for Autonomous Driving""?","Peserta akan mengembangkan algoritma untuk kalibrasi data sensor, pemrosesan titik awan, dan pemrosesan gambar untuk penggabungan data lidar dan kamera untuk sistem mengemudi otonom."
"Apa yang membuat proyek P5 ""Computer Vision Applications based on Deep Learning Techniques"" menarik?","Proyek ini mencakup teknik pembelajaran mendalam seperti CNN, RNN, LSTM, dan lain-lain untuk aplikasi seperti ekstraksi kerangka 3D manusia, pengenalan tindakan, dan estimasi pose objek dari gambar RGB tunggal."
"Apa fokus dari proyek P8 ""Silicon Photonics and Optical Biosensors""? ",Fokusnya adalah mengembangkan photodetektor berbasis silikon baru yang kompatibel dengan CMOS dan biosensor optik sekali pakai untuk deteksi biomedis yang cepat dan hemat biaya.
"Apa yang menjadi target penelitian dalam proyek P10 ""Effect of Operating Conditions on the Performance of an All-Vanadium Redox Flow Battery""?",Penelitian ini bertujuan untuk mempelajari efek kondisi operasi seperti konsentrasi elektrolit dan laju aliran elektrolit pada kinerja baterai aliran redoks vanadium.
"Apa tujuan dari proyek P12 ""Numerical Modeling and Experiments of an Atmospheric Pressure Plasma Jet Operated in Air with Shielding Gas""?",Tujuan proyek ini adalah menggabungkan model plasma fluida dua dimensi axisimetrik dengan model aliran gas untuk memprediksi perilaku dinamis plasma jet tekanan atmosfer menggunakan gas helium.
"Proyek P13 ""Application of Novel Snap-shot based Hyperspectral Imaging Combined with AI to Detect Lesions"" menggunakan metode apa?","Proyek ini menggunakan model pembelajaran mesin seperti YOLOv5, YOLOv8, R-CNN, dan Faster R-CNN untuk mendeteksi kanker esofagus stadium awal menggunakan model gambar cahaya putih (WLI) dan gambar narrowband hiperspektral (HSI-NBI)."
"Apa yang akan dikembangkan dalam proyek P16 ""Next Generation Wireless Communication, B5G/6G, Reconfigurable Intelligent Surface, System Level Simulation, Artificial Intelligence-enhanced Wireless Research""? ","Proyek ini berfokus pada inovasi dan desain konsep-konsep canggih dan arsitektur di luar 5G dan 6G, mengidentifikasi dan memvalidasi solusi untuk masalah kunci melalui simulasi atau eksperimen prototipe, serta merancang algoritma, model, dan protokol baru untuk mengoptimalkan kinerja jaringan nirkabel."
Bagaimana cara menghubungi penyelenggara program internship ini?,"Kontak dapat dilakukan melalui nomor +886-5-2720411 ext. 23003, 23005, atau email coleng_dia@ccu.edu.tw. Alamatnya adalah No.168, Sec. 1, University Rd., Minhsiung, Chiayi 621301, Taiwan (R.O.C.)."
