Question,Expected Answer
Apa tata tertib pelaksanaan sidang proposal tesis?,"1. Peserta sidang proposal tesis menyiapkan perangkat laptop yang memadai dan jaringan internet yang stabil serta berada di tempat yang kondusif. 2. Peserta sidang proposal tesis menyiapkan aplikasi Zoom dengan fitur kamera dan audio yang dapat berfungsi dengan baik. 3. Peserta sidang proposal tesis menyiapkan file presentasi berupa PPT dan draft proposal tesis. 4. Waktu sidang proposal tesis berlangsung selama 60 menit, 15 menit presentasi dan 45 menit tanya jawab. 5. Peserta sidang proposal tesis disarankan untuk standby 30 menit sebelum jadwal yang ditentukan dan dapat bergabung pada link zoom meeting sesuai jadwal yang telah ditentukan atau sesuai instruksi dari dosen pembimbing/ penguji. 6. Peserta sidang proposal tesis memakai dresscode berupa kemeja lengan panjang dan berdasi (laki-laki) dan memakai kemeja dengan blazer tanpa berdasi (perempuan). 7. Selama sidang proposal tesis, peserta sidang proposal tesis wajib menggunakan virtual background yang dapat diunduh melalui https://bit.ly/VBProposalTesis dan kamera diharapkan selalu menyala (ON). 8. Selama sesi diskusi dan tanya jawab, peserta sidang proposal tesis diharapkan dapat mencatat masukan dan koreksi dari dosen penguji. 9. Link Zoom meeting sidang proposal tesis akan diinfokan H-1 melalui grup Whatsapp."
Apa tujuan utama penulisan tesis di program magister ITS?,Tesis ditulis untuk memenuhi salah satu syarat kelulusan program magister dan harus mengikuti kaidah ilmiah serta standar penulisan yang baik dan benar
Bagaimana format penulisan proposal tesis yang benar menurut pedoman ITS?,"Proposal tesis harus ditulis dalam Bahasa Indonesia dengan huruf Times New Roman ukuran 12, 1,5 spasi, dan menggunakan kertas A4 - 80 gram."
Apa saja komponen utama yang harus ada dalam proposal tesis,"Komponen utama proposal tesis meliputi judul penelitian, lembar pengesahan, abstrak, daftar isi, dan bab-bab yang terdiri dari pendahuluan, kajian pustaka, metoda penelitian, rencana dan jadwal penelitian, serta daftar pustaka dan lampiran."
Bagaimana cara penulisan abstrak yang benar dalam proposal tesis?,"Abstrak ditulis dalam Bahasa Indonesia dan Bahasa Inggris pada halaman yang berbeda, maksimal 350 kata, dengan format yang mencakup latar belakang, permasalahan, metodologi, dan kata kunci."
Bagaimana aturan penomoran halaman dalam proposal dan tesis?,"Semua bagian sebelum teks diberi nomor halaman dengan angka Romawi kecil pada bagian bawah-tengah halaman, sedangkan bagian teks dan seterusnya menggunakan angka Arab dan diletakkan di bagian bawah-tengah halaman."
Apa ketentuan margin dalam penulisan proposal tesis? ,"Margin yang ditetapkan adalah 3,5 cm dari tepi atas, 3 cm dari tepi bawah, 4 cm dari tepi kiri (halaman ganjil) atau kanan (halaman genap), dan 3 cm dari tepi kanan (halaman ganjil) atau kiri (halaman genap)."
Apa syarat yang harus dipenuhi mahasiswa sebelum dapat membuat proposal tesis,"Mahasiswa harus menyelesaikan minimal 25% beban sks dengan IP kumulatif di atas 2,5 tanpa nilai D dan E sebelum dapat membuat proposal tesis."
Bagaimana proses seminar proposal tesis dilaksanakan? ,"Proposal tesis harus dipresentasikan dalam seminar terbuka yang dihadiri oleh dosen pembimbing, dosen penguji, mahasiswa pascasarjana pada bidang keahlian yang sama, dan pihak lain yang berminat."
Apa saja pilihan penilaian yang dapat diberikan oleh tim penguji proposal tesis?,"im penguji dapat memberikan penilaian berupa: proposal disetujui, proposal disetujui dengan perbaikan, atau proposal tidak disetujui dan harus diulang."
Apa yang dilakukan jika perbaikan proposal tesis tidak diselesaikan dalam waktu yang ditentukan?,"Jika perbaikan proposal tidak diselesaikan dalam waktu 30 hari sejak seminar, proposal tesis dinyatakan gugur dan mahasiswa harus mengulang seminar proposal."
Apa saja mineral lempung yang ditampilkan dalam Tabel 3.4?,"Mineral lempung yang ditampilkan dalam Tabel 3.4 adalah Kaolinite, Illite, Montmorillonite, Halloysite (hydrated dan dehydrated), Attapulgite, dan Allophane."
Apa yang diukur dalam pengukuran resistivitas dan mikrotremor seperti yang disebutkan dalam abstrak penelitian mahasiswa?,"Pengukuran resistivitas digunakan untuk mengevaluasi variasi spasial dan temporal dari kandungan air dan heterogenitas bawah permukaan, sedangkan pengukuran mikrotremor digunakan untuk memahami respon tanah terhadap ground motion dan efek tapak lokal, serta menentukan periode natural dan puncak amplitudo tanah."
Bagaimana pengaruh kandungan air terhadap resistivitas tanah menurut penelitian tersebut? ,"Untuk kandungan air kurang dari 25%, resistivitas tanah menurun sangat tajam dan sensitif terhadap berat volume tanah kering serta kandungan mineral lempung setempat. Penurunan resistivitas hampir linear untuk kandungan air lebih dari 25%."
"Berdasarkan abstrak, di mana lokasi penelitian kestabilan lereng dilakukan?","Lokasi penelitian kestabilan lereng dilakukan di Desa Kemuning Lor Arjasa, Jember, dan Desa Sumber Aji, Batu Malang."
Apa tujuan dari penelitian yang disebutkan dalam abstrak proposal tesis?,Penelitian bertujuan untuk mengkaji stabilitas lereng pada tanah residual akibat pengaruh infiltrasi air hujan dan seismisitas dengan menggunakan pengukuran resistivitas dan mikrotremor.
Kapan saja sidang proposal tesis dilaksanakan dalam satu semester di program studi S2 Teknik Informatika FT-EIC ITS? ,"Sidang proposal tesis dilaksanakan dua kali dalam satu semester, yaitu pada minggu ke-5 hingga minggu ke-6 dan minggu ke-17 hingga minggu ke-18."
Apa saja langkah yang harus dilakukan mahasiswa setelah mendaftar sidang proposal tesis? ,"Setelah mendaftar, mahasiswa harus melengkapi berkas persyaratan, meminta tanda tangan form revisi dan lembar pengesahan dari dosen pembimbing dan penguji, serta mengunggah hasil revisi dan lembar revisi ke link yang telah disediakan. Mahasiswa juga harus menghadiri sidang proposal tesis sesuai jadwal yang telah ditentukan."
Apa yang dilakukan Admin Akademik Pascasarjana setelah mahasiswa menyelesaikan revisi?,"Admin Akademik Pascasarjana menginfokan link untuk mengunggah hasil revisi ke mahasiswa, merubah status sidang proposal tesis di MonTes dari 'Revisi' menjadi 'Disetujui', dan merekap data mahasiswa yang telah menyelesaikan revisi untuk diinformasikan ke Kaprodi."
Bagaimana dosen pembimbing dan penguji menilai dan memberikan catatan revisi kepada mahasiswa? ,"Dosen pembimbing dan penguji memberikan penilaian dan catatan revisi melalui Google Form, mengisi berita acara sidang proposal, dan menandatangani form revisi serta lembar pengesahan setelah memeriksa hasil revisi yang diajukan oleh mahasiswa."
