Question,Expected Answer
Kapan Wisuda ITS ke-129 akan dilaksanakan?,Wisuda ITS ke-129 akan dilaksanakan pada tanggal 20-21 April 2024.
Di mana lokasi pelaksanaan Wisuda ITS ke-129?,"Lokasi pelaksanaan Wisuda ITS ke-129 adalah di Gedung Graha Sepuluh Nopember, Kampus ITS Sukolilo, Surabaya."
Kapan pembekalan wisuda dilaksanakan?,"Pembekalan wisuda dilaksanakan pada Kamis, 18 April 2024 pukul 08.00 WIB di Gedung Graha Sepuluh Nopember (offline)."
Berapa biaya wisuda untuk program Magister dan Doktor? ,"Biaya wisuda untuk program Magister dan Doktor sebesar Rp. 1.000.000,-."
Kapan periode pembayaran biaya wisuda dan toga untuk program Magister dan Doktor?,Periode pembayaran adalah dari tanggal 4 sampai 15 Maret 2024.
Bagaimana cara pembayaran biaya wisuda untuk program Magister dan Doktor?,"Pembayaran dilakukan dengan sistem host to host melalui bank Mandiri, BRI, BNI, dan BSI dengan menyebutkan angka 93 diikuti NRP."
Apakah mahasiswa Program Sarjana dan Sarjana Terapan dikenakan biaya wisuda?,"Tidak, mahasiswa Program Sarjana dan Sarjana Terapan tidak dikenakan biaya wisuda, hanya dikenakan uang jaminan toga."
"Di mana calon wisudawan dapat mengambil gordon, toga, dan undangan wisuda?",Di gedung Dharma Wanita Persatuan ITS.
 Apa saja yang harus dibawa oleh Magister dan Doktor saat mengambil toga?,Menyerahkan bukti slip pembayaran wisuda dan slip sewa toga dari bank.
Apa saja yang harus dibawa oleh Sarjana dan Sarjana Terapan saat mengambil toga?,Menunjukkan identitas diri dan menyerahkan bukti pembayaran/slip sewa toga dari bank.
"Kapan jadwal pengambilan toga, gordon, undangan, dan pemesanan foto prosesi?","Pada hari Rabu dan Kamis, tanggal 17 & 18 April 2024 pukul 08.00-12.00 WIB."
Berapa biaya jaminan toga untuk Wisudawan S1 dan S1 Terapan? ,"Biaya jaminan toga untuk Wisudawan S1 dan S1 Terapan sebesar Rp. 300.000,-."
Berapa biaya sewa dan jaminan toga untuk Wisudawan ASING dan Non UKT S2 & S3?,"Biaya sewa dan jaminan toga sebesar Rp. 550.000,-."
Ke rekening mana pembayaran biaya toga harus dilakukan?,Pembayaran dilakukan ke rekening BNI No. Rek. 8586878897 atas nama Dharma Wanita Persatuan ITS.
Apakah layanan ATM disarankan untuk pembayaran biaya toga?,Tidak disarankan karena tidak bisa memasukkan identitas NRP dan Departemen.
Kapan periode pembayaran toga?,Periode pembayaran adalah dari 27 Februari 2024 hingga 15 Maret 2024.
Bagaimana cara mengisi data untuk peminjaman toga?,Data diisi secara online di situs wisuda.dwpits.id dari 27 Februari 2024 hingga 15 Maret 2024.
Apa saja persyaratan ukuran toga yang harus diperhatikan?,Ukur size sesuai panduan UKURAN LINGKAR DADA (LD) dan PANJANG BAJU (PB) yang disediakan.
Siapa yang dapat dihubungi terkait informasi sewa toga?,"Ibu Tri Arif (0822 3459 5170), Ibu Faimun (0895 3262 90800), Ibu Sutopo (0821 4359 9392)."
Kapan toga harus dikembalikan?,Toga harus dikembalikan pada tanggal 22 April 2024.
