question,context,,,,,,,
Apa tujuan dari peraturan penyelenggaraan kegiatan merdeka belajar - kampus merdeka di ITS?,"Tujuan diterbitkannya Peraturan Rektor ini adalah untuk mewujudkan kegiatan pembelajaran yang dapat menghasilkan lulusan yang berkualitas dan memenuhi visi, misi, tata nilai dan tujuan ITS serta memenuhi SN-DIKTI.",,,,,,,
Apa yang dimaksud dengan MBKM?,"Merdeka Belajar - Kampus Merdeka yang selanjutnya disingkat MB - KM adalah kebijakan Menteri Pendidikan dan Kebudayaan, yang bertujuan mendorong mahasiswa untuk menguasai berbagai keilmuan yang berguna untuk memasuki dunia kerja dengan memberikan kesempatan bagi mahasiswa untuk memilih mata kuliah yang akan mereka ambil.",,,,,,,
Apa saja bentuk kegiatan pembelajaran dalam MBKM di ITS?,Ruang lingkup kegiatan MB - KM adalah 8 (delapan) bentuk kegiatan pembelajaran (BKP) yang meliputi: a. Magang/ Praktik Kerja,b. Membangun Desa/ Kuliah Kerja Nyata Tematik,c. Pertukaran Pelajar,d. Proyek Kemanusiaan,e. Penelitian/ Riset,f. Kegiatan Wirausaha,g. Studi/ Proyek Independen,dan h. Asistensi Mengajar di Satuan Pendidikan.
Berapa SKS maksimal yang dapat diambil dalam MBKM?,Jumlah sks maksimal yang dapat diambil dalam rangka pelaksanaan kegiatan MB - KM adalah 40 (empat puluh) sks.,,,,,,,
Apa yang dimaksud dengan pertukaran pelajar dalam negeri?,"Kegiatan pertukaran pelajar/ kuliah dalam negeri ditujukan untuk memperluas wawasan mahasiswa, penyetaraan pendidikan, pengkayaan sains dan teknologi (saintek) serta terjadinya kolaborasi invensi dan inovasi multidisiplin lingkup dalam negeri.",,,,,,,
Apa saja syarat untuk pertukaran pelajar dari perguruan tinggi lain ke ITS?,Mahasiswa dari perguruan tinggi lain diijinkan mengambil mata kuliah di ITS dengan syarat Program Studi asal memiliki akreditasi yang sama dengan Program Studi di ITS. Jumlah mahasiswa dari perguruan tinggi lain dibatasi maksimal sebesar 10% dari daya tampung Program Studi di ITS.,,,,,,,
Apa tujuan dari kegiatan asistensi mengajar di satuan pendidikan?,"Kegiatan asistensi mengajar di satuan pendidikan ditujukan untuk memberikan kesempatan bagi mahasiswa yang memiliki minat dalam bidang pendidikan dan membantu meningkatkan pemerataan kualitas pendidikan, serta relevansi pendidikan dasar dan menengah dengan pendidikan tinggi dan perkembangan zaman.",,,,,,,
Bagaimana mekanisme kegiatan pengabdian kepada masyarakat pada program sarjana di ITS?,Kegiatan pengabdian kepada masyarakat pada program sarjana diimplementasikan dalam bentuk mata kuliah pengayaan sebesar 3 (tiga) sks. Pelaksanaan kegiatan pengabdian kepada masyarakat adalah pada semester 6 (enam) dan 7 (tujuh).,,,,,,,
Apa bentuk kegiatan magang dalam MBKM?,Kegiatan magang/ praktik kerja diimplementasikan sesuai dengan ketentuan yang berlaku tentang baku mutu magang Program Studi pada program sarjana terapan dan program sarjana.,,,,,,,
Bagaimana skema magang/ praktik kerja pada program sarjana terapan di ITS?,Kegiatan magang/ praktik kerja pada program sarjana terapan diimplementasikan dalam bentuk mata kuliah wajib yang merupakan mata kuliah penciri Fakultas Vokasi sebesar 14 (empat belas) sks.,,,,,,,
Apa yang perlu dilakukan jika mahasiswa diterima magang di luar ITS?,"Mahasiswa melaporkan ke Departemen dan melakukan koordinasi dengan PK2 untuk pengurusan PKS dengan menyertakan Proposal Magang, Surat Rekomendasi Departemen dan Surat Penerimaan Magang.",,,,,,,
Bagaimana proses pengajuan magang di luar negeri?,"Untuk mengajukan magang di luar negeri, mahasiswa harus mencari informasi dan peluang magang melalui portal global internship, mengajukan aplikasi dengan melampirkan CV, surat motivasi, dan dokumen pendukung lainnya. Jika diterima, mengurus visa dan dokumen perjalanan lainnya.",,,,,,,
Apa tugas direkorat yang mengurusi pendidikan dalam kegiatan MBKM?,Direktorat yang mengurusi pendidikan dalam menyelenggarakan kegiatan pertukaran pelajar/ kuliah dalam negeri berkoordinasi dengan Program Studi terkait.,,,,,,,
Apa yang dimaksud dengan penyesuaian peraturan penyelenggaraan kegiatan MBKM?,Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 30 Tahun 2020 tentang Penyelenggaraan Kegiatan Merdeka Belajar - Kampus Merdeka di Institut Teknologi Sepuluh Nopember perlu dilakukan penyesuaian untuk mengikuti perkembangan yang ada.,,,,,,,
Apa tujuan dari kegiatan penelitian/riset dalam MBKM?,"Kegiatan penelitian/ riset ditujukan untuk membangun cara berfikir kritis, meningkatkan mutu penelitian, kompetensi penelitian mahasiswa dan meningkatkan ekosistem serta kualitas riset di laboratorium.",,,,,,,
Siapa yang bertanggung jawab melakukan verifikasi data mahasiswa dalam MBKM?,"Proses verifikasi data mahasiswa dilakukan oleh Perguruan Tinggi pada level Penanggung Jawab Program Studi/Fakultas, dan rekomendasi Perguruan Tinggi diberikan melalui platform oleh Pimpinan PT.",,,,,,,
Apa saja yang diusahakan tim MB-KM ITS?,"Tim MB-KM ITS berperan dalam memfasilitasi implementasi kegiatan MB-KM di ITS meliputi membuat prosedur operasional baku, dokumen teknis, penjaminan mutu, sistem aplikasi dan hal lainnya yang mendukung penyelenggaraan kegiatan MB-KM di ITS.",,,,,,,
Kapan Peraturan Rektor ITS ini mulai berlaku?,"Peraturan Rektor ini mulai berlaku pada tanggal ditetapkan, yaitu 12 Oktober 2021.",,,,,,,
Apa maksud diterbitkannya Peraturan Rektor tentang MBKM di ITS?,Maksud diterbitkannya Peraturan Rektor ini adalah untuk memberikan pedoman dalam menyelenggarakan kegiatan Merdeka Belajar - Kampus Merdeka (MB - KM) di lingkungan ITS.,,,,,,,
Siapa yang menetapkan Tim MB-KM ITS?,Tim MB-KM ITS ditetapkan melalui Keputusan Rektor.,,,,,,,
Bagaimana dengan kerjasama khusus untuk jumlah mahasiswa pertukaran pelajar dari perguruan tinggi lain yang lebih besar dari 10% daya tampung Program Studi di ITS?,"Dalam hal ada kerjasama khusus, jumlah mahasiswa dari perguruan tinggi lain dapat lebih besar dari 10% (sepuluh persen) dari daya tampung Program Studi di ITS.",,,,,,,
Apa saja yang termasuk dalam Kegiatan Wirausaha dalam MBKM?,Kegiatan wirausaha ditujukan untuk mempersiapkan kader-kader pengusaha yang diharapkan mendukung perkembangan ITS di masa mendatang.,,,,,,,
Apa yang dimaksud dengan Kurikulum ITS?,"Kurikulum ITS adalah seperangkat rencana dan pengaturan mengenai capaian pembelajaran lulusan, bahan kajian, proses, dan penilaian yang digunakan sebagai pedoman penyelenggaraan program studi di ITS.",,,,,,,
Apa yang perlu dilakukan mahasiswa sebelum semester 6 dalam kegiatan pengabdian kepada masyarakat?,Pelaksanaan kegiatan pengabdian kepada masyarakat dapat dilaksanakan sebelum semester 6 (enam) dan 7 (tujuh) tetapi sudah lulus tahap persiapan dengan menggunakan sistem tabung nilai.,,,,,,,
Apa yang dimaksud dengan KKNI dalam aturan MBKM?,"Kerangka Kualifikasi Nasional Indonesia yang selanjutnya disingkat KKNI adalah kerangka penjenjang kualifikasi kompetensi yang dapat menyandingkan, menyetarakan, dan mengintegrasikan antara bidang pendidikan dan bidang pelatihan kerja serta pengalaman kerja dalam rangka pemberian pengakuan kompetensi kerja sesuai dengan struktur pekerjaan di berbagai sektor.",,,,,,,
Apa yang dimaksud dengan Satuan Kegiatan Ekstrakurikuler Mahasiswa (SKEM)?,"Satuan Kegiatan Ekstrakurikuler Mahasiswa, yang selanjutnya disingkat SKEM, adalah satuan yang digunakan untuk mengukur kegiatan ekstrakurikuler mahasiswa dan berfungsi sebagai salah satu syarat kelulusan bagi mahasiswa Program Sarjana Terapan dan Sarjana.",,,,,,,
Bagaimana skema pelaksanaan transfer kredit dalam kegiatan MBKM?,"Pelaksanaan transfer kegiatan MB - KM menjadi sks mata kuliah, program studi atau direktorat membentuk tim pelaksana transfer kredit.",,,,,,,
Apa syarat bagi perguruan tinggi lain yang mahasiswa nya mengikuti kegiatan pertukaran pelajar di ITS?,Program Studi tujuan memiliki akreditasi minimal sama dengan Program Studi asal di ITS.,,,,,,,
