epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch_val
1,12.3459,51.272,3.24,0.9305657386779785,1.0,0.294089
2,12.3004,51.462,3.252,0.8919569969177246,1.0,0.2921959
3,12.3498,51.256,3.239,0.8393957138061523,1.0,0.29008645
4,12.4303,50.924,3.218,0.7899098873138428,1.0,0.2877974
5,12.4497,50.845,3.213,0.7432346343994141,1.0,0.2853582
6,12.4434,50.87,3.215,0.6991641521453857,1.0,0.2827928
7,12.4764,50.736,3.206,0.6575356006622315,1.0,0.28012228
8,12.3835,51.117,3.23,0.6182169437408447,1.0,0.27736667
9,12.2413,51.71,3.268,0.5810978889465332,1.0,0.27454636
10,12.2368,51.729,3.269,0.5460833072662353,1.0,0.27168152
11,12.2653,51.609,3.261,0.5130860328674316,1.0,0.26879105
12,12.2716,51.583,3.26,0.4820220947265625,1.0,0.26589233
13,12.3254,51.357,3.245,0.4528059482574463,1.0,0.26300138
14,12.4524,50.834,3.212,0.42534942626953126,1.0,0.2601333
15,12.5259,50.535,3.193,0.3995608568191528,1.0,0.2573014
16,12.48,50.721,3.205,0.3753468990325928,1.0,0.25451735
17,12.3902,51.089,3.228,0.3526134729385376,1.0,0.25179106
18,12.3899,51.09,3.228,0.3312686920166016,1.0,0.24913013
19,12.417,50.978,3.221,0.31122376918792727,1.0,0.24653961
20,12.404,51.032,3.225,0.2923931360244751,1.0,0.24402238
21,12.3966,51.062,3.227,0.27469558715820314,1.0,0.2415795
22,12.406,51.024,3.224,0.2580544948577881,1.0,0.23921148
23,12.4598,50.803,3.21,0.2423950433731079,1.0,0.23691726
24,12.4954,50.659,3.201,0.22762808799743653,1.0,0.23469801
25,12.5151,50.579,3.196,0.21369619369506837,1.0,0.23255637
26,12.5181,50.567,3.195,0.20055785179138183,1.0,0.2304947
27,12.5298,50.519,3.192,0.1881723403930664,1.0,0.22851484
28,12.5041,50.624,3.199,0.17650020122528076,1.0,0.22661823
29,12.5238,50.544,3.194,0.1655045509338379,1.0,0.22480643
30,12.5421,50.47,3.189,0.15515023469924927,1.0,0.22308671
31,12.6122,50.189,3.172,0.14540574550628663,1.0,0.22146772
32,12.6367,50.092,3.165,0.13624517917633056,1.0,0.21994786
33,12.6081,50.206,3.173,0.12764323949813844,1.0,0.21854196
34,12.6484,50.046,3.162,0.11956037282943725,1.0,0.21724598
35,12.6856,49.899,3.153,0.11198258399963379,1.0,0.21606854
36,14.3383,44.147,2.79,0.10486890077590942,1.0,0.21499728
37,12.7431,49.674,3.139,0.09819339513778687,1.0,0.21402866
38,14.2353,44.467,2.81,0.09194140434265137,1.0,0.21316056
39,12.7401,49.686,3.14,0.08609884977340698,1.0,0.21238886
40,14.1896,44.61,2.819,0.08063782453536987,1.0,0.21169955
41,12.5846,50.3,3.178,0.07553441524505615,1.0,0.21108384
42,15.6369,40.481,2.558,0.07077837586402894,1.0,0.2105343
43,14.4174,43.905,2.774,0.0663548767566681,1.0,0.21004498
44,12.7791,49.534,3.13,0.06224521398544312,1.0,0.20961124
45,12.8125,49.405,3.122,0.0584221363067627,1.0,0.20922242
46,15.5252,40.773,2.576,0.05485894083976746,1.0,0.20887505
47,12.6087,50.204,3.172,0.05154080986976624,1.0,0.20857342
48,15.3966,41.113,2.598,0.048448050022125246,1.0,0.20831412
49,12.5731,50.346,3.181,0.045557960867881775,1.0,0.20809367
50,21.152,29.926,1.891,0.04285185635089874,1.0,0.20791212
51,18.3514,34.493,2.18,0.04031655490398407,1.0,0.2077656
52,15.333,41.284,2.609,0.03793480396270752,1.0,0.20765448
53,19.8635,31.868,2.014,0.03569898307323456,1.0,0.20757757
54,18.3796,34.44,2.176,0.033600807189941406,1.0,0.2075285
55,19.6114,32.277,2.04,0.031625157594680785,1.0,0.20750357
56,18.3319,34.53,2.182,0.029746544361114503,1.0,0.20751223
