epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,cosim
1,18.5636,34.099,4.31,0.580385971069336,0.29116905
2,19.8304,31.921,4.034,0.5490245342254638,0.2879786
3,26.3241,24.046,3.039,0.5018077373504639,0.2844635
4,20.3635,31.085,3.929,0.4581899642944336,0.28067744
5,20.8428,30.37,3.838,0.4180014610290527,0.27669156
6,21.0883,30.017,3.794,0.38104610443115233,0.27256846
7,20.4797,30.909,3.906,0.347184157371521,0.26839164
8,20.2726,31.224,3.946,0.31628386974334716,0.26422504
9,20.3088,31.169,3.939,0.2881730079650879,0.26010466
10,20.451,30.952,3.912,0.26264545917510984,0.2560779
11,20.6631,30.634,3.872,0.2394890546798706,0.25218356
12,24.6753,25.653,3.242,0.21849627494812013,0.24842176
13,24.7484,25.577,3.233,0.19947140216827391,0.24479978
14,24.7299,25.597,3.235,0.18225961923599243,0.24134411
15,32.67,19.376,2.449,0.16668322086334228,0.23806117
16,26.5588,23.834,3.012,0.15257368087768555,0.23498982
17,30.4768,20.77,2.625,0.13975517749786376,0.23216157
18,20.6662,30.63,3.871,0.12808566093444823,0.22956747
19,20.6204,30.698,3.88,0.1174815058708191,0.22720975
20,20.4005,31.029,3.921,0.10782601833343505,0.22508469
21,19.9861,31.672,4.003,0.09901057481765747,0.22315945
22,19.9723,31.694,4.006,0.09096415042877197,0.22141232
23,20.2184,31.308,3.957,0.08361579775810242,0.21981676
24,20.0842,31.517,3.983,0.07690854668617249,0.21836542
25,20.0334,31.597,3.993,0.07077466249465943,0.21707344
26,19.9689,31.699,4.006,0.06515035629272461,0.21591355
27,20.052,31.568,3.99,0.05999884009361267,0.21487573
28,20.2706,31.228,3.947,0.055286914110183716,0.21393433
29,21.017,30.118,3.806,0.05097367763519287,0.21308176
30,32.2332,19.638,2.482,0.047019317746162415,0.21231048
31,27.942,22.654,2.863,0.04340418577194214,0.21161358
32,30.3269,20.873,2.638,0.04010174572467804,0.21097986
33,20.8586,30.347,3.835,0.037088826298713684,0.21040867
34,20.8975,30.291,3.828,0.03434208631515503,0.209913
35,20.4322,30.981,3.915,0.031835371255874635,0.2094824
36,20.0496,31.572,3.99,0.029541334509849547,0.20910488
37,20.1344,31.439,3.973,0.02742110788822174,0.20876318
38,20.2592,31.245,3.949,0.025452327728271485,0.2084557
39,29.3789,21.546,2.723,0.02361961305141449,0.20818603
40,30.3053,20.887,2.64,0.021910658478736876,0.20794916
41,26.871,23.557,2.977,0.020315682888031004,0.2077408
42,14.9593,42.315,5.348,0.018828046321868897,0.20755853
43,15.0212,42.14,5.326,0.017437314987182616,0.20740041
44,15.0673,42.011,5.309,0.016133125126361846,0.2072677
45,15.221,41.587,5.256,0.014916865527629853,0.20715956
46,15.3799,41.158,5.202,0.013782960176467896,0.20708092
47,15.4896,40.866,5.165,0.012726321816444397,0.20703822
48,15.589,40.605,5.132,0.011737558990716934,0.20702857
49,17.1223,36.969,4.672,0.010814595222473144,0.20704852
50,15.764,40.155,5.075,0.009956040233373643,0.207094
51,15.7576,40.171,5.077,0.009160185605287552,0.20716098
52,15.7408,40.214,5.082,0.008424831926822663,0.20724587
53,15.8479,39.942,5.048,0.007747098058462143,0.20734563
54,16.0328,39.482,4.99,0.007121572643518448,0.20745741
55,16.007,39.545,4.998,0.006544971466064453,0.20757796
56,16.0343,39.478,4.989,0.006012341752648353,0.20770551
57,15.9356,39.722,5.02,0.005522413551807404,0.20783865
58,16.0369,39.472,4.989,0.005073260888457299,0.20797667
59,17.6302,35.904,4.538,0.004662305116653442,0.20811984
60,16.2974,38.841,4.909,0.004286695271730423,0.20826729
61,16.1658,39.157,4.949,0.003943866863846779,0.20841834
62,27.7786,22.787,2.88,0.0036312837153673174,0.20857228
63,24.1545,26.206,3.312,0.0033464621752500533,0.20872833
64,29.9446,21.139,2.672,0.0030865291133522986,0.20888576
65,24.9199,25.401,3.21,0.0028494128957390783,0.2090442
66,20.939,30.231,3.821,0.0026331815868616106,0.20920321
67,20.9179,30.261,3.824,0.0024360278621315956,0.2093624
68,20.6239,30.693,3.879,0.0022562704980373383,0.20952168
69,20.3921,31.041,3.923,0.0020921966060996056,0.20968261
70,20.5028,30.874,3.902,0.0019413016736507416,0.20984477
71,20.5445,30.811,3.894,0.0018026933073997497,0.21000859
72,20.2787,31.215,3.945,0.0016750365495681763,0.21017364
73,20.1997,31.337,3.96,0.001557669136673212,0.21033958
74,20.6532,30.649,3.873,0.001450132019817829,0.2105065
75,21.0458,30.077,3.801,0.0013522718101739884,0.21067593
76,20.6706,30.623,3.87,0.0012625301256775855,0.2108473
77,20.1329,31.441,3.974,0.0011801950633525849,0.21102001
78,20.2464,31.265,3.951,0.0011046251282095909,0.21119353
79,20.2643,31.237,3.948,0.0010352456010878086,0.21136743
80,20.8666,30.336,3.834,0.0009715406224131585,0.21154118
81,15.7866,40.097,5.068,0.0009130340069532395,0.21171536
82,15.1269,41.846,5.289,0.0008592107333242893,0.21189432
83,16.749,37.793,4.776,0.0008093411102890969,0.2120775
84,16.7304,37.835,4.782,0.0007631441578269005,0.21226853
85,17.0661,37.091,4.688,0.0007200403138995171,0.21246925
86,18.4604,34.29,4.334,0.0006796568632125854,0.21267945
87,15.5413,40.73,5.148,0.0006417797878384591,0.21289876
88,15.7985,40.067,5.064,0.0006062077358365059,0.21312691
89,20.1188,31.463,3.976,0.0005727682262659072,0.21336356
90,15.7317,40.237,5.085,0.0005413095466792583,0.21360826
91,17.2418,36.713,4.64,0.0005116930697113276,0.21386075
92,20.0941,31.502,3.981,0.00048379292711615564,0.21412057
93,18.5942,34.043,4.302,0.0004574938677251339,0.21438748
94,19.9538,31.723,4.009,0.0004326936788856983,0.21466096
95,27.8307,22.745,2.875,0.0004093003459274769,0.21494085
96,20.8489,30.361,3.837,0.0003872260684147477,0.21522659
97,35.7563,17.703,2.237,0.0003663917537778616,0.2155179
98,38.8524,16.292,2.059,0.00034672408364713194,0.21581456
99,27.1483,23.316,2.947,0.0003281525336205959,0.21611613
100,25.3382,24.982,3.157,0.0003106105141341686,0.21642232
101,16.6983,37.908,4.791,0.000294051505625248,0.21673287
102,16.6771,37.956,4.797,0.0002784006996080279,0.21704735
103,44.4627,14.237,1.799,0.0002636243123561144,0.21736571
104,88.8558,7.124,0.9,0.00024965496268123386,0.21768743
105,88.8688,7.123,0.9,0.00023646086920052766,0.21801238
106,88.856,7.124,0.9,0.00022398901637643576,0.21834026
107,89.3579,7.084,0.895,0.00021220676135271787,0.21867071
108,89.7483,7.053,0.891,0.00020106825977563857,0.21900365
109,90.2234,7.016,0.887,0.00019054730655625461,0.21933883
110,95.3644,6.638,0.839,0.00018059661379083992,0.21967599
111,92.8821,6.815,0.861,0.00017119304975494743,0.2200148
112,88.965,7.115,0.899,0.0001622983254492283,0.22035518
113,88.943,7.117,0.899,0.00015389416366815568,0.2206968
114,89.0212,7.111,0.899,0.00014594915555790066,0.22103964
115,89.0592,7.108,0.898,0.0001384377363137901,0.22138342
116,88.8552,7.124,0.9,0.0001313336892053485,0.22172818
117,88.9404,7.117,0.899,0.00012461363803595304,0.22207338
118,88.945,7.117,0.899,0.00011825660476461053,0.22241904
119,88.8712,7.123,0.9,0.0001122433808632195,0.22276491
120,91.5811,6.912,0.874,0.00010655603837221861,0.22311093
121,91.6866,6.904,0.873,0.00010117200436070562,0.22345686
122,92.3639,6.853,0.866,9.608226828277111e-05,0.22380261
123,92.9883,6.807,0.86,9.126350050792098e-05,0.22414806
124,94.1622,6.722,0.85,8.670140523463488e-05,0.2244932
125,99.3956,6.368,0.805,8.238352602347731e-05,0.22483772
126,90.0328,7.031,0.889,7.829666137695312e-05,0.2251817
127,89.0473,7.109,0.898,7.442856440320611e-05,0.22552486
128,89.3131,7.087,0.896,7.076431647874415e-05,0.22586712
129,89.336,7.086,0.895,6.729011074639857e-05,0.22620812
130,89.3162,7.087,0.896,6.399707053788007e-05,0.22654799
