Question,Expected Answer
Apa saja yang harus dipersiapkan ketika akan mengikuti program studi luar negeri?,"Setiap program internasional memiliki persiapan pra dan pasca keberangkatan yang berbeda, meskipun beberapa poin mirip. Persiapan meliputi dokumentasi, keuangan, barang bawaan, pengetahuan, dan psikologi."
Apa yang dimaksud dengan program pertukaran?,Program pertukaran adalah kesempatan untuk belajar di universitas mitra ITS dengan durasi tergantung pada masing-masing universitas (1-2 semester) dan harus melakukan transfer kredit.
Apa yang dimaksud dengan program magang?,"Program magang adalah kesempatan untuk magang di luar negeri dengan universitas mitra ITS dan non-mitra, dengan durasi tergantung pada masing-masing universitas (1-3 bulan) dan direkomendasikan untuk mahasiswa tahun akhir."
Apa itu program 'Short Program'?,"'Short Program' adalah kesempatan untuk belajar di luar negeri dengan universitas mitra ITS dan non-mitra, dengan durasi 2 minggu – 1 bulan, program yang didanai sepenuhnya atau dibiayai sendiri."
Apa itu 'Double Degree'?,"'Double Degree' adalah kesempatan untuk belajar di luar negeri dengan universitas mitra ITS dan lulus dengan dua gelar independen, dengan durasi tergantung pada masing-masing universitas (2:2, 2.5:1.5, 3:1) dan harus melakukan transfer kredit."
Apa saja contoh universitas yang dituju untuk program 'Short Program'?,"Contoh universitas untuk 'Short Program' antara lain National Cheng Kung University Summer School, International Summer/Winter University di Hochschule Darmstadt University of Applied Science, dan Feng Chia International Summer School."
Berikan contoh universitas untuk program magang.,"Contoh universitas untuk program magang termasuk Universiti Kuala Lumpur (UniKL) – MFI (Malaysia France Institute) Campus, Shibaura Institute of Technology di Jepang, Universiti Teknologi Malaysia, Tarlac Agricultural University di Filipina, dan King Mongkut's University of Technology Thonburi di Thailand."
Apa sajakah universitas tujuan untuk program pertukaran mahasiswa?,"Universitas tujuan untuk program pertukaran mahasiswa termasuk Kumamoto University di Jepang, Chung Ang University di Korea Selatan, Chulalongkorn University di Thailand, dan King Mongkut's University of Technology Thonburi di Thailand."
Apa itu Erasmus+ dalam konteks pertukaran mahasiswa?,"Erasmus+ adalah program pertukaran mahasiswa dengan universitas di Eropa seperti Anadolu University di Turki, Aristotle University of Thessaloniki di Yunani, Cardiff University of Metropolitan di UK, dan Sapienza University of Rome di Italia."
Apa yang dimaksud dengan IISMA?,IISMA adalah skema beasiswa oleh Pemerintah Indonesia yang mendanai mahasiswa Indonesia dalam program mobilitas di universitas top di luar negeri. Mahasiswa dapat belajar hingga satu semester di universitas mitra di luar negeri.
Apa saja yang ditanggung dalam program IISMA?,"Program IISMA menanggung biaya seperti biaya kuliah, biaya hidup bulanan (termasuk akomodasi), asuransi kesehatan selama program, visa, karantina mandiri di negara tujuan (jika diperlukan), tes PCR, dan tiket pesawat."
Sebutkan beberapa mitra magang atau pertukaran mahasiswa di Asia.,"Mitra magang atau pertukaran mahasiswa di Asia termasuk Asia University di Taiwan, Shibaura University di Jepang, Kumamoto University di Jepang, Ajoo University di Korea, dan Universiti Teknologi PETRONAS."
Apa saja mitra program gelar ganda (joint degree) dari ITS?,"Mitra program gelar ganda dari ITS termasuk University of Queensland (2.5+1.5), Fontys University (3+1), Newcastle University (2+2), Asia University (2+2), dan Tomsk State University (2+2)."
Berapa estimasi biaya hidup dan kuliah di Eropa?,"Estimasi biaya hidup di Eropa adalah € 7,800 per tahun dan biaya kuliah adalah € 10,140 per tahun."
Berapa estimasi biaya hidup dan kuliah di Australia?,"Estimasi biaya hidup di Australia adalah AUD 18,000 per tahun dan biaya kuliah adalah AUD 25,040 per tahun."
Apa kebijakan kursus pertukaran di ITS?,"Mahasiswa yang melakukan kegiatan internasional di kampus mitra hanya wajib membayar 10% dari pembiayaan di ITS. Jika belajar penuh di universitas mitra dan sebagian di ITS (hingga 6 kredit - online), mahasiswa wajib membayar 20% dari pembiayaan di ITS."
Dokumen apa saja yang umum diperlukan untuk pendaftaran program internasional?,"Dokumen yang umum diperlukan untuk pendaftaran program internasional meliputi paspor, sertifikat kemampuan bahasa Inggris, transkrip akademik resmi dalam bahasa Inggris, sertifikat pendaftaran, perjanjian pembelajaran, surat pernyataan, surat rekomendasi dalam bahasa Inggris, dan permintaan bantuan pendanaan (opsional)."
Bagaimana cara menemukan program internasional yang tersedia?,"Anda dapat menemukan daftar program internasional yang tersedia di situs ITS GE atau media sosial lainnya seperti Instagram, Line, dan Facebook. Website: www.its.ac.id/international; Instagram: @itsinternationaloffice; Line: @its_io; Facebook: facebook.com/ioits."
Apa yang harus dilakukan jika deskripsi program memerlukan perjanjian pembelajaran atau surat pernyataan?,"Jika deskripsi program memerlukan perjanjian pembelajaran atau surat pernyataan, unduh file dari situs web dan isi dengan informasi Anda terlebih dahulu."
Bagaimana proses pengecekan silabus untuk persiapan transfer kredit?,"Jika deskripsi program memerlukan perjanjian pembelajaran, periksa silabus universitas tujuan dan silabus informatika ITS untuk membandingkan apakah kursus yang bersangkutan dapat ditransfer ke kursus ITS yang dipilih. Setelah itu, minta tanda tangan Departemen yang diperlukan pada Kepala/ Sekretaris Departemen."
