question,context
Apa tujuan dari penyusunan laporan tugas/proyek akhir di ITS?,"Tujuan dari penyusunan laporan tugas/proyek akhir adalah sebagai berikut:
1. Menerapkan pemikiran logis, kritis, sistematis, dan inovatif dalam konteks pengembangan atau implementasi ilmu pengetahuan dan teknologi.
2. Mengkaji implikasi pengembangan atau implementasi ilmu pengetahuan teknologi berdasarkan kaidah, tata cara dan etika ilmiah.
3. Mengidentifikasi dan merumuskan masalah penelitian atau ide perancangan (desain) berdasarkan hasil kajian.
4. Menunjukkan kinerja secara mandiri, bermutu, dan terukur dalam melaksanakan penelitian/desain.
5. Menghasilkan solusi, gagasan, desain atau kritik seni.
6. Menyusun deskripsi saintifik hasil kajian yang telah dilakukan ke dalam bentuk skripsi atau laporan tugas/proyek akhir, dan
7. Mempresentasikan dan mempertahankan hasil nya dalam ujian Tugas/Proyek Akhir.
8. Mengunggah ringkasan hasil laporan dalam publikasi online ITS (POMITS)."
Apa saja yang harus ada dalam halaman awal proposal tugas/proyek akhir?,"Bagian awal proposal tugas/proyek akhir terdiri dari:
a. Halaman Sampul
b. Halaman Pengesahan
c. Abstrak (dalam bahasa Indonesia dan Inggris)
d. Daftar Isi
e. Daftar Gambar (jika diperlukan)
f. Daftar Tabel (jika diperlukan)
g. Daftar Simbol (jika diperlukan)
h. Daftar Singkatan (jika diperlukan)."
Bagaimana cara mengisi metadata untuk laporan tugas/proyek akhir?,"MENGISI METADATA / METADATA ENTRIES
Isikan nama dosen pembimbing dengan nama belakang pada kolom family name.
Fill it with Thesis Advisors name.
Pilih “Thesis Advisor” / Choose “Thesis Advisor”.
NRP/NIM: diisi NIM [no NRP].
NRP/NIM: NIM [student ID number].
Creators, isikan pengarang dengan nama belakang pada kolom family name.
Creators, fill it with creators name."
Apa isi halaman pengesahan pada laporan tugas/proyek akhir?,"Halaman pengesahan berfungsi untuk menjamin keabsahan hasil karya ilmiah dari tugas akhir.
Halaman pengesahan berisi: tulisan ”LEMBAR PENGESAHAN”, judul Tugas Akhir, tujuan diajukannya TA/PA, persetujuan pembimbing dan/atau ko-pembimbing, dan penguji, nama pembimbing dan/atau ko-pembimbing, serta nama penguji, kota, bulan, dan tahun pengesahan.
Contoh halaman pengesahan pada Lampiran 9."
Apa yang dimaksud dengan tugas/proyek akhir dalam bentuk penelitian?,"Tugas/proyek akhir dalam bentuk penelitian harus mengandung kejelasan tentang hal-hal yang ingin diselidiki, antara lain:
1. Obyek yang akan diteliti.
2. Permasalahan yang ingin dipecahkan dan tujuan dari penelitian.
3. Hipotesa yang dapat dibuktikan/diuji dan ditelaah secara teoritis atau berdasarkan pengungkapan fakta, penyajian data dengan presisi yang tinggi dan hasilnya dapat dipertanggungjawabkan secara ilmiah.
4. Sesuatu yang dapat dibentuk dalam suatu pertanyaan yang ingin dicari jawabannya."
Bagaimana format pengetikan proposal tugas/proyek akhir?,"Pengetikan proposal tugas/proyek akhir mengikuti ketentuan sebagai berikut:
• Jenis dan ukuran kertas: Kertas HVS 80 gram ukuran A4.
• Jarak spasi: 1 (satu/single).
• Jarak tepi (margin):
 - Tepi atas: 3.0 cm
 - Tepi bawah: 2.5 cm
 - Tepi kiri: 3.0 cm
 - Tepi kanan: 2.0 cm
• Jenis huruf: Times New Roman, Normal, ukuran 12 (khusus untuk judul dapat dipakai ukuran 14)."
Apa saja yang harus disertakan dalam halaman abstrak laporan tugas/proyek akhir?,"Halaman abstrak berisi:
judul, nama penulis, NRP, nama pembimbing dan/atau nama ko-pembimbing, abstrak dan kata kunci. Halaman abstrak ditulis dalam bahasa Indonesia dan bahasa Inggris dalam halaman yang berbeda. Jumlah kata 200 - 400 kata, termasuk kata kunci."
Apa yang dimaksud dengan batasan masalah atau ruang lingkup dalam proposal tugas/proyek akhir?,"Batasan masalah atau ruang lingkup dimaksudkan untuk memfokuskan penelitian atau perancangan yang akan dilakukan menjadi lebih terarah. Pembatasan dapat dilakukan dari segi keluasan, kedalaman, kemampuan peneliti atau perancang dalam aspek tertentu, atau semua segi tersebut. Pembatasan harus disertai alasan atau argumentasi mengapa pembatasan masalah perlu dilakukan."
Apa yang harus disertakan dalam halaman kata pengantar laporan tugas/proyek akhir?,"Kata Pengantar tidak lebih dari satu halaman, berisi penjelasan tentang maksud penulisan laporan tugas/proyek akhir, termasuk ucapan terimakasih kepada orang-orang yang punya kontribusi langsung dalam penyusunan TA/PA. Tulisan ”KATA PENGANTAR” sebagai judul dari halaman ini dituliskan seluruhnya dengan huruf besar."
Bagaimana cara menuliskan daftar pustaka menggunakan standar APA versi 7.0?,"Penulisan daftar pustaka yang diletakkan di bagian akhir isi laporan TA/PA, dilakukan dengan menggunakan standar APA (Association Pshychology America) edisi ke 7. 
Secara umum penulisan daftar pustaka dalam standar APA, versi 7.0 adalah sebagai berikut:
1. Daftar pustaka dimulai pada halaman terpisah dari halaman isi dalam laporan TA/PA.
2. Daftar pustaka akan muncul dalam urutan abjad dengan nama belakang penulis pertama.
3. Hasil cetak dengan standar APA menggunakan indentasi gantung. Baris ke dua dalam daftar pustaka, menjorok ke dalam di bawah garis ke satu.
4. Penulisan kapitalisasi judul hanya di awal kalimat, yang berbeda dengan penulisan judul naskah aslinya.
5. Kapitalisasi judul daftar referensi. Gunakan huruf kapital hanya pada huruf pertama dari judul dan subjudul buku, artikel, laporan, bab di halaman web, dan judul majalah yang tidak diterbitkan dalam kapitalisasi huruf pertama dari semua kata penting dalam judul untuk berkala.
6. Kutipan dan referensi APA menggunakan ampersand (&) di antara nama belakang penulis, BUKAN ""dan"". Tetapi jika digunakan nama belakang penulis dalam sebuah kalimat, maka digunakan kata ""dan"" sesuai dengan aturan penulisan normal.
7. Tuliskan DOI dan URL dalam daftar pustaka sebagai hyperlink (yaitu dimulai dengan “http:” atau “https:”). Pengaturan default tampilan di dalam MS Words untuk hyperlink (biasanya font biru, digarisbawahi) atau teks biasa yang tidak digarisbawahi. Sebaiknya tautan ini tetap dapat diakses secara online.
8. Beberapa DOI atau URL tertulis secara panjang atau rumit, disini dapat digunakan DOI versi pendek atau URL yang dipersingkat. Untuk merubah DOI versi pendek, dapat menggunakan layanan shortDOI yang disediakan oleh International DOI Foundation (http://shortdoi.org/). Masukkan cut and paste DOI dan layanan ini akan membuat shortDOI baru.
9. Tidak disarankan (jangan) menyertakan tanggal pengambilan referensi, kecuali jika berasal dari halaman web yang secara inheren dirancang untuk berubah (misalnya entri kamus, profil Twitter, halaman Facebook, peta yang dibuat oleh Google Maps) atau mencerminkan informasi yang berubah dengan berubahnya waktu (situs web yang sering memperbarui informasi, seperti Stats NZ). Disini dapat kita tuliskan tanggal pengambilan, bila diperlukan, sebelum URL, misalnya Diakses pada 2 Desember 2019, dari https://xxxxx
10. APA edisi 7 TIDAK MEMERLUKAN entry data base: kota, negara bagian (di AS) atau negara tempat buku diterbitkan. Ini adalah perubahan signifikan dari APA edisi ke-6."
