question,context
Apa tujuan dari Buku Panduan Merdeka Belajar - Kampus Merdeka (MBKM)?,"Tujuan dari Buku Panduan Merdeka Belajar - Kampus Merdeka adalah memberikan panduan penyelenggaraan MBKM agar perguruan tinggi dapat mengembangkan program secara optimal, efektif, efisien, dan bermutu sesuai dengan Standar Nasional Pendidikan Tinggi."
Apa saja yang diharapkan dari penerbitan Buku Panduan MBKM?,"Panduan ini diharapkan bermanfaat bagi pengelola atau pimpinan Perguruan Tinggi, dosen, mahasiswa, mitra industri, dan pihak terkait lainnya, serta digunakan dalam tahap perancangan, pelaksanaan, penilaian hingga evaluasi kebijakan MBKM."
Apa saja landasan hukum dari Merdeka Belajar - Kampus Merdeka?,"Landasan hukum MBKM antara lain: 1. Undang-Undang Nomor 20 Tahun 2003 tentang Sistem Pendidikan Nasional. 2. Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi. 3. Undang-Undang Nomor 6 Tahun 2014 tentang Desa. 4. Peraturan Pemerintah Nomor 04 Tahun 2014 tentang Penyelenggaraan Pendidikan Tinggi dan Pengelolaan Perguruan Tinggi. 5. Peraturan Presiden nomor 8 tahun 2012 tentang KKNI. 6. Peraturan Menteri Pendidikan dan Kebudayaan Republik Indonesia Nomor 3 Tahun 2020 tentang Standar Nasional Pendidikan Tinggi. 7. Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 11 Tahun 2019 tentang Prioritas Penggunaan Dana Desa Tahun 2020."
Apa latar belakang dari kebijakan Merdeka Belajar - Kampus Merdeka?,"Latar belakang kebijakan MBKM adalah untuk menyiapkan mahasiswa menghadapi perubahan sosial, budaya, dunia kerja, dan kemajuan teknologi yang pesat, serta menciptakan kultur belajar yang inovatif, tidak mengekang, dan sesuai dengan kebutuhan mahasiswa."
Apa tujuan dari kebijakan Merdeka Belajar - Kampus Merdeka?,"Tujuan dari kebijakan MBKM adalah meningkatkan kompetensi lulusan, baik soft skills maupun hard skills, agar lebih siap dan relevan dengan kebutuhan zaman, serta menyiapkan lulusan sebagai pemimpin masa depan bangsa yang unggul dan berkepribadian."
Apa yang dimaksud dengan 'Hak Belajar Tiga Semester di Luar Program Studi'?,"Hak Belajar Tiga Semester di Luar Program Studi adalah kebijakan yang memberikan mahasiswa kesempatan untuk satu semester (setara dengan 20 SKS) menempuh pembelajaran di luar program studi pada perguruan tinggi yang sama, dan paling lama dua semester (setara dengan 40 SKS) di program studi yang sama atau berbeda di perguruan tinggi yang berbeda atau di luar perguruan tinggi."
Apa saja persyaratan umum untuk melaksanakan 'Hak Belajar Tiga Semester di Luar Program Studi'?,Persyaratan umum meliputi: 1. Mahasiswa berasal dari Program Studi yang terakreditasi. 2. Mahasiswa Aktif yang terdaftar pada PDDikti.
Apa peran perguruan tinggi dalam pelaksanaan MBKM?,Peran perguruan tinggi meliputi: 1. Menyusun kebijakan/pedoman akademik untuk memfasilitasi kegiatan pembelajaran di luar program studi. 2. Membuat dokumen kerja sama (MoU/SPK) dengan mitra. 3. Menyusun atau menyesuaikan kurikulum dengan model implementasi kampus merdeka.
Apa peran fakultas dalam pelaksanaan MBKM?,Peran fakultas meliputi: 1. Menyiapkan fasilitasi daftar mata kuliah tingkat fakultas yang bisa diambil mahasiswa lintas prodi. 2. Menyiapkan dokumen kerja sama (MoU/SPK) dengan mitra yang relevan.
Apa peran program studi dalam pelaksanaan MBKM?,Peran program studi meliputi: 1. Menyusun atau menyesuaikan kurikulum dengan model implementasi kampus merdeka. 2. Memfasilitasi mahasiswa yang akan mengambil pembelajaran lintas prodi dalam perguruan tinggi. 3. Menawarkan mata kuliah yang bisa diambil oleh mahasiswa di luar prodi dan luar perguruan tinggi beserta persyaratannya.
Apa peran mahasiswa dalam pelaksanaan MBKM?,"Peran mahasiswa meliputi: 1. Merencanakan bersama Dosen Pembimbing Akademik mengenai program mata kuliah/program yang akan diambil di luar prodi. 2. Mendaftar program kegiatan luar prodi. 3. Melengkapi persyaratan kegiatan luar prodi, termasuk mengikuti seleksi bila ada. 4. Mengikuti program kegiatan luar prodi sesuai dengan ketentuan pedoman akademik yang ada."
Apa peran mitra dalam pelaksanaan MBKM?,Peran mitra meliputi: 1. Membuat dokumen kerja sama (MoU/SPK) bersama perguruan tinggi/fakultas/program studi. 2. Melaksanakan program kegiatan luar prodi sesuai dengan ketentuan yang ada dalam dokumen kerja sama (MoU/SPK).
Apa saja bentuk kegiatan pembelajaran dalam MBKM?,Bentuk kegiatan pembelajaran dalam MBKM sesuai dengan Permendikbud No 3 Tahun 2020 Pasal 15 ayat 1 dapat dilakukan di dalam Program Studi dan di luar Program Studi meliputi: 1. Pertukaran Pelajar. 2. Magang/Praktik Kerja. 3. Asistensi Mengajar di Satuan Pendidikan. 4. Penelitian/Riset. 5. Proyek Kemanusiaan. 6. Kegiatan Wirausaha. 7. Studi/Proyek Independen. 8. Membangun Desa/Kuliah Kerja Nyata Tematik.
Apa tujuan dari program pertukaran pelajar dalam MBKM?,"Tujuan dari program pertukaran pelajar antara lain: 1. Belajar lintas kampus (dalam dan luar negeri), tinggal bersama dengan keluarga di kampus tujuan, memperkaya wawasan tentang kebhinneka tunggal ika, dan memperkuat persaudaraan lintas budaya dan suku. 2. Membangun persahabatan mahasiswa antar daerah, suku, budaya, dan agama. 3. Menyelenggarakan transfer ilmu pengetahuan untuk menutupi disparitas pendidikan baik antar perguruan tinggi dalam negeri maupun luar negeri."
