question,context
Apa tujuan dari Peraturan Rektor ITS Nomor 7 Tahun 2023?,Peraturan ini diterbitkan dengan maksud agar pimpinan ITS mempunyai pedoman dalam memberikan Apresiasi kepada Mahasiswa berprestasi dan Pembimbing di bidang kemahasiswaan.
Apa yang menjadi dasar penetapan Peraturan Rektor ITS Nomor 7 Tahun 2023?,"Menimbang: a. bahwa dalam rangka memotivasi mahasiswa dan dosen untuk berpartisipasi aktif dan berprestasi dalam berbagai kegiatan kemahasiswaan, perlu diberikan apresiasi yang berkeadilan dan terstruktur sesuai tingkatan prestasi yang telah dicapai; 
 b. bahwa Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 27 Tahun 2022 tentang Pemberian Apresiasi Bagi Mahasiswa Beprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember perlu dilakukan 
 penyesuaian memenuhi perkembangan akademik dan kemahasiswaan di lingkungan Institut Teknologi Sepuluh Nopember."
Apa maksud dan tujuan dari Peraturan Rektor ITS Nomor 7 Tahun 2023?,"Pasal 2: Peraturan ini diterbitkan dengan maksud agar pimpinan ITS mempunyai pedoman dalam memberikan Apresiasi kepada Mahasiswa berprestasi dan Pembimbing di bidang kemahasiswaan.
 Pasal 3: Peraturan ini diterbitkan dengan tujuan: a. memotivasi Mahasiswa agar berprestasi dalam berbagai kegiatan lomba; dan b. mendorong Pembimbing untuk melakukan pembinaan, pendampingan dan/atau pelatihan secara intensif kepada perorangan atau kelompok Mahasiswa."
Apa definisi dari Apresiasi dalam Peraturan Rektor ITS Nomor 7 Tahun 2023?,Pasal 1 ayat 6: Apresiasi adalah bentuk reward selain penghargaan sebagaimana dimaksud dalam Peraturan Rektor lnstitut Teknologi Sepuluh Nopember Nomor 25 Tahun 2018 tentang Tata Cara Pemberian Penghargaan.
Apa syarat untuk mahasiswa mendapatkan apresiasi dalam lomba Kementerian?,"Pasal 4 ayat 1: Syarat untuk Mahasiswa: a. Mahasiswa aktif yang terdaftar di sistem akademik ITS; 
 b. Mahasiswa memiliki surat tugas dari direktorat yang mengurusi kemahasiswaan/dekan untuk mengikuti kompetisi tersebut; 
 c. Mahasiswa yang mendapatkan Apresiasi adalah juara 1, juara 2, juara 3, dan Finalis pada kegiatan kompetisi yang diadakan oleh Kementerian atau Lomba Mandiri bereputasi dengan skala nasional ataupun internasional dibuktikan dengan sertifikat."
Apa syarat untuk dosen pembimbing mendapatkan apresiasi dalam lomba Kementerian?,"Pasal 4 ayat 2: Syarat untuk Pembimbing: a. dosen aktif yang ada di ITS; 
 b. dosen yang mempunyai Surat Keputusan Rektor sebagai Pembimbing kegiatan kompetisi kemahasiswaan."
Apa syarat untuk mahasiswa mendapatkan apresiasi dalam lomba Mandiri?,"Pasal 5 ayat 1: Syarat untuk Mahasiswa: a. Mahasiswa aktif yang terdaftar di sistem akademik ITS; 
 b. memiliki surat tugas dari direktorat yang mengurusi kemahasiswaan/dekan untuk mengikuti kompetisi tersebut; 
 c. Mahasiswa yang mendapatkan Apresiasi adalah juara 1, juara 2, juara 3, dan Finalis pada kegiatan kompetisi dan kewirausahaan yang melibatkan ilmu pengetahuan, teknologi, olahraga dan seni yang diadakan oleh Kementerian atau Lomba Mandiri bereputasi dengan skala nasional ataupun internasional dibuktikan dengan sertifikat."
Apa syarat untuk dosen pembimbing mendapatkan apresiasi dalam lomba Mandiri?,"Pasal 5 ayat 2: Syarat untuk Pembimbing: a. dosen aktifyang ada di ITS; 
 b. dosen yang mempunyai Surat Keputusan Rektor sebagai Pembimbing kegiatan kompetisi kemahasiswaan; 
 c. telah melakukan verifikasi prestasi anak bimbingnya di myITSStudentConnect."
Apa saja level atau kategori kompetisi yang diakui sebagai prestasi dalam Peraturan Rektor ITS Nomor 7 Tahun 2023?,Pasal 6 ayat 1: Level/kategori kompetisi yang diakui sebagai prestasi adalah kompetisi tingkat nasional ataupun internasional baik yang diadakan Kementerian ataupun Lomba Mandiri yang bereputasi.
Apa saja prosedur untuk mendapatkan apresiasi atas prestasi Kementerian yang diraih oleh mahasiswa?,"Pasal 7 ayat 1: Untuk mendapatkan Apresiasi atas prestasi Kementerian yang diraih oleh Mahasiswa, prosedur yang harus dilakukan oleh Mahasiswa yaitu: 
 a. Mahasiswa harus mengisi data dan mengunggah dokumen penghargaan yang diraih ke myITS StudentConnect; 
 b. mendapatkan verifikasi dari direktorat yang mengurusi kemahasiswaan; 
 c. mendapatkan penetapan melalui Surat Keputusan Rektor."
Apa saja prosedur untuk mendapatkan apresiasi atas prestasi lomba Mandiri yang diraih oleh mahasiswa?,"Pasal 7 ayat 2: Untuk mendapatkan Apresiasi atas prestasi Lomba mandiri yang diraih oleh Mahasiswa, prosedur yang harus dilakukan oleh Mahasiswa yaitu: 
 a. Mahasiswa harus mengisi data dan mengunggah dokumen penghargaan yang diraih ke myITS StudentConnect; 
 b. mendapatkan verifikasi dari Dosen Pembimbing dan direktorat yang mengurusi kemahasiswaan; 
 c. mendapatkan penetapan melalui Surat Keputusan Rektor."
Apa bentuk apresiasi bagi dosen pembimbing dalam lomba Kementerian dan lomba Mandiri?,"Pasal 8 ayat 1: Apresiasi Lomba Kementerian dan Lomba Mandiri bagi dosen Pembimbing kompetisi yang diikuti oleh Mahasiswa yang meraih medali/juara berupa: 
 a. piagam/sertifikat atau tanda jasa; 
 b. angka kredit kepegawaian (Kum B) untuk Beban Kerja Dosen (BKD) yang terintegrasi dengan sistem informasi kepegawaian ITS; dan/atau 
 c. reward sesuai dengan SBI."
Apa bentuk apresiasi bagi mahasiswa dalam lomba Kementerian dan lomba Mandiri?,"Pasal 8 ayat 2: Apresiasi Lomba Kementerian dan Lomba Mandiri bagi Mahasiswa berupa: 
 a. reward sesuai dengan SBI; 
 b. konversi nilai akademik (SKS) untuk setiap lomba yang diputuskan oleh tim reviewer Departemen; 
 c. konversi nilai Satuan Kredit Ekstrakurikuler Mahasiswa (SKEM) untuk setiap lomba yang diputuskan oleh tim review direktorat yang mengurusi kemahasiswaan; dan/atau 
 d. beasiswa Magister di seluruh program studi yang ada di ITS selama waktu yang ditentukan."
Apakah setiap perolehan medali/juara di setiap kompetisi mendapatkan apresiasi berupa nominal uang?,Pasal 8 ayat 3: Setiap perolehan medali/juara di setiap kompetisi sebagaimana disebutkan dalam Pasal 6 ayat (2) juga mendapatkan apresiasi berupa nominal uang.
Apa yang diatur dalam Bab VI Ketentuan Penutup Peraturan Rektor ITS Nomor 7 Tahun 2023?,"Pasal 10: Pada saat Peraturan Rektor ini mulai berlaku, Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 27 Tahun 2022 tentang Pemberian Apresiasi Bagi Mahasiswa Beprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan lnstitut Teknologi Sepuluh Nopember, dicabut dan dinyatakan tidak berlaku."
Kapan Peraturan Rektor ITS Nomor 7 Tahun 2023 mulai berlaku?,"Pasal 11: Peraturan Rektor ini mulai berlaku pada tanggal ditetapkan, yaitu 3 Januari 2023."
Siapa yang menetapkan Peraturan Rektor ITS Nomor 7 Tahun 2023?,"Ditetapkan di Surabaya pada tanggal 3 Januari 2023 REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER, MOCHAMAD ASHARI NIP 196510121990031003."
Apa saja ketentuan umum dalam Peraturan Rektor ITS Nomor 7 Tahun 2023?,"Pasal 1: Dalam peraturan ini yang dimaksud dengan: 
 1. Institut Teknologi Sepuluh Nopember yang selanjutnya disebut ITS adalah perguruan tinggi negeri badan hulrum. 
 2. Rektor adalah organ ITS yang memimpin penyelenggaraan dan pengelolaan ITS. 
 3. Mahasiswa adalah peserta didik pada jenjang pendidikan tinggi di ITS. 
 4. Pembimbing adalah dosen ITS yang mendapat Surat Keputusan Rektor untuk membina Mahasiswa mengikuti kegiatan kompetisi baik dalam skala nasional maupun internasional. 
 5. Dosen Penalaran adalah dosen ITS yang mendapat Surat Keputusan Rektor untuk membina Mahasiswa mengikuti kegiatan kompetisi yang diselenggarakan oleh Kementerian..."
Siapa yang disebut sebagai pembimbing dalam Peraturan Rektor ITS Nomor 7 Tahun 2023?,Pasal 1 ayat 4: Pembimbing adalah dosen ITS yang mendapat Surat Keputusan Rektor untuk membina Mahasiswa mengikuti kegiatan kompetisi baik dalam skala nasional maupun internasional.
Siapa yang disebut sebagai dosen penalaran dalam Peraturan Rektor ITS Nomor 7 Tahun 2023?,Pasal 1 ayat 5: Dosen penalaran adalah dosen ITS yang mendapat Surat Keputusan Rektor untuk membina Mahasiswa mengikuti kegiatan kompetisi yang diselenggarakan oleh Kementerian yang menangani urusan di bidang pendidikan tinggi baik dalam skala nasional maupun internasional.
