question,context
Apa itu Pertukaran Mahasiswa Merdeka?,Pertukaran Mahasiswa Merdeka adalah pertukaran mahasiswa selama satu semester dari satu klaster daerah ke klaster daerah lainnya yang memberikan pengalaman kebinekaan dan sistem alih kredit sebanyak 20 SKS.
Mengapa mendaftar untuk Pertukaran Mahasiswa Merdeka?,"Manfaat mendaftar Pertukaran Mahasiswa Merdeka adalah: 1. Bertemu dengan mahasiswa lain dari perguruan tinggi yang berbeda. 2. Mendapatkan pengalaman langsung dan mempelajari kebudayaan daerah lain melalui Modul Nusantara. 3. Memperluas atau meningkatkan kompetensi akademik. 4. Mengembangkan kepemimpinan, percaya diri, dan kepekaan sosial. Selain itu, mahasiswa juga akan mendapatkan insentif berupa: bantuan biaya hidup sebesar Rp 700.000/bulan, biaya akomodasi sebesar Rp 500.000/bulan, potongan UKT maksimal Rp 2.400.000, bantuan biaya rapid antigen, tiket pesawat/kereta, dan sertifikat peserta."
Apa saja insentif yang didapatkan dalam program Pertukaran Mahasiswa Merdeka?,Insentif yang didapatkan meliputi: 1. Bantuan biaya hidup selama 4 bulan sebesar Rp 700.000/bulan. 2. Bantuan biaya akomodasi selama 4 bulan sebesar Rp 500.000/bulan. 3. Potongan UKT maksimal Rp 2.400.000 sekali. 4. Bantuan biaya rapid antigen dua kali sebesar Rp 150.000 per perjalanan. 5. Tiket pesawat dan kereta (at cost) jika pelaksanaan luring. 6. Sertifikat peserta Pertukaran Mahasiswa Merdeka.
Bagaimana pengalaman tentang kebudayaan daerah lain melalui Modul Nusantara?,"Mahasiswa yang mengikuti program Pertukaran Mahasiswa Merdeka akan mendapatkan pengalaman langsung melalui Modul Nusantara senilai 2 SKS yang wajib diambil. Modul Nusantara dilaksanakan di perguruan tinggi penerima dan dibagi ke dalam empat jenis kegiatan yaitu kebinekaan, inspirasi, refleksi, dan kontribusi sosial, dengan bimbingan dari dosen pembimbing dan mentor."
Apa saja jenis kegiatan dalam Modul Nusantara?,"Modul Nusantara dibagi ke dalam empat jenis kegiatan yaitu kebinekaan, inspirasi, refleksi, dan kontribusi sosial."
Dimana Modul Nusantara dilaksanakan?,Modul Nusantara dilaksanakan di perguruan tinggi penerima.
Siapa yang membimbing mahasiswa dalam Modul Nusantara?,"Dalam pelaksanaan Modul Nusantara, mahasiswa akan dibimbing oleh dosen pembimbing modul nusantara dan dibantu oleh mentor."
Bagaimana mekanisme pelaksanaan Pertukaran Mahasiswa Merdeka?,"Terdapat dua mekanisme: 1. Mahasiswa mengambil keseluruhan 20 SKS dari mata kuliah yang ditawarkan oleh perguruan tinggi penerima, termasuk 2 SKS Modul Nusantara (wajib). 2. Mahasiswa mengkombinasikan mata kuliah dari perguruan tinggi penerima dengan mata kuliah dari perguruan tinggi lain secara daring, dengan minimal 8 SKS mata kuliah dari perguruan tinggi penerima dan 2 SKS Modul Nusantara."
Apa yang harus dilakukan mahasiswa dalam skema mekanisme pertama Pertukaran Mahasiswa Merdeka?,"Dalam skema mekanisme pertama, mahasiswa didorong untuk mengambil keseluruhan 20 SKS dari mata kuliah yang ditawarkan oleh perguruan tinggi penerima, termasuk di dalamnya 2 SKS Modul Nusantara (wajib). Dalam skema ini, penentuan mata kuliah di perguruan tinggi penerima baru bisa dipilih, setelah proses perekrutan selesai dan mahasiswa ditempatkan di salah satu perguruan tinggi penerima. Maka, dalam proses pendaftaran melalui aplikasi MBKM, para mahasiswa tidak memilih mata kuliah apapun di aplikasi tersebut."
Apa yang harus dilakukan mahasiswa dalam skema mekanisme kedua Pertukaran Mahasiswa Merdeka?,"Dalam skema mekanisme kedua, mahasiswa dapat mengkombinasikan mata kuliah yang ditawarkan perguruan tinggi penerima (minimal 8 SKS mata kuliah dan 2 SKS modul nusantara (wajib)) dengan mata kuliah dari perguruan tinggi lain secara daring, dengan ketentuan."
Apa yang harus dilakukan mahasiswa yang masih memiliki mata kuliah wajib di perguruan tinggi asal saat mengikuti Pertukaran Mahasiswa Merdeka?,"Jika ada mata kuliah wajib yang masih harus dituntaskan di perguruan tinggi asal, mahasiswa dapat mengkombinasikan mata kuliah dari perguruan tinggi penerima dengan mata kuliah dari perguruan tinggi lain secara daring."
Apa yang harus dilakukan mahasiswa jika tertarik mengambil mata kuliah unggulan di perguruan tinggi lain?,"Jika mahasiswa tertarik untuk mengambil mata kuliah unggulan di perguruan tinggi lain, mahasiswa dapat memilih mata kuliah yang ditawarkan di aplikasi MBKM dalam skema mekanisme kedua."
