question,context
Apa yang harus dilakukan mahasiswa pada awal semester terkait kegiatan SKEM/Program MB-KM?,"A. Bagi Mahasiswa
1. Membuat perencanaan Kegiatan SKEM/ Program MB-KM dilaksanakan di awal semester."
Bagaimana cara mahasiswa memilih kelas MB-KM secara mandiri?,"A. Bagi Mahasiswa
2. Memilih kelas MB-KM secara mandiri melalui menu Formulir Rencana Studi (FRS) di SI Akademik."
Apa yang harus dilakukan mahasiswa terkait usulan portofolio di myITS StudentConnect?,"A. Bagi Mahasiswa
3. Membuat dan menyimpan usulan portofolio yang tersedia di myITS StudentConnect untuk 1 (satu) semester ke depan."
Bagaimana mahasiswa merencanakan SKEM dan memetakan portofolio?,"A. Bagi Mahasiswa
4. Merencanakan SKEM dan memetakan portofolio (sehubungan dengan Bentuk Kegiatan Pembelajaran/ BKP MB-KM) yang telah diusulkan dengan sks mata kuliah yang ingin dikonversikan."
Apa prosedur yang harus ditempuh mahasiswa setelah membuat perencanaan kegiatan SKEM/Program MB-KM?,"A. Bagi Mahasiswa
5. Melakukan perwalian dengan dosen wali untuk kemudian mendapatkan persetujuan FRS."
Di mana mahasiswa dapat mengakses panduan pengguna dan rencana kegiatan SKEM/Program MB-KM?,"A. Bagi Mahasiswa
6. Panduan pengguna dan rencana kegiatan SKEM/ Program MB-KM dan penjelasan terkait lainnya dapat diakses di link https://its.id/panduan-rencana-skem-MBKM dan https://its.id/RencanaKegiatanSKEMMBKM."
Apa yang harus dilakukan mahasiswa yang merencanakan Program MB-KM?,"A. Bagi Mahasiswa
7. Bagi mahasiswa yang merencanakan Program MB-KM, mengajukan Form 1 Matching Up Program MB-KM Ke MK Inti Prodi (jika konversi kegiatan ke Mata Kuliah Inti) dan Form 2 Surat Permohonan Kredit Transfer (Learning Agreement)."
Di mana mahasiswa dapat mengakses Form 1 dan Form 2 untuk Program MB-KM?,"A. Bagi Mahasiswa
8. Form 1 dan Form 2 dapat diakses di link https://its.id/Form12SEWR1RencanaMBKM."
Apa tugas dosen wali terkait pengajuan perencanaan kegiatan SKEM/Program MB-KM oleh mahasiswa?,"B. Bagi Dosen Wali
1. Melakukan pendampingan dan pengecekan dari pengajuan perencanaan kegiatan SKEM/ program MB-KM yang diajukan oleh mahasiswa."
Apa yang harus dilakukan dosen wali jika pengajuan perencanaan kegiatan SKEM/Program MB-KM oleh mahasiswa dinilai sudah sesuai?,"B. Bagi Dosen Wali
2. Jika dinilai sudah sesuai, pengajuan perencanaan Kegiatan SKEM/ Program MB-KM oleh mahasiswa, dosen wali dapat melakukan persetujuan FRS."
