question,context
Apa informasi yang terkandung dalam surat pengumuman Nomor 7244/IT2.II.1/B/TU.00.02/2023?,Surat Pengumuman Nomor : 7244/IT2.II.1/B/TU.00.02/2023 PENGUMUMAN PERIHAL PERMOHONAN KERINGANAN UKT/SPP SEMESTER GENAP 2023/2024 Ditujukan kepada Mahasiswa ITS Program Sarjana dan Sarjana Terapan.
Apa saja hal yang perlu diperhatikan oleh mahasiswa ITS yang berencana mengajukan permohonan keringanan UKT/SPP?,"Bagi mahasiswa ITS yang berencana melakukan permohonan keringanan UKT/SPP, maka diharapkan dapat memperhatikan beberapa hal sebagaimana berikut: 1. Permohonan Keringanan UKT/SPP dapat dilakukan melalui sipmaba.its.ac.id, di mana hanya diperkenankan untuk mahasiswa sarjana dan mahasiswa vokasi / sarjana terapan (selain mahasiswa IUP dan Joint Degree). Pada saat periode pengajuan, Mahasiswa yang dimaksud disyaratkan saat ini minimal akan memasuki semester 2 (dua) dan bukan termasuk kelompok penerima beasiswa, baik beasiswa Bidik Misi/KIP-K maupun beasiswa lainnya, serta belum pernah mendapatkan penurunan UKT dari proses banding UKT sebelumnya,"
Bagaimana proses pengajuan permohonan keringanan UKT/SPP?,Permohonan Keringanan UKT dilakukan melalui myITS Portal atau portal.its.ac.id dengan aplikasi layanan SIPMABA dilakukan dengan melakukan update data–data kelengkapan verifikasi UKT yang sebelumnya pernah diisi oleh mahasiswa pada saat menjadi calon mahasiswa baru.
Apa yang harus dilakukan mahasiswa jika menemui kendala dalam proses pengisian data permohonan keringanan UKT/SPP?,"Apabila menemui kendala di dalam proses pengisian data, mahasiswa dapat bertanya via whatsapp messanger ke nomor 081231223994."
Kapan periode pengajuan keringanan UKT/SPP untuk semester genap 2023/2024?,Timeline pengisian adalah sebagaimana berikut: 01–17 Desember 2023: Pengajuan keringanan UKT/SPP di aplikasi sipmaba melalui portal.its.ac.id oleh mahasiswa 18 – 24 Desember 2023: Pengecekan/verifikasi oleh Verifikator Banding UKT/SPP 27 - 29 Desember 2023 : Evaluasi oleh Subdit Perencanaan Anggaran 02 – 05 Januari 2024: Sinkronisasi data tagihan UKT dengan Biro Keuangan 08 Januari 2024: Pengumuman hasil Banding UKT/SPP 10 – 31 Januari 2024: Masa pembayaran UKT/SPP semester genap 2023/2024
Dokumen apa saja yang perlu diupload oleh mahasiswa saat pengajuan keringanan UKT di aplikasi SIPMABA?,"Pada pengajuan keringanan UKT, mahasiswa harus melakukan update data dan berkas di aplikasi SIPMABA pada menu pendukung (supported) dan upload berkas (upload file). Data dan berkas pendukung yang harus diupload di pada sistem adalah: Surat permohonan kepada Wakil Rektor II yang disertai alasan mengajukan keringanan UKT (format bebas) Bukti/data dukung alasan mengajukan keringanan UKT (bukti dijadikan 1 file dengan surat permohonan keringanan UKT). Misalnya, apabila orang tua sakit, maka data dukung yang dilampirkan berupa surat keterangan yangd ikeluarkan dari Rumah Sakit/dokter yang menangani penyakit tersebut. Surat keterangan pekerjaan orang tua (ayah dan ibu) terbaru Surat keterangan penghasilan orang tua (ayah dan ibu) terbaru SPT Tahunan orang tua (ayah dan ibu) terbaru Foto usaha pekerjaan orang tua (ayah dan ibu) terbaru (untuk jenis pekerjaan pedangang/pengusaha) Tagihan listrik (bukti pembayaran listrik) terbaru PBB terbaru Kartu keluarga (KK) terbaru Pajak kendaraan roda 2 dan 4 terbaru Foto rumah (tampak depan, ruang tamu, 2 kamar tidur dan tampak belakang/dapur/kamar mandi)"
Apa syarat yang harus dipenuhi jika pengajuan keringanan UKT dilakukan karena orang tua pensiun?,"Catatan: 1. Apabila alasan permohonan keringanan dikarenakan orang tua pensiun, maka data dukung yang perlu dilampirkan berupa surat keterangan/surat keputusan (termasuk gaji pensiun atau pesangon) yang dikeluarkan oleh pemberi kerja. Berkas tersebut dapat diupload pada bagian pekerjaan, penghasilan atau SPT."
Apa syarat yang harus dipenuhi jika pengajuan keringanan UKT dilakukan karena orang tua meninggal dunia?,"Catatan: 2. Apabila orang tua meninggal dunia, maka data dukung yang dilampirkan berupa surat kematian/akte kematian. Berkas tersebut dapat diupload pada bagian pekerjaan, penghasilan atau SPT."
Apa ketentuan bagi mahasiswa Jalur Mandiri Kemitraan dalam pengisian data penghasilan orang tua?,"Catatan: 4. Bagi mahasiswa Jalur Mandiri Kemitraan, data penghasilan orang tua (ayah dan ibu) yang dimasukkan adalah jumlah total per tahun"
Apa ketentuan bagi mahasiswa jalur reguler dalam pengisian data penghasilan orang tua?,"Catatan: 5. Bagi mahasiswa jalur reguler, data penghasilan orang tua (ayah dan ibu) yang dimasukkan adalah jumlah total per bulan."
