question,context
Di mana mahasiswa dapat melakukan permohonan keringanan UKT/SPP?,"Permohonan Keringanan UKT/SPP dapat dilakukan melalui sipmaba.its.ac.id, di mana hanya diperkenankan untuk mahasiswa sarjana dan mahasiswa vokasi/sarjana terapan (selain mahasiswa IUP dan Joint Degree)"
Mahasiswa yang seperti apa diperkenankan mengajukan permohonan keringanan UKT/SPP?,"Mahasiswa yang minimal akan memasuki semester 2 (dua) dan bukan kelompok penerima beasiswa, baik beasiswa Bidik Misi/KIP-K maupun beasiswa lainnya, serta belum pernah mendapatkan penurunan UKT dari proses banding UKT sebelumnya"
Bagaimana cara melakukan permohonan keringanan UKT di myITS Portal?,"Permohonan Keringanan UKT dilakukan melalui myITS Portal atau portal.its.ac.id dengan aplikasi layanan SIPMABA, di mana mahasiswa harus melakukan update data-data kelengkapan verifikasi UKT"
Apa yang perlu dilakukan jika menemui kendala dalam proses pengisian data?,Mahasiswa dapat bertanya via whatsapp messanger ke nomor 081231223994
Apa timeline pengajuan keringanan UKT/SPP?,"01–17 Desember 2023: Pengajuan keringanan UKT/SPP, 18 – 24 Desember 2023: Pengecekan/verifikasi, 27 - 29 Desember 2023: Evaluasi, 02 – 05 Januari 2024: Sinkronisasi data tagihan UKT dengan Biro Keuangan, 08 Januari 2024: Pengumuman hasil, 10 – 31 Januari 2024: Masa pembayaran"
Apa yang harus dilakukan mahasiswa saat mengajukan keringanan UKT?,Mahasiswa harus melakukan update data dan berkas di aplikasi SIPMABA pada menu pendukung (supported) dan upload berkas (upload file)
Dokumen apa saja yang harus diunggah saat mengajukan permohonan keringanan UKT?,"Surat permohonan kepada Wakil Rektor II yang disertai alasan, Bukti/data dukung alasan, Surat keterangan pekerjaan orang tua terbaru, Surat keterangan penghasilan orang tua terbaru, SPT Tahunan orang tua terbaru, Foto usaha pekerjaan orang tua terbaru, Tagihan listrik terbaru, PBB terbaru, Kartu keluarga terbaru, Pajak kendaraan roda 2 dan 4 terbaru, Foto rumah"
Apa yang harus dilakukan jika alasan permohonan keringanan dikarenakan orang tua pensiun?,Lampirkan surat keterangan/surat keputusan (termasuk gaji pensiun atau pesangon) dari pemberi kerja
Apa yang harus dilakukan jika orang tua meninggal dunia?,Lampirkan surat kematian/akte kematian
Bagaimana cara menggabungkan data dukung yang tidak tersedia tempatnya untuk diupload?,Data dukung dapat digabungkan dengan surat permohonan banding UKT/SPP dan dikolase
Bagaimana cara memasukkan data penghasilan orang tua bagi mahasiswa jalur Mandiri Kemitraan?,Data penghasilan orang tua yang dimasukkan adalah jumlah total per tahun
Bagaimana cara memasukkan data penghasilan orang tua bagi mahasiswa jalur reguler?,Data penghasilan orang tua yang dimasukkan adalah jumlah total per bulan
Kapan surat ini dibuat?,Surat ini dibuat pada tanggal 16 Nopember 2023
Siapa yang menandatangani surat ini?,"Direktur Perencanaan dan Pengembangan, Dr. Ir. Suwadi M.T."
