question,context
Bagaimana format makro penulisan proposal tesis di ITS?,"4. Layout tulisan disajikan dalam Lampiran 1, dengan penjelasan seperti yang tertulis pada item 5 di bawah ini. Tulisan diketik dengan batas tepi halaman mengikuti ketentuan jarak sebagai berikut: a) Jarak dari tepi atas kertas = 3,5 cm. b) Jarak dari tepi bawah kertas = 3 cm. c) Jarak dari tepi kiri kertas = 4 cm (halaman ganjil). d) Jarak dari tepi kanan kertas = 3 cm (halaman ganjil). e) Jarak dari tepi kiri kertas = 3 cm (halaman genap). f) Jarak dari tepi kanan kertas = 4 cm (halaman genap)."
Tata cara penulisan bab dan sub-bab dalam tesis?,"Tulisan BAB 1, BAB 2, dst. dimulai dari batas margin atas dengan ukuran huruf 14 point. Judul bab dimulai 1,5 spasi (1 kali ketukan enter) dari tulisan BAB 1, BAB 2, dst. Tulisan bab dan judul bab ditulis dengan huruf kapital untuk semua huruf dengan ukuran huruf 14 point. Angka untuk nomor bab ditulis dengan angka Arabic (1, 2, 3, dst). Kalimat awal (jika tidak dimulai dengan sub-bab) atau sub-bab awal dimulai 3 spasi (2 kali ketukan enter) dari judul bab dan dimulai dari margin kiri (untuk judul sub-bab) atau masuk 1 tab (1,5 cm) untuk awal kalimat. Judul sub-bab ditulis dengan title case."
Bagaimana aturan penulisan paragraf dalam proposal tesis?,"Kalimat awal pada suatu paragraf ditulis masuk 1 (satu) tab. Antar paragraf tidak perlu diberi jarak. Permulaan bab selalu ditulis pada halaman baru dan dimulai pada halaman dengan nomor ganjil. Apabila suatu bab berakhir pada halaman dengan nomor ganjil, maka halaman genap berikutnya dibiarkan kosong."
Bagaimana menuliskan gambar dan tabel dalam tesis?,Semua gambar dan tabel harus jelas / tidak kabur / buram. Ukuran huruf pada gambar dan tabel harus dapat dibaca oleh mata normal dengan mudah. Gambar dan tabel diletakkan di tengah halaman (centered). Nomor dan judul tabel ditulis di sisi kiri di atas tabel. Nomor tabel disesuaikan dengan letak tabel dalam bab.
Apa saja yang perlu diperhatikan dalam penulisan rumus tesis?,"Semua rumus ditulis dengan menggunakan equation editor (atau mathtype). Penulisan rumus dimulai pada batas kiri, rata dengan kalimat tepat di atasnya, dengan jarak 1,5 spasi dari kalimat di atas dan di bawahnya. Nomor rumus disesuaikan dengan nomor bab letak rumus tersebut dan ditulis di ujung kanan baris tersebut (aligned right)."
Bagaimana penulisan abstrak dalam proposal tesis?,"Abstrak proposal tesis ditulis dalam Bahasa Indonesia dan Inggris pada halaman yang berbeda secara berurutan. Judul tesis ditulis pada batas margin atas, di tengah halaman, dengan ukuran font 14 dan dicetak tebal, dengan jarak spasi 1. Nama mahasiswa, dosen pembimbing, dan ko-pembimbing ditulis 2 spasi di bawahnya, dicetak dengan font normal, pada tengah halaman."
Bagaimana penomoran halaman dalam tesis?,"Penomoran halaman dilakukan sebagai berikut: semua bagian sebelum teks (sebelum Bab 1), dimulai dari lembar pengesahan, diberi nomor halaman dengan angka Romawi kecil yang diletakkan di bagian bawah-tengah halaman (i, ii, dst). Bagian teks (Bab 1, dan seterusnya termasuk daftar pustaka dan lampiran) diberi nomor halaman dengan angka Arabic yang diletakkan di bagian bawah-tengah halaman."
Apa format untuk penulisan judul tesis dalam abstrak?,"Judul tesis ditulis pada batas margin atas, di tengah halaman, dengan ukuran font 14 dan dicetak tebal, dengan jarak spasi 1. Nama mahasiswa, dosen pembimbing, dan ko-pembimbing ditulis 2 spasi di bawahnya, dicetak dengan font normal, pada tengah halaman."
Apa yang harus dilakukan saat mengganti judul atau metode pada tesis?,"Jika Pembimbing dan RMK tetap dan hanya melakukan penyesuaian judul/metode, maka cukup dilakukan dengan mengisi form pergantian judul yang ada di link akademik. Jika TA expired atau jika pembimbing dan atau RMK ganti, maka mesti mengajukan proposal TA ulang dan mengambil Pra-TA lagi."
Apa yang harus diperbaiki setelah sidang proposal tesis?,"Usul perbaikan yang diberikan oleh seluruh dosen penguji termasuk dosen pembimbing, dituangkan dalam berita acara seminar proposal tesis dengan mencantumkan jangka waktu perbaikannya dengan batas maksimum satu bulan. Perbaikan ini harus dikonsultasikan kepada para dosen penguji dan dosen pembimbing."
