question,context
Apa peran dari Subdirektorat Pengembangan Kewirausahaan dan Karir (PK2) di ITS?,Program Magang di lingkungan ITS ini dikelola oleh Subdit Pengembangan Kewirausahaan dan Karir (PK2) di bawah koordinasi Direktorat Kemahasiswaan ITS.
Apa tujuan dari Program Magang yang diselenggarakan oleh ITS?,"Program Magang adalah suatu kegiatan dari mahasiswa untuk menerapkan dan memperoleh pengetahuan, keterampilan umum dan khusus/keahlian kerja, serta internalisasi sikap profesional dan budaya kerja yang sesuai dan diperlukan bagi dunia usaha."
Apa saja jenis Program Magang di Kampus Merdeka ITS?,"Jenis Program Magang Kampus Merdeka di ITS meliputi MBKM (Program dari Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi dalam bentuk pembelajaran di luar Kampus selama 2 semester, dan bisa/wajib dikonversikan ke SKS Mata Kuliah) dan Non-MBKM (Program Magang yang dikonversikan ke SKEM atau hanya untuk menambah pengalaman mahasiswa)."
Apa yang termasuk dalam Program Magang Flagship di Kampus Merdeka?,"Program Magang Flagship (Kampus Merdeka) meliputi MSIB (Magang dan Studi Independen Bersertifikat), Bangkit (by Google, GoTo, and Traveloka), dan Gerilya (by Kementerian ESDM)."
Apa syarat untuk mengikuti Program Magang MBKM?,"1. Mahasiswa aktif ITS tingkat Sarjana dan Diploma
2. Minimal mahasiswa sudah lulus 90 SKS atau sudah lulus semester 5
3. Mahasiswa tidak diperkenankan mengambil Program Kegiatan Magang (BKP) MBKM yang sama lebih dari 1 kali
4. Mahasiswa wajib melakukan konversi alih kredit ke SKS MK
5. Mahasiswa/Departemen wajib membuat/memiliki surat PKS
6. Pelaksanaan Magang sebelum minggu ke-3 perkuliahan di ITS
7. Mahasiswa tidak diperkenankan mengambil MK, atau hanya diperkenankan mengambil maks. 3 MK (setara 10 SKS)
8. Pelaksanaan Magang selama 3 – 6 bulan."
Apa saja persyaratan untuk mengikuti Program Magang Non-MBKM?,"1. Mahasiswa aktif ITS tingkat Sarjana dan Diploma
2. Minimal mahasiswa sudah lulus semester 3
3. Mahasiswa dapat melakukan konversi alih kredit ke SKEM
4. Tidak wajib membuat/memiliki surat PKS
5. Pelaksanaan Magang di luar jam perkuliahan aktif (selama masa libur perkuliahan atau mahasiswa dapat mengajukan izin cuti perkuliahan)
6. Pelaksanaan Magang selama 1 – 6 bulan."
Apa saja skema pelaksanaan Program Magang Flagship?,"Mahasiswa membuat akun di https://kampusmerdeka.kemdikbud.go.id/
2. Mahasiswa memilih program dan mitra yang akan diikuti
3. Mahasiswa berkonsultasi ke Departemen serta mengajukan Surat Rekomendasi (SR)
4. Departemen cek relevansi kegiatan/program mitra serta rencana konversi SKS
5. Mahasiswa mengajukan SPTJM
6. PK2 melakukan pengecekan Track Record Magang Mahasiswa
7. SPTJM terbit
8. Mahasiswa mendaftar program MSIB di website Kampus Merdeka dengan upload dokumen kelengkapan
9. Mahasiswa melakukan cek hasil penerimaan"
Bagaimana skema pelaksanaan Program Magang Kerjasama di ITS?,"1. Mitra mengajukan permintaan mahasiswa magang ke PK2
2. PK2 melakukan review dan persetujuan permohonan
3. Mitra mengirim surat permintaan magang sesuai kualifikasi yang ditujukan ke Kasubdit. PK2 ITS
4. PK2 mengirimkan draft PKS Magang Kerjasama kepada Mitra
5. PK2 dan Mitra berkoordinasi untuk pengurusan PKS
6. Mitra mengirim poster lowongan magang (jika ada)
7. PK2 membuat form pendaftaran magang
8. PK2 mempublikasikan ke sosmed dan menyebarkan informasi ke LO MBKM dan Kepala Departemen"
Bagaimana skema pelaksanaan Program Magang Mandiri di ITS?,"1. Mahasiswa mengurus surat rekomendasi departemen untuk pengajuan magang ke Mitra
2. Mahasiswa mengajukan permohonan magang ke Mitra
3. Mitra melakukan seleksi magang
4. Mahasiswa menerima hasil seleksi magang dari Mitra
5. Apabila tidak diterima, maka mahasiswa harus mengulang sejak langkah awal
6. Apabila diterima, Mahasiswa melaporkan ke Departemen
7. Mahasiswa/Departemen melakukan koordinasi dengan PK2 untuk pengurusan PKS dengan menyertakan Proposal Magang, Surat Rekomendasi Departemen dan Surat Penerimaan Magang
8. Proses pengurusan PKS (Dapat dilakukan bersamaan dengan pelaksanaan Magang)"
Bagaimana statistik peserta MSIB Batch 4 dan 5?,"MSIB Batch 4: Total Mahasiswa diterima: 664 mahasiswa; Program Magang: 228 mahasiswa; Program Studi Independen: 436 mahasiswa; Jumlah Mitra Industri: 108 Mitra
MSIB Batch 5: Total Mahasiswa diterima: 488 mahasiswa; Program Magang: 257 mahasiswa; Program Studi Independen: 231 mahasiswa; Jumlah Mitra Industri: 121 Mitra"
Apa saja tugas Penanggung Jawab Fakultas atau Prodi dalam program Kampus Merdeka?,"Penanggung Jawab Fakultas atau Prodi bertugas untuk:
1. Melakukan verifikasi kebenaran data dan dokumen mahasiswa yang akan mendaftar Program flagship MBKM
2. Memberikan rekomendasi kepada mahasiswa untuk mengikuti Program flagship MBKM
3. Melakukan koordinasi dengan mahasiswa apabila terdapat data atau dokumen yang perlu diperbaiki."
Bagaimana alur verifikasi dan persetujuan data mahasiswa oleh Penanggung Jawab Fakultas atau Prodi?,"1. Penanggung Jawab Fakultas/Prodi selanjutnya bisa melakukan pengecekan kesesuaian data akademik pada Mahasiswa yang bersangkutan
2. Jika data sudah sesuai, dan Anda sebagai Penanggung Jawab Fakultas/Prodi mengizinkan mahasiswa untuk mengikuti program Kampus Merdeka maka Anda bisa klik 'Ya, Beri Izin'
3. Untuk data mahasiswa yang sudah pernah diverifikasi, Anda akan menemukan notifikasi seperti yang ada pada gambar di samping
4. Setelah itu klik 'Selanjutnya'"
Bagaimana proses digitalisasi Surat Rekomendasi dan SPTJM dalam program Kampus Merdeka?,"1. Mahasiswa mengisikan seluruh data dan pernyataan mahasiswa langsung di dalam platform MBKM
2. Proses verifikasi data mahasiswa dilakukan oleh Perguruan Tinggi pada level Penanggung Jawab Program Studi/Fakultas
3. Rekomendasi Perguruan Tinggi diberikan melalui platform oleh Pimpinan PT
4. Terdapat dua proses yang perlu dilakukan oleh Perguruan Tinggi:
 a. Pengunggahan Surat Tugas dari PT
 b. Submit email program studi atau pihak yang akan melakukan verifikasi mahasiswa"
