question,context
Apa pertimbangan yang mendasari pembentukan Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 5 Tahun 2023?,"Menimbang: a. bahwa Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan Institut Teknologi Sepuluh Nopember, dipandang sudah tidak sesuai dengan kebutuhan pengelolaan dana pendidikan di lingkungan Institut Teknologi Sepuluh Nopember; b. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a, dipandang perlu mengadakan perubahan peraturan yang dimaksud dengan membentuk Peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Dana Pendidikan Institut Teknologi Sepuluh Nopember;"
Apa saja peraturan perundang-undangan yang dijadikan landasan dalam penyusunan Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 5 Tahun 2023?,"Mengingat: 1. Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi(Lembaran Negara Republik Indonesia Tahun 2012 Nomor 158, Tambahan Lembaran Negara Republik Indonesia Nomor 5336); 2. Peraturan Pemerintah Nomor 4 Tahun 2014 tentang Penyelenggaraan Pendidikan Tinggi dan Pengelolaan Perguruan Tinggi (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 16, Tambahan Lembaran Negara Republik Indonesia Nomor 5500); 3. Peraturan Pemerintah Nomor 26 Tahun 2015 tentang Bentuk dan Mekanisme Pendanaan Perguruan Tinggi Negeri Badan Hukum (Lembaran Negara Republik Indonesia Tahun 2015 Nomor 110, Tambahan Lembaran Negara Republik Indonesia Nomor 5699) sebagaimana diubah dengan Peraturan Pemerintah Republik Indonesia Nomor 8 Tahun 2020 tentang Perubahan Atas Peraturan Pemerintah Nomor 26 Tahun 2015 tentang Bentuk dan Mekanisme Pendanaan Perguruan Tinggi Negeri Badan Hukum (Lembaran Negara Republik Indonesia Tahun 2020 Nomor 28; Tambahan Lembaran Negara Republik Indonesia Nomor 6461);"
Apa definisi Institut Teknologi Sepuluh Nopember yang disebut dalam peraturan ini?,Pasal 1: 1. Institut Teknologi Sepuluh Nopember yang selanjutnya disebut ITS adalah perguruan tinggi negeri badan hukum.
Apa yang dimaksud dengan Pendidikan Profesi dalam peraturan ini?,Pasal 1: 4. Pendidikan Profesi adalah program pendidikan sesudah program sarjana yang mempersiapkan peserta didik untuk memiliki kemampuan dalam keahlian khusus dan diselenggarakan bersama dengan organisasi profesi.
Apa yang dimaksud dengan International Undergraduate Program (IUP) dalam peraturan ini?,"Pasal 1: 8. International Undergraduate Program yang selanjutnya disingkat IUP adalah program pendidikan sarjana yang dilaksanakan dalam bahasa Inggris dan mahasiswa wajib mengikuti kegiatan internasional sekurang-kurangnya satu kali selama masa studi dalam bentuk Joint degree/Double Degree, student exchange, final project, internship, atau short program dengan perguruan tinggi mitra ITS di luar negeri."
Apa tujuan dari diterbitkannya Peraturan Rektor yang baru?,"Pasal 2: (2) Peraturan ini diterbitkan dengan tujuan untuk menjamin transparansi pemungutan, penghimpunan, dan penggunaan dana pendidikan."
Siapa yang dikenakan kewajiban membayar SPP sesuai dengan peraturan ini?,Pasal 4: (2) Kewajiban membayar dana pendidikan berupa SPP dikenakan kepada: a. Calon Mahasiswa Baru program sarjana dan sarjana terapan yang diterima dari selain Jalur Seleksi Nasional; b. Mahasiswa program sarjana dan sarjana terapan yang diterima dari selain Jalur Seleksi Nasional; c. Calon Mahasiswa Baru program sarjana dan sarjana terapan yang diterima dari Jalur Seleksi Nasional program joint degree/ double degree; d. Mahasiswa program sarjana dan sarjana terapan yang diterima dari Jalur Seleksi Nasional program joint degree/ double degree; e. Calon Mahasiswa Baru program pascasarjana dan pascasarjana terapan; dan f. Mahasiswa program pascasarjana dan pascasarjana terapan.
Bagaimana mekanisme pengecualian pembayaran penuh UKT atau SPP dijelaskan dalam peraturan ini?,"Pasal 5: (2) Mahasiswa sebagaimana dimaksud pada ayat (1) dapat dikecualikan dari kewajiban membayar UKT atau SPP secara penuh apabila memenuhi ketentuan sebagai berikut: a. Mahasiswa program magister yang telah menyelesaikan semua mata kuliah termasuk tesis, tetapi belum memenuhi persyaratan lulus yudisium; b. Mahasiswa program doktor yang telah lulus ujian tertutup pada semester sebelumnya dan masih harus menyelesaikan perbaikan disertasinya melewati masa yudisium institut; atau c. Mahasiswa aktif tidak berbeasiswa yang mengikuti kegiatan akademik di luar ITS selama paling sedikit 8 (delapan) minggu dalam 1 (satu) semester, berupa: 1. program exchange dengan perguruan tinggi mitra luar negeri untuk program pascasarjana; atau 2. program magang, mengajar di satuan pendidikan, KKN Tematik/membangun desa, kegiatan independen, penelitian/riset, wirausaha, proyek kemanusiaan, pertukaran pelajar, bela negara."
Bagaimana ketentuan pembayaran UKT atau SPP bagi Mahasiswa program Joint Degree/Double Degree?,"Pasal 6: Mahasiswa program Joint Degree/ Double Degree yang melakukan kegiatan akademik di perguruan tinggi mitra luar negeri, diwajibkan membayar SPP: a. sebesar 100% (seratus persen) di ITS untuk Mahasiswa yang tidak berkewajiban membayar dana pendidikan di perguruan tinggi mitra luar negeri; b. sebesar 10% (sepuluh persen) di ITS untuk Mahasiswa yang berkewajiban membayar dana pendidikan di perguruan tinggi mitra luar negeri; dan c. sebesar 100% (seratus persen) di ITS untuk Mahasiswa berkegiatan akademik di perguruan tinggi mitra luar negeri yang mensyaratkan pembagian pendapatan SPP dengan ITS."
Apa saja yang termasuk dalam penggunaan dana pendidikan menurut peraturan ini?,"Pasal 23: (1) Dana Pendidikan digunakan untuk: a. penyelenggaraan kegiatan tridharma perguruan tinggi dan pengelolaan manajemen; b. pengadaan sarana dan prasarana penyelenggaraan tridharma perguruan tinggi dan manajemen yang meliputi: 1. pembangunan gedung pendidikan, Laboratorium, dan manajemen; dan 2. pengadaan peralatan pendidikan, laboratorium, dan manajemen; c. pengembangan keahlian dan keilmuan dosen dan tenaga kependidikan; d. pengembangan program penyelenggaraan pendidikan tinggi yang dituangkan dalam dokumen perencanaan ITS."
Apa yang dimaksud dengan Mahasiswa Asing dalam peraturan ini?,Pasal 1: 7. Mahasiswa Asing adalah mahasiswa ITS dengan kewarganegaraan selain Indonesia.
Apa definisi dari Biaya Kuliah Tunggal?,Pasal 1: 11. Biaya Kuliah tunggal yang selanjutnya disingkat BKT adalah keseluruhan biaya operasional per tahun yang terkait langsung dengan proses pembelajaran mahasiswa pada program studi di perguruan tinggi negeri.
Apa yang dimaksud dengan Uang Kuliah Tunggal (UKT)?,Pasal 1: 12. Uang Kuliah Tunggal yang selanjutnya disingkat UKT adalah biaya yang dikenakan setiap semester kepada calon mahasiswa baru dan mahasiswa program sarjana/sarjana terapan yang diterima melalui jalur Seleksi Nasional.
Apa tujuan dari program Fast Track?,"Pasal 1: 19. Program Fast Track adalah program percepatan dari program sarjana ke program magister yang diselenggarakan untuk memfasilitasi pendidikan khusus bagi Mahasiswa program sarjana ITS yang berprestasi akademik tinggi, setelah menempuh paling sedikit 6 (enam) semester program sarjana, tanpa harus lulus terlebih dahulu dari program sarjana tersebut."
Apa itu Program Rekognisi Pembelajaran Lampau?,"Pasal 1: 20. Program Rekognisi Pembelajaran Lampau yang selanjutnya disingkat RPL adalah pengakuan atas capaian pembelajaran seseorang yang diperoleh dari pendidikan formal, non formal, informal, dan/atau pengalaman kerja ke dalam pendidikan formal."
Bagaimana definisi Calon Mahasiswa Baru dalam peraturan ini?,Pasal 1: 22. Calon Mahasiswa Baru adalah pendaftar yang telah dinyatakan lolos seleksi penerimaan Mahasiswa Baru yang ditetapkan dengan keputusan Rektor.
Apa yang disebut Mahasiswa Baru dalam peraturan ini?,Pasal 1: 23. Mahasiswa Baru adalah Calon Mahasiswa Baru yang telah melakukan daftar ulang dan mendapatkan Nomor Registrasi Pokok (NRP) yang ditetapkan dengan keputusan Rektor.
Apa maksud dan tujuan dari penerbitan Peraturan Rektor ini?,"Pasal 2: (1) Peraturan Rektor ini diterbitkan dengan maksud agar setiap pemungutan dan penghimpunan dana pendidikan dari Calon Mahasiswa Baru dan Mahasiswa serta penggunaannya memiliki landasan hukum. (2) Peraturan ini diterbitkan dengan tujuan untuk menjamin transparansi pemungutan, penghimpunan, dan penggunaan dana pendidikan."
Apa saja jenis dana pendidikan yang diatur dalam Peraturan Rektor ini?,Pasal 3: (2) Dana pendidikan sebagaimana dimaksud pada ayat (1) terdiri atas: a. UKT; b. SPP; c. SPI; dan d. SPA.
Siapa yang wajib membayar UKT sesuai Peraturan Rektor ini?,Pasal 4: (1) Kewajiban membayar dana pendidikan berupa UKT dikenakan kepada: a. Calon Mahasiswa Baru program sarjana dan sarjana terapan yang diterima dari Jalur Seleksi Nasional; dan b. Mahasiswa program sarjana dan sarjana terapan yang diterima dari Jalur Seleksi Nasional.
Apa kewajiban pembayaran NRP bagi Calon Mahasiswa Baru?,"Pasal 4: (5) Untuk mendapatkan NRP, Calon Mahasiswa Baru wajib melakukan pembayaran dana pendidikan sesuai dengan kriteria sebagaimana dimaksud pada ayat (1), ayat (2), dan ayat (3)."
Apa yang terjadi jika Mahasiswa tidak membayar UKT atau SPP tepat waktu?,"Pasal 8: (1) Mahasiswa yang tidak membayar UKT atau SPP sampai dengan batas waktu yang ditentukan, status Mahasiswanya dinyatakan tidak aktif. (2) Mahasiswa yang tidak membayar UKT atau SPP sebagaimana dimaksud pada ayat (1) selama 2 (dua) semester berturut-turut, dinyatakan mengundurkan diri melalui keputusan Rektor."
Apa yang dimaksud dengan Beasiswa Fresh Graduate?,Pasal 1: 21. Beasiswa Fresh Graduate adalah beasiswa yang diberikan oleh ITS kepada lulusan ITS program sarjana/sarjana terapan/magister yang ditetapkan dengan kriteria tertentu.
Bagaimana prosedur pengajuan kembali status Mahasiswa yang tidak aktif?,"Pasal 9: (1) Mahasiswa sebagaimana yang dimaksud dalam Pasal 8 ayat (1), status mahasiswanya diaktifkan kembali apabila membayar UKT atau SPP paling lambat minggu ke-4 (empat) masa perkuliahan. (2) Mahasiswa sebagaimana yang dimaksud dalam Pasal 8 ayat (1) dan tinggal mengerjakan tugas akhir/tesis/disertasi, diaktifkan kembali apabila membayar UKT atau SPP paling lambat minggu ke-12 (dua belas) masa perkuliahan. (3) Mahasiswa sebagaimana dimaksud dalam Pasal 8 ayat (2) dapat diaktifkan kembali dengan syarat: a. Mahasiswa mengajukan surat permohonan aktif kembali kepada Wakil Rektor yang membidangi akademik, selambat-lambatnya 1 (satu) minggu sebelum perkuliahan semester berikutnya dimulai; dan b. apabila permohonan disetujui Wakil Rektor yang membidangi akademik, maka Mahasiswa diwajibkan membayar UKT atau SPP selama periode yang tidak dibayar dan membayar UKT atau SPP pada semester berikutnya untuk diaktifkan statusnya sebagai Mahasiswa."
Bagaimana ketentuan pengurangan UKT atau SPP bagi mahasiswa yang bekerja di luar ITS?,"Pasal 5: (4) Pengecualian pembayaran secara penuh sebagaimana dimaksud pada ayat (2) huruf c diatur sebagai berikut: a. Keringanan pembayaran UKT atau SPP sebagaimana dimaksud ayat (2) huruf c angka 1 paling banyak 90% (sembilan puluh persen) pada semester berjalan; dan b. Keringanan pembayaran UKT atau SPP sebagaimana dimaksud ayat (2) huruf c angka 2 paling banyak 90% (sembilan puluh persen) pada semester berjalan, diberikan kepada Mahasiswa yang melakukan kegiatan akademik dan kemahasiswaan di luar ITS di dalam negeri yang memiliki kewajiban membayar dana pendidikan atau dana kepesertaan yang dikenakan oleh penyelenggara paling sedikit senilai besaran UKT atau SPP ITS. (5) Mahasiswa yang mendapatkan keringanan pembayaran sebagaimana dimaksud pada ayat (4) huruf b, dan mengambil paling banyak 6 sks di ITS pada semester berjalan maka keringanan pembayarannya yaitu: 1. Keringanan pembayaran UKT atau SPP sebesar 50% (lima puluh persen) untuk selain Mahasiswa IUP dan joint degree/ double degree; atau 2. Keringanan pembayaran SPP sebesar 70% (tujuh puluh persen) untuk Mahasiswa IUP dan joint degree/ double degree."
Apa kewajiban pembayaran dana pendidikan bagi Mahasiswa Joint Degree/Double Degree di perguruan tinggi mitra luar negeri?,"Pasal 6: Mahasiswa program Joint Degree/ Double Degree yang melakukan kegiatan akademik di perguruan tinggi mitra luar negeri, diwajibkan membayar SPP: a. sebesar 100% (seratus persen) di ITS untuk Mahasiswa yang tidak berkewajiban membayar dana pendidikan di perguruan tinggi mitra luar negeri; b. sebesar 10% (sepuluh persen) di ITS untuk Mahasiswa yang berkewajiban membayar dana pendidikan di perguruan tinggi mitra luar negeri; dan c. sebesar 100% (seratus persen) di ITS untuk Mahasiswa berkegiatan akademik di perguruan tinggi mitra luar negeri yang mensyaratkan pembagian pendapatan SPP dengan ITS."
