question,context
Berapa kali sidang proposal tesis diadakan dalam satu semester di Program Studi S2 Teknik Informatika ITS?,"Dalam satu semester, terdapat dua kali siding proposal tesis, yaitu minggu ke -5 – minggu ke-6 dan minggu ke -17 – minggu ke-18."
"Bagaimana cara Admin Akademik Pascasarjana menginfokan jadwal, persyaratan, dan link pendaftaran sidang proposal tesis kepada mahasiswa?","Admin Akademik Pascasarjana menginfokan jadwal, persyaratan, dan link Google Form pendaftaran sidang proposal tesis melalui MonTes dan grup whatsapp."
Apa saja yang harus dilengkapi mahasiswa untuk mendaftar sidang proposal tesis?,"Mahasiswa yang ingin mendaftar sidang proposal tesis, harus melengkapi berkas persyaratan pendaftaransidang proposal tesis, meliputi draft proposal tesis dan lembar persetujuan pembimbing."
Apa yang dilakukan Admin Akademik Pascasarjana setelah memverifikasi berkas persyaratan pendaftaran sidang proposal tesis?,"Admin Akademik Pascasarjana memverifikasi berkas persyaratan pendaftaran sidang proposal tesis. Apabila berkas sudah memenuhi, kemudian meng-input data mahasiswa yang mendaftar sidang proposal tesis ke MonTes dan mengatur status menjadi 'Terdaftar'."
Bagaimana cara Admin Akademik Pascasarjana menentukan jadwal dan dosen penguji sidang proposal tesis?,"Admin Akademik Pascasarjana merekap data mahasiswa pendaftar sidang proposal tesis di Microsoft Excel dan mengirimkan file hasil rekapitulasi data pendaftar sidang proposal tesis ke masing-masing ketua RMK yang terkait dengan topik penelitian tesis mahasiswa untuk meminta di-plotting-kan jadwal sidang tesis dan dosen penguji.
 Ketua RMK mem-plotting jadwal dan dosen penguji sidang proposal tesis untuk masing-masing mahasiswa dan menginfokannya ke Admin Akademik Pascasarjana."
Bagaimana cara mahasiswa mengetahui jadwal dan virtual background sidang proposal tesis?,Admin Akademik Pascasarjana mengirimkan jadwal dan virtual background sidang proposal tesis ke mahasiswa melalui grup Whatsapp.
Apa yang harus dilakukan mahasiswa sebelum mengikuti sidang proposal tesis?,Mahasiswa standby 30 menit sebelum sesi dimulai dan bergabung ke link meeting sesuai jadwal sidang proposal tesis yang telah ditentukan.
Apa yang dilakukan dosen pembimbing dan penguji selama sidang proposal tesis?,"Dosen pembimbing dan penguji bergabung ke link meeting sesuai jadwal sidang proposal tesis yang telah ditentukan. Mahasiswa melaksanakan sidang proposal tesis. Sedangkan, dosen pembimbing dan penguji memberikan feedback ke mahasiswa, mengisi berita acara, memberikan penilaian dan catatan revisi sidang proposal tesis."
Apa yang dilakukan mahasiswa setelah menerima catatan revisi dari dosen pembimbing dan penguji?,"Mahasiswa mengerjakan revisi dan menyusun buku proposal tesis sesuai dengan hasil diskusi ketika sidang proposal tesis dan/atau sesuai catatan dalam lembar revisi. Apabila sudah selesai mengerjakan revisi, mahasiswa dapat memberikan hasil revisinya ke dosen pembimbing dan penguji serta mengajukan lembar revisi dan lembar pengesahan buku proposal tesis untuk meminta persetujuan ke dosen pembimbing dan penguji. Batas pengerjaan revisi adalah 2 minggu setelah sidang proposal tesis berlangsung."
Apa yang dilakukan Admin Akademik Pascasarjana setelah menerima hasil revisi sidang proposal tesis yang telah disetujui?,"Admin Akademik Pascasarjana menginfokan link untuk upload hasil revisi sidang proposal tesis ke mahasiswa melalui grup Whatsapp. Mahasiswa meng-upload file hasil revisi sidang proposal tesis dan lembar revisi sidang proposal tesis ke link https://bit.ly/HasilRevisiProposalTesisDTIf. Apabila mahasiswa sudah mengumpulkan softfile buku proposal tesis, Admin Akademik Pascasarjana mengubah status sidang proposal tesis di MonTes dari ‘Revisi’ menjadi ‘Disetujui’."
Di mana mahasiswa dapat mengecek nilai sidang proposal tesis?,Mahasiswa dapat mengecek nilai sidang proposal tesis di SIAKAD ITS mata kuliah IF 185301 Tesis-Proposal.
Apa yang dilakukan Admin Akademik Pascasarjana terhadap data mahasiswa yang sudah menyelesaikan revisi sidang proposal tesis?,Admin Akademik Pascasarjana mengubah status sidang proposal tesis di MonTes dari ‘Revisi’ menjadi ‘Disetujui’ dan menginfokan ke Kaprodi.
Langkah apa yang dilakukan ketika berkas persyaratan pendaftaran sidang proposal tesis tidak memenuhi syarat?,Apakah berkas sudah memenuhi syarat? Tidak. Admin Akademik Pascasarjana memverifikasi berkas persyaratan sidang proposal tesis.
Langkah apa dilakukan ketika revisi sidang proposal tesis mahasiswa tidak sesuai?,Apakah revisi sudah sesuai? Tidak. Dosen pembimbing dan penguji memeriksa hasil revisi dan memberikan catatan revisi lebih lanjut.
Bagaimana cara Mahasiswa mendapatkan tanda tangan lembar persetujuan pembimbing?,Mahasiswa melengkapi berkas persyaratan pendaftaransidang proposal tesis. Meminta tanda tangan form revisi ke dosen pembimbing dan penguji dan lembar pengesahan ke dosen pembimbing.
Dimana mahasiswa memeriksa status pendaftaran sidang proposal tesis?,Mahasiswa dapat mengecek status pendaftaran sidang proposal tesis melalui MonTes.
Bagaimana proses pemberian penilaian dan catatan revisi oleh dosen pembimbing dan penguji?,Dosen pembimbing dan penguji menguji sidangproposal tesis sesuai plotting. Memberikan penilaian dan catatan revisi melalui googleform.
Bagaimana hasil revisi yang sudah disetujui diserahkan ke Admin Akademik Pascasarjana?,Mahasiswa meng-upload file hasil revisi sidang proposal tesis dan lembar revisi sidang proposal tesis ke link https://bit.ly/HasilRevisiProposalTesisDTIf.
Siapa yang menentukan jadwal dan dosen penguji sidang proposal tesis?,Ketua RMK menentukan penguji dan menjadwalkan sidang proposal tesis setiap peserta.
Bagaimana cara Admin Akademik Pascasarjana menginfokan hasil revisi sidang proposal tesis kepada mahasiswa?,Admin Akademik Pascasarjana menginfokan link untuk upload hasil revisi sidang proposal tesis ke mahasiswa melalui grup Whatsapp.
