question,context
"Apa yang menjadi dasar edaran tentang Bahasa Asing sebagai syarat Tugas Akhir, Thesis, dan Disertasi di ITS?","Mempertimbangkan:
 (1) Peraturan Rektor Nomor 13 Tahun 2019 tentang Peraturan Akademik Program Vokasi ITS Tahun 2019 (BAB VI Pasal 10 ayat 6 tentang skor minimal Bahasa asing (Bahasa Inggris) sebagai persyaratan kelulusan mahasiswa)
 (2) Peraturan Rektor Nomor 32 Tahun 2019 tentang Peraturan Akademik untuk Program Pendidikan Akademik ITS Tahun 2019 (BAB III Pasal 4 ayat 1 tentang persyaratan kemampuan bahasa Inggris bagi calon mahasiswa Program Pascasarjana; BAB VI Pasal 10 ayat 7 tentang skor minimal Bahasa asing (Bahasa Inggris) sebagai persyaratan kelulusan mahasiswa)"
"Apa tujuan edaran tentang Bahasa Asing sebagai syarat Tugas Akhir, Thesis, dan Disertasi di ITS?","Untuk meningkatkan kemampuan bahasa asing calon wisudawan serta memperlancar proses yudisium, maka bersama ini disampaikan bahwa:"
Apa himbauan yang diberikan kepada semua Departemen terkait pemantauan dan peningkatan kemampuan Bahasa asing mahasiswa?,"1. Semua Departemen dihimbau untuk melakukan pemantauan dan peningkatan kemampuan Bahasa asing (khususnya Bahasa Inggris) mahasiswa Program Studi Sarjana, Sarjana Terapan, Magister, Magister Terapan, dan Doktor di lingkungannya;"
Bagaimana cara Departemen dapat meningkatkan kemampuan Bahasa asing mahasiswa?,2. Departemen dapat bekerja sama dengan Unit Pusat Bahasa Global (UPBG) untuk meningkatkan kemampuan Bahasa asing mahasiswa yang belum lulus skor kemampuan Bahasa asing;
Apa yang harus dilakukan mahasiswa yang belum lulus skor kemampuan Bahasa asing?,3. Mahasiswa yang belum lulus skor kemampuan Bahasa asing wajib mengikuti kursus Bahasa asing yang diselenggarakan oleh UPBG sesuai dengan level Bahasa asing yang diperolehnya;
"Apa yang menjadi persyaratan untuk mendaftar ujian Tugas Akhir/Skripsi, Thesis, dan Disertasi?","4. Skor kelulusan Bahasa Asing (terutama Bahasa Inggris) digunakan sebagai persyaratan untuk mahasiswa yang akan mendaftar ujian/sidang Tugas Akhir/Skripsi (untuk Sarjana dan Sarjana Terapan), ujian/sidang Thesis (untuk Magister dan Magister Terapan), dan ujian/sidang tertutup Disertasi (untuk Doktor);"
Bagaimana Departemen dapat membantu mahasiswa dalam peningkatan kemampuan Bahasa Asing?,5. Departemen dapat memberikan bantuan peningkatan Bahasa Asing (Bahasa Inggris) kepada mahasiswa sesuai dengan SBI yang ada.
"Kapan edaran tentang Bahasa Asing sebagai syarat Tugas Akhir, Thesis, dan Disertasi di ITS mulai berlaku?",8 Agustus 2022
"Siapa yang menandatangani edaran tentang Bahasa Asing sebagai syarat Tugas Akhir, Thesis, dan Disertasi di ITS?","Wakil Rektor Bidang Akademik dan Kemahasiswaan, Prof. Dr. Ir. Adi Soeprijanto, MT NIP. 19640405 199002 1 001"
"Apa nomer surat edaran tentang Bahasa Asing sebagai syarat Tugas Akhir, Thesis, dan Disertasi di ITS?",No. 4416/IT2.I/T/TU.00.08/2022
Apa yang disampaikan terkait kerja sama Departemen dengan UPBG?,2. Departemen dapat bekerja sama dengan Unit Pusat Bahasa Global (UPBG) untuk meningkatkan kemampuan Bahasa asing mahasiswa yang belum lulus skor kemampuan Bahasa asing;
Apa pentingnya skor kelulusan Bahasa Asing terutama Bahasa Inggris bagi mahasiswa?,"4. Skor kelulusan Bahasa Asing (terutama Bahasa Inggris) digunakan sebagai persyaratan untuk mahasiswa yang akan mendaftar ujian/sidang Tugas Akhir/Skripsi (untuk Sarjana dan Sarjana Terapan), ujian/sidang Thesis (untuk Magister dan Magister Terapan), dan ujian/sidang tertutup Disertasi (untuk Doktor);"
