question,context
Bagaimana cara banding nilai jika nilai saya belum keluar atau salah?,"Untuk kelas MBKM, isi form ralat nilai beserta bukti dukung dan tunggu nilai berubah. Form dibagikan ke mahasiswa setelah rilis nilai MBKM. Untuk kelas reguler, komunikasikan dengan dosen pengampu MK masing-masing."
Bagaimana cara pindah kelas jika kelas saya bentrok?,"Cari kelas dengan jadwal yang sesuai, konsultasikan ke dosen wali & pengampu MK, laporkan ke Sekdep 1 (+cc Bu Inka jika via email), dan bersabar sampai kelasnya dirubah."
Apakah wajib mengisi kuisioner dan IPD di akhir semester?,WAJIB. Tolong diisi ya.
Berapa SKS mata kuliah pengayaan yang bisa diambil?,Di peraturan akademik mengambil MK pengayaan maksimal 6 sks dan minimum 3 sks.
Apakah mata kuliah pengayaan bisa di-drop?,"Seperti halnya MK yang lain, jika masih dalam masa drop tiap semester, maka boleh (sampai dengan minggu 10). Setelah waktu itu tidak bisa, namun bisa digantikan dengan MK pengayaan lain yang diambil di semester berikutnya."
"Kepada siapa saya meminta konsultasi tentang perwalian/perencanaan kuliah, merubah MK yang diambil, dan drop MK setelah minggu ke-4?","Ke DOSEN WALI, bukan ke PEMBIMBING TA. Batas akhir perubahan MK adalah minggu ke-3 dan drop MK adalah minggu ke-10."
Bagaimana jika saya tidak bisa ambil MK di FRS padahal prasyarat sudah terpenuhi?,Silakan menginformasikan ke doswal dengan menyertakan bukti-bukti. Doswal akan membantu menambahkan MK yang dimaksud jika bukti-buktinya telah mencukupi.
Apakah MK yang diambil via dropdown MBKM bisa menggantikan MK yang sudah diambil?,TIDAK BISA!
Apakah MK Magang bisa menggantikan MK pilihan yang sudah diambil?,"TIDAK BISA. MK Magang berbobot 9 SKS dan mengisi kewajiban 15 SKS minimal MK pilihan. Jika pernah mengambil MK pilihan dan tidak lulus, maka WAJIB DIULANG sampai lulus."
"Dimana saya dapat menemukan informasi lebih lanjut tentang pengajuan cuti, pengunduran diri, TA, yudisium, dan wisuda?","Tentang MBKM & KP, pengajuan cuti, pengunduran diri, TA, yudisium, dan wisuda dapat dicek pada menu terkait. Jika tetap tidak menemukan jawaban, tanyakan pada admin."
