question,context
Apa itu Program Magang di ITS?,"Program Magang adalah suatu kegiatan dari mahasiswa untuk menerapkan dan memperoleh pengetahuan, keterampilan umum dan khusus/keahlian kerja, serta internalisasi sikap profesional dan budaya kerja yang sesuai dan diperlukan bagi dunia usaha. Program Magang di lingkungan ITS ini dikelola oleh Subdirektorat Pengembangan Kewirausahaan dan Karir (PK2) di bawah koordinasi Direktorat Kemahasiswaan ITS."
Apa saja panduan umum pelaksanaan Program Magang di ITS?,"Mahasiswa dalam melaksanakan magang harus memenuhi ketentuan berikut: 1. Pelaksanaan Program Magang memiliki durasi minimal 1 bulan dan maksimal 6 bulan. 2. Selama Program Magang berlangsung, mahasiswa tidak harus mengajukan cuti. 3. Mahasiswa secara penuh waktu bekerja di lapangan sesuai kesepakatan. 4. Mahasiswa bisa mendapatkan izin untuk kegiatan akademik tertentu dengan kesepakatan pihak Mitra Magang. 5. Mahasiswa dapat mengajukan konversi mata kuliah dengan CPMK yang selaras. 6. Diperlukan pembimbing internal dari Dosen Departemen dan pembimbing lapangan dari Mitra Magang. 7. Sebelum Program Magang, wajib menandatangani perjanjian kerjasama dan nota kesepahaman."
Apa manfaat Program Magang bagi Departemen di ITS?,Manfaat Program Magang bagi Departemen meliputi: 1. Sebagai sarana untuk menyelaraskan kurikulum departemen dengan kurikulum mitra magang. 2. Merupakan cara untuk berinteraksi antara departemen dengan mitra magang. 3. Memastikan ilmu perkuliahan relevan dengan kebutuhan mitra magang. 4. Mengikuti pembaharuan informasi terkini dan teknologi tentang proses industri.
Apa manfaat Program Magang bagi mahasiswa di ITS?,Manfaat Program Magang bagi Mahasiswa: 1. Mengaplikasikan ilmu di kelas ke dunia kerja. 2. Mengetahui dan mempelajari proses industri. 3. Berinteraksi langsung dengan mitra magang. 4. Memperoleh bahan tugas akhir. 5. Menyelesaikan SKS mata kuliah. 6. Mengalami dunia kerja secara langsung.
Apa manfaat Program Magang bagi mitra magang?,"Manfaat Program Magang bagi Mitra Magang: 1. Mendapatkan informasi, pengetahuan, dan teknologi baru dari latar belakang program studi mahasiswa. 2. Penanganan permasalahan industri dengan memanfaatkan pengetahuan mahasiswa. 3. Mengidentifikasi calon pegawai sejak dini. 4. Penurunan biaya pendidikan dan pelatihan bagi calon pegawai."
Bagaimana Kegiatan Magang diakui dalam bentuk mata kuliah?,Program Magang dapat diakui dalam bentuk satu atau beberapa mata kuliah dengan ketentuan: 1. Departemen verifikasi dan validasi Rencana Kegiatan Magang dari mitra magang. 2. Mahasiswa dapat mengkonversikan kegiatan magang dengan SKS MK yang sesuai dengan CPMK kegiatan magang. 3. Mengambil SKS MK yang disetarakan dengan kegiatan magang secara pararel (dalam 1 semester) atau daring.
Bagaimana cara mengkonversi kegiatan magang dengan mata kuliah?,Alur konversi kegiatan magang dengan mata kuliah: A. Konversi dilakukan di semester depan setelah kegiatan magang selesai. Mahasiswa menyerahkan laporan magang ke departemen dengan permohonan konversi MK. Departemen verifikasi dan memberikan hasil verifikasi berupa daftar mata kuliah yang dapat dikonversikan.
Bagaimana pelaksanaan Program Magang Mahasiswa Bersertifikat (PMMB)?,"Program Magang Mahasiswa Bersertifikat (PMMB) bekerjasama dengan Forum Human Capital Indonesia (FHCI). FHCI adalah forum bagi pengelola dan praktisi Management Human Capital di lingkungan BUMN untuk saling berinteraksi, belajar dan bersinergi untuk kemajuan pengelolaan Human Capital di Indonesia. Salah satu program kerjanya adalah Program Magang Mahasiswa Bersertifikat."
Bagaimana pelaksanaan Program Magang Mandiri di ITS?,"Program Magang Mandiri adalah program magang yang diinisiasi oleh mahasiswa ITS secara mandiri. Mahasiswa melamar menjadi tenaga magang pada mitra magang dan PK2 Direktorat Kemahasiswaan ITS akan memfasilitasi dengan menindaklanjutinya secara formal. Proses skemanya adalah mengajukan permohonan magang, seleksi penerimaan magang oleh mitra magang, dan pelaksanaan magang."
Bagaimana peran Subdirektorat Pengembangan Kewirausahaan dan Karir (PK2) dalam Program Magang?,Peran Subdirektorat Pengembangan Kewirausahaan dan Karir (PK2) dalam Program Magang: 1. Koordinator dalam penyelenggaraan Program Magang. 2. Menyusun kebijakan terkait magang untuk fasilitasi kegiatan akademik dan Program Magang. 3. Koordinasi Perjanjian Kerja Sama (PKS) dengan Mitra Magang. 4. Menginisiasi kerjasama magang dengan mitra magang.
