question,context
Apa tujuan dari Surat Edaran Wakil Rektor Bidang Akademik dan Kemahasiswaan ITS Nomor: T/26434/IT2.I/TU.00.08/2021?,"Dalam Rangka Menyikapi Bentuk Kegiatan Pembelajaran Program Merdeka Belajar – Kampus Merdeka
Kepada Yth. 
1. Dekan
2. Kepala Departemen
Pada Program Pendidikan Akademik di Lingkungan ITS
maka guna menyikapi dinamika kurikulum program studi (prodi) dalam mendukung Program Merdeka Belajar – Kampus Merdeka (MB-KM), disampaikan bahwa:"
Apa saja dasar hukum yang dipertimbangkan dalam Surat Edaran ini?,"Mempertimbangkan:
(1). Peraturan Menteri Pendidikan dan Kebudayaan Republik Indonesia Nomor 3 Tahun 2020 tentang Standar Nasional Pendidikan Tinggi;
(2) Keputusan Menteri Pendidikan dan Kebudayaan Nomor 74/P/2021 tentang Pengakuan Satuan Kredit Semester Pembelajaran Program Kampus Merdeka;
(3). Peraturan Rektor ITS Nomor 27 Tahun 2020 Tentang Pedoman Evaluasi Kurikulum Untuk Program Pendidikan Akademik Dan Profesi Di Lingkungan Institut Teknologi Sepuluh Nopember;
(4). Peraturan Rektor ITS Nomor 30 Tahun 2020 Tentang Penyelenggaraan Kegiatan Merdeka Belajar – Kampus Merdeka Di Institut Teknologi Sepuluh Nopember,"
Kapan evaluasi dan pengembangan atas bahan kajian mata kuliah (MK) dapat dilakukan?,1. Evaluasi dan pengembangan atas bahan kajian mata kuliah (MK) dapat dilakukan setiap tahun.
Apa yang didorong untuk dilakukan oleh prodi terkait MK Pengayaan?,"2. Prodi didorong untuk menambah MK Pengayaan yang dibuka bagi mahasiswa ITS di luar prodi, dan MK Prodi yang dibuka bagi mahasiswa di luar ITS yang memiliki program/ kerjasama tertentu."
Bagaimana penanda khusus diberikan pada MK Pengayaan dan Kelas MK Prodi?,3. MK Pengayaan dan Kelas MK Prodi pada point 2 diberikan penanda khusus secara sistem.
Apa yang didorong untuk dilakukan oleh prodi terkait MK pilihan baru?,4. Prodi didorong untuk membuka MK pilihan baru guna mendukung 8 (delapan) Bentuk Kegiatan Pembelajaran (BKP) Program Merdeka Belajar – Kampus Merdeka (MB-KM).
Bagaimana alih kredit dari BKP Program MB-KM dilakukan oleh prodi?,"5. Prodi dapat melakukan alih kredit dari BKP Program MB-KM mahasiswanya ke MK Prodi lain, dengan syarat MK tersebut termasuk MK Pengayaan."
Siapa yang memutuskan persetujuan alih kredit dalam hal kesesuaian CPMK?,"6. Dalam hal alih kredit, prodi/ direktorat penyelenggara MK adalah yang memutuskan persetujuan dengan mempertimbangkan kesesuaian Capaian Pembelajaran Mata Kuliah (CPMK)."
Bagaimana prosedur pengajuan penambahan MK Prodi menjadi MK Pengayaan dan pembukaan MK Prodi Pilihan baru?,7. Pengajuan penambahan MK Prodi menjadi MK Pengayaan dan pembukaan MK Prodi Pilihan baru dapat dilakukan dengan mengirimkan surat permohonan ke Direktorat Pendidikan.
Kapan surat edaran ini dikeluarkan?,"6 Mei 2021
Wakil Rektor Bidang Akademik dan Kemahasiswaan,
Prof. Dr. Ir. Adi Soeprijanto, MT
NIP. 19640405 199002 1 001"
