question,context
Apa yang dimaksud dengan Merdeka Belajar Kampus Merdeka (MBKM)?,"Merdeka Belajar Kampus Merdeka - yang selanjutnya disingkat MBKM adalah kegiatan mahasiswa di luar Prodi dalam bentuk salah satu atau kombinasi dari kegiatan berikut:
(i) Pertukaran pelajar,
(ii) Magang/Praktik Kerja,
(iii) Asistensi Mengajar di Satuan Pendidikan,
(iv) Penelitian/Riset,
(v) Proyek Kemanusiaan,
(vi) Kegiatan Wirausaha,
(vii) Studi/Proyek Independen, dan
(viii) Membangun Desa/Kuliah Kerja Nyata Tematik, yang dapat dialih kreditkan dengan maksimum 40 (empat puluh) sks untuk kegiatan di luar Prodi di luar ITS, dan maksimum 20 (dua puluh) sks di luar Prodi di dalam ITS, sesuai dengan peraturan yang berlaku."
Apa visi dari Institut Teknologi Sepuluh Nopember (ITS)?,"Visi ITS adalah:
menjadi perguruan tinggi dengan reputasi internasional dalam ilmu pengetahuan dan teknologi terutama yang menunjang industri dan kelautan yang berwawasan lingkungan."
Apa misi dari ITS dalam bidang pendidikan?,"Misi ITS di bidang pendidikan:
1. Menyelenggarakan pendidikan tinggi berbasis teknologi informasi dan komunikasi dengan kurikulum, Dosen, dan metode pembelajaran berkualitas internasional;
2. Menghasilkan lulusan yang beriman dan bertakwa kepada Tuhan Yang Maha Esa serta memiliki moral dan budi pekerti yang luhur; dan
3. Membekali lulusan dengan pengetahuan kewirausahaan berbasis teknologi."
Apa tujuan dari penjaminan mutu MBKM?,"Beberapa tujuan dalam Penjaminan Mutu MBKM adalah sebagai berikut:
(i) Penyelenggaraan kegiatan Merdeka Belajar - Kampus Merdeka (MBKM) di lingkungan ITS melalui kegiatan kurikuler, ko-kurikuler dan ekstra kurikuler bersama unit pendukung lain berlandaskan atas prinsip PPEPP, yaitu Penetapan, pelaksanaan, evaluasi, pengendalian dan peningkatan atas standar.
(ii) Penyelenggaraan MBKM dapat mewujudkan kegiatan pembelajaran yang menghasilkan lulusan berkualitas, memenuhi visi, misi, tata nilai dan tujuan ITS serta memenuhi SN DIKTI.
(iii) Penyelenggaran MBKM dapat memenuhi standar badan akreditasi nasional dan/atau internasional sesuai dengan bidang ilmu Prodi."
Apa yang dimaksud dengan PPEPP dalam penyelenggaraan MBKM?,"PPEPP adalah siklus yang mencakup:
P: Penetapan
P: Pelaksanaan
E: Evaluasi
P: Pengendalian
P: Peningkatan"
Apa saja standar dalam penyelenggaraan MBKM di ITS?,"Standar dalam penyelenggaraan MBKM mengacu pada:
(i) SN DIKTI,
(ii) Peraturan Rektor tentang MBKM, dan
(iii) Panduan yang telah dikeluarkan oleh Direktorat Kemahasiswaan, Direktorat Pendidikan, dan Direktorat Riset dan Pengabdian kepada Masyarakat."
Apa yang dimaksud dengan Standar Kompetensi Lulusan dalam MBKM?,"Pelaksanaan MBKM mengacu pada CPL Prodi sebagai target dari kemampuan lulusan, dengan minimal pencapaian 80% CPL dan atau sebagai kompetensi tambahan yang dimaksudkan untuk memperlancar karir lulusan, kolaborasi riset, dan/atau kerja sama pengembangan industri."
Apa yang dimaksud dengan MK Pengayaan dalam MBKM?,MK pengayaan adalah mata kuliah yang diambil dari luar Program Studi dan ditempuh oleh mahasiswa program sarjana setelah menempuh minimal 72 sks. Pengambilan MK pengayaan minimal 3 sks dan maksimal 12 sks.
Berapa jumlah sks maksimal yang dapat diambil dalam rangka pelaksanaan kegiatan MBKM?,Jumlah sks maksimal yang dapat diambil dalam rangka pelaksanaan kegiatan MBKM adalah 40 sks.
Bagaimana kegiatan magang/praktik kerja diimplementasikan dalam MBKM?,"Kegiatan magang/praktik kerja pada program sarjana terapan diimplementasikan dalam bentuk mata kuliah wajib sebagai mata kuliah penciri Fakultas Vokasi sebesar 14 sks. Konversi kegiatan MBKM magang dapat dikonversikan ke dalam:
(i) MK KP,
(ii) beberapa MK gabungan antara KP dengan MK lain dengan kesamaan CP MK,
(iii) MK magang dengan maksimum bobot 20 sks."
Apa saja bentuk kegiatan pembelajaran MBKM?,"Bentuk kegiatan pembelajaran MBKM meliputi:
1. Magang/Praktik Kerja;
2. Membangun Desa/Kuliah Kerja Nyata Tematik;
3. Pertukaran Pelajar;
4. Proyek Kemanusiaan;
5. Penelitian/Riset;
6. Kegiatan Wirausaha;
7. Studi/Proyek Independen; dan
8. Asistensi Mengajar di Satuan Pendidikan."
Dimana saja tempat pelaksanaan MBKM?,Tempat kegiatan MBKM dapat dilaksanakan di luar Program Studi baik yang ada di internal ITS maupun di luar ITS.
Berapa lama waktu pelaksanaan MBKM?,"Lama waktu pelaksanaan MBKM dapat dikonversi ke MK dengan syarat minimal 2720 menit atau 45.3 jam.
Lama waktu kegiatan MBKM bentuk magang adalah minimal 3 bulan dan maksimal 6 bulan."
Bagaimana kegiatan akademik dilakukan selama magang dalam MBKM?,Mahasiswa yang melaksanakan magang harus bekerja di lapangan secara penuh waktu sesuai dengan kesepakatan tempat magang. Mahasiswa dapat melakukan kegiatan akademik lain dengan syarat telah mendapatkan izin dari pihak penanggung jawab lembaga/badan/industri magang. Mahasiswa tidak harus cuti studi dan dapat diberi surat keterangan hasil kegiatan magang/sertifikat kompetensi.
Apa standar proses untuk kegiatan MBKM dalam bentuk pengabdian kepada masyarakat?,"Kegiatan MBKM dalam bentuk pengabdian kepada masyarakat atau Kuliah Kerja Nyata Tematik (KKNT) bertujuan untuk pembinaan karakter kebangsaan mahasiswa, menumbuhkan kepedulian terhadap persoalan yang dihadapi masyarakat. Kegiatan ini harus dibimbing oleh dosen dan dapat diakui sebagai tambahan sks atau dikompensasi dengan mata kuliah yang memiliki capaian pembelajaran yang setara."
Apa standar proses untuk kegiatan MBKM dalam bentuk pertukaran pelajar?,"Kegiatan MBKM dalam bentuk pertukaran pelajar bertujuan mencapai CPL dan dapat dilakukan dengan PT di dalam negeri atau di luar negeri. Kegiatan ini mencakup kuliah di luar program studi di internal ITS, di luar ITS, atau di perguruan tinggi internasional dengan reputasi minimal sama dengan ITS. Pertukaran pelajar bisa berlangsung dalam bentuk student exchange, internship, short program, public service/outreach program, atau MK secara online."
Apa standar proses untuk kegiatan MBKM dalam bentuk penelitian/riset?,"Kegiatan MBKM dalam bentuk penelitian/riset bertujuan mencapai CPL dengan membangun dan menerapkan cara berpikir logis, kritis, sistematis dalam pengembangan atau implementasi ilmu pengetahuan dan teknologi. Pelaksanaan penelitian/riset ini dapat dilakukan di lembaga riset/pusat studi/program studi melalui skema kerja sama."
Apa standar proses untuk kegiatan MBKM dalam bentuk kewirausahaan?,Kegiatan MBKM dalam bentuk wirausaha bertujuan mendukung pencapaian profil sebagai kader pengusaha. Kegiatan ini dapat dikonversi ke dalam sks MK sesuai dengan ketercapaian CPL atau bentuk lain. Pelaksanaan kegiatan ini dikembangkan oleh Direktorat yang mengurusi kemahasiswaan.
Apa standar proses untuk kegiatan MBKM dalam bentuk studi/proyek independen?,"Kegiatan MBKM dalam bentuk studi/proyek independen bertujuan mendukung pencapaian profil sebagai inovator yang produktif, mewujudkan gagasan mahasiswa dalam produk inovatif, dan menyelenggarakan pendidikan berbasis riset dan pengembangan (R&D). Kegiatan ini dapat berupa lomba kemahasiswaan atau proyek untuk memecahkan persoalan di ITS, masyarakat, atau industri, dan dapat dikonversikan ke dalam sks MK."
Apa standar proses untuk kegiatan MBKM dalam bentuk asistensi mengajar di satuan pendidikan?,"Kegiatan MBKM dalam bentuk asistensi mengajar di satuan pendidikan bertujuan memberikan kesempatan bagi mahasiswa yang berminat menjadi pendidik, membantu meningkatkan pemerataan kualitas pendidikan, dan dapat dikonversi ke dalam sks MK sesuai dengan ketercapaian CPL."
Bagaimana penilaian pembelajaran dilakukan dalam MBKM?,"Penilaian atas proses dan hasil pelaksanaan MBKM mengacu pada prinsip penilaian yang mencakup edukatif, otentik, objektif, akuntabel, dan transparan yang dilakukan secara terintegrasi."
Apa tugas dosen wali dalam pelaksanaan MBKM?,"Dosen wali ditugaskan oleh Prodi untuk membuat perencanaan bersama dengan mahasiswa yang akan melaksanakan kegiatan MBKM, melakukan evaluasi terhadap kesesuaian bentuk dan lama pelaksanaan MBKM, serta melakukan penilaian atas rencana, pelaksanaan, dan evaluasi MBKM."
Bagaimana bentuk pengelolaan pembelajaran dalam MBKM di ITS?,"Pengelolaan pembelajaran MBKM meliputi pelaksanaan di dalam ITS atau di luar ITS, baik perguruan tinggi lain di dalam maupun luar negeri. Kegiatan harus didahului oleh nota kesepahaman dan perjanjian kerja sama. Hanya bisa dilaksanakan dengan perguruan tinggi yang mempunyai kriteria yang memenuhi standar ITS."
Apa yang harus dipenuhi oleh mahasiswa luar ITS dalam melaksanakan MBKM di ITS?,Persyaratan untuk mahasiswa luar ITS adalah memiliki akreditasi Prodi asal mahasiswa minimal sama dengan Prodi di ITS. Jumlah mahasiswa dari luar ITS dibatasi maksimal 10% dari daya tampung Prodi di ITS.
