question,context
Apa itu Merdeka Belajar - Kampus Merdeka (MB-KM)?,"Merdeka Belajar - Kampus Merdeka (MB-KM) adalah program yang memberikan mahasiswa kesempatan untuk menempuh pembelajaran di luar program studi dan perguruan tinggi dengan alih kredit SKS, dirancang untuk menghadapi tantangan Abad 21."
Apa hak yang dimiliki mahasiswa dalam program MB-KM?,Mahasiswa memiliki kesempatan untuk: 1. Satu semester atau setara dengan 20 SKS menempuh pembelajaran di luar program studi pada perguruan tinggi yang sama. 2. Paling lama dua semester atau setara dengan 40 SKS menempuh pembelajaran pada: a. Program studi yang sama di perguruan tinggi yang berbeda. b. Program studi yang berbeda di perguruan tinggi yang berbeda. c. Di luar perguruan tinggi.
Apa dasar hukum pelaksanaan MB-KM?,Dasar hukum MB-KM meliputi: 1. Undang-Undang Nomor 20 Tahun 2003 tentang Sistem Pendidikan Nasional. 2. Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi. 3. Undang-Undang Nomor 6 Tahun 2014 tentang Desa. 4. Peraturan Pemerintah Nomor 04 Tahun 2014 tentang Penyelenggaraan Pendidikan Tinggi dan Pengelolaan Perguruan Tinggi. 5. Peraturan Presiden Nomor 8 Tahun 2012 tentang KKN. 6. Peraturan Menteri Pendidikan dan Kebudayaan Nomor 3 Tahun 2020 tentang Standar Nasional Pendidikan Tinggi.
Apa kegiatan yang dapat dilakukan mahasiswa di luar program studi dalam MB-KM di ITS?,Kegiatan yang dapat dilakukan mahasiswa di luar program studi dalam MB-KM di ITS meliputi: 1. Pertukaran pelajar. 2. Magang.
Mengapa magang menjadi program strategis di ITS?,"Magang menjadi program strategis di ITS karena: 1. Telah menjadi kebijakan nasional berdasarkan Keputusan Menristekdikti No. 123/M/KPT/2019 tentang magang industri dan pengakuan SKS untuk magang kuliah. 2. Mahasiswa bekerja di perusahaan dan melaksanakan tugas secara profesional sesuai jam kerja kantor (minimal 8 jam/hari, 5 hari/minggu, & min. 1 bulan). 3. 1 SKS = 2.720 menit magang atau 45 jam; 1 BULAN = 160 jam = 3,5 SKS; 6 BULAN = 21 SKS. 4. Berlaku untuk program magang di dalam dan luar negeri. 5. Mahasiswa tidak kehilangan jam belajar dan tidak harus cuti."
Apa manfaat magang bagi perusahaan dan departemen di ITS?,"Manfaat magang bagi perusahaan: 1. Rekrutmen SDM unggul sejak di bangku kuliah dan talent management (lebih hemat, efektif, & fleksibel). Manfaat bagi perguruan tinggi: 1. Konfirmasi pengetahuan & keterampilan mahasiswa & dosen dengan kasus kerja nyata. 2. Media konfirmasi kurikulum prodi vs. praktik & permasalahan dunia kerja terkini. 3. Peningkatan kompetensi, sertifikasi, & network calon alumni ITS → peluang kerja & gaji pertama semakin tinggi."
Apa saja peraturan yang mendasari pelaksanaan magang di ITS?,Peraturan-peraturan yang mendasari pelaksanaan magang di ITS adalah antara lain: 1. Peraturan Menteri Keuangan (PMK) 2019 tentang insentif pajak bidang vokasi & penelitian dan pengembangan. 2. Peraturan Rektor ITS No. 12 Tahun 2019 tentang Magang.
Apa ketentuan umum magang di ITS?,"Ketentuan umum magang di ITS adalah: 1. Durasi magang maksimal 6 bulan. 2. Wajib dibimbing oleh dosen pembimbing internal (dosen ITS) dan pembimbing eksternal (pihak industri). 3. Mahasiswa bisa mendapatkan izin untuk melakukan kegiatan tertentu (sesuai kesepakatan). 4. Pada saat magang, mahasiswa tidak harus cuti. 5. Industri dapat menawarkan pemberian sertifikat kompetensi dengan syarat dan ketentuan tertentu. 6. Sebelum magang, akan ada nota kesepahaman dan perjanjian kerja sama."
Apa yang dimaksud dengan Kerja Praktek dalam MB-KM di ITS?,Kerja Praktek adalah satu atau beberapa mata kuliah yang memiliki capaian pembelajaran setara dengan kegiatan magang. Mahasiswa dapat mengambil beberapa mata kuliah yang kegiatan perkuliahannya dilakukan secara online.
Bagaimana program penguatan magang di ITS dilakukan?,Program penguatan magang di ITS dilakukan melalui: 1. Perubahan SOTK → Unit Pengelolaan Magang Industri (Direktorat Kemahasiswaan). 2. Penambahan mata kuliah wajib MK Magang di Fakultas Vokasi.
